method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
m5b_smooth0.001,0.6069270358290041,0.6038184767989552,0.6098874190850645,0.20957438267452075,0.6832189960204056,0.009863166262424006,-0.00024202477992145421
m5b_smooth0.01,0.606928017194089,0.6038331156893548,0.6098856227260073,0.20957516158907025,0.6832172414452912,0.009881818287760058,-0.00024190411742258666
m5b_smooth0,0.6069295141450678,0.603839373297091,0.609881091936035,0.20957597371737016,0.683197345207309,0.009855642208283708,-0.00024069806984863829
adamoe,0.6069473185453466,0.6038224578758624,0.6099238021833842,0.2095839541567468,0.683189383565225,0.010031175091507992,-0.00022056843892570566
uniform5,0.6069473678025014,0.603822476262737,0.6099238906488863,0.2095839762220114,0.6831893041325682,0.010031023316474597,-0.00022051586943656887
m5b_smooth0.1,0.6069802245804978,0.6038323547610971,0.6099773810780997,0.20959878436489932,0.6831440898712846,0.010156339477248767,-0.00018519216466875155
ensemble3,0.6070154657523136,0.6038902710507534,0.609996318281126,0.2096150057761749,0.6831362586594394,0.010691553745919657,-0.0001522683562430599
m5b_smooth0.3,0.6071817147490458,0.6039751646783428,0.6102283720632008,0.20968464816134438,0.6827924190620815,0.010564993822229194,2.0695065096082432e-05
validation_selected(h=rolling_7),0.6072465776864167,0.6040631420739632,0.6102811527459733,0.20971569855134112,0.6828069770488685,0.011010503966562928,8.46784977268783e-05
han_arw,0.6072465776864167,0.6040631420739632,0.6102811527459733,0.20971569855134112,0.6828069770488685,0.011010503966562928,8.46784977268783e-05
rolling_7,0.6072465776864167,0.6040631420739632,0.6102811527459733,0.20971569855134112,0.6828069770488685,0.011010503966562928,8.46784977268783e-05
m2_context_gate,0.6072870114368818,0.6041509535768096,0.6103193971851796,0.2097368132378262,0.6828578363366441,0.012970713203396288,0.00011991587352462585
rolling_14,0.6073030139845499,0.604140293945505,0.6103432223391521,0.20972873300408007,0.6824787378428143,0.009907840023609022,0.0001382126901631614
m1_global_mix,0.607318767571889,0.6043162887261386,0.6102754652705096,0.2097513189788224,0.6828723590837307,0.013273304560512584,0.00014226439982535644
rolling_3,0.6074760264948363,0.6045855698213848,0.6103013499563191,0.20982180336064366,0.6825683655368787,0.012732000964878398,0.00028463321287408583
rolling_1,0.607914258963071,0.604750812553684,0.6109587027055433,0.21001215774429918,0.68132933917469,0.00980325590875735,0.0007511806085432615
expanding,0.6080032924685641,0.6046945960452126,0.6111880179932612,0.21004802896821528,0.6814815790512623,0.013130432809769733,0.0008537118303770797
diff_forgetting,0.6080209671888238,0.6047179531350538,0.6111923347046946,0.21005311950971303,0.6814696606179136,0.013083400426323664,0.0008704357686067504
decay_hl7,0.6087619322857052,0.6055694308975638,0.6118232933939647,0.210347263596022,0.6804542849675336,0.01429584396103165,0.001602395278932356
decay_hl3,0.6105968745958129,0.6075291044255094,0.61356719997118,0.2111128566288894,0.6777558682057829,0.016637238033763817,0.0034290778124134724
decay_hl1,0.6163343344982836,0.6134059669090164,0.6192355594867034,0.21356590760224115,0.6696760375976408,0.024295616975246907,0.009153045539464486
