method,day,gate_move_l1,pi_expanding,pi_rolling_1,pi_rolling_3,pi_rolling_7,pi_rolling_14,h_eff,pi_m2,pi_m5b,pi_m5b_hs
adamoe,4,,0.2,0.2,0.2,0.2,0.2,17.0,,,
adamoe,5,0.0002857707553671762,0.1999523715407729,0.2000810131796249,0.20006187219806093,0.1999523715407729,0.1999523715407729,16.996408724576412,,,
adamoe,6,0.00023365269044450798,0.19999131365584788,0.1999964888773837,0.2000295701550826,0.19999131365584788,0.19999131365584788,16.99938160546631,,,
adamoe,7,4.573741543109633e-05,0.19999893655842096,0.19997709260388052,0.20002609772087393,0.19999893655842096,0.19999893655842096,16.9999692469986,,,
adamoe,8,9.062605154136483e-05,0.19998383221649654,0.19999958575543436,0.2000489175950882,0.19998383221649654,0.19998383221649654,16.99883674807692,,,
adamoe,9,1.4073110476908735e-05,0.19998308174664997,0.1999940501398807,0.20004929422494955,0.1999904921418653,0.19998308174664997,16.998823427059886,,,
adamoe,10,0.00011313295819789793,0.19997590727719528,0.20001938850206583,0.20000707668475792,0.20002172025877704,0.19997590727719528,16.99840979888023,,,
adamoe,11,9.182122137707527e-05,0.1999978618740596,0.20001707332722302,0.19996348124891616,0.2000237216757409,0.1999978618740596,16.99991534748457,,,
adamoe,12,0.00027144233872256063,0.19994665281478213,0.2001252536825875,0.19999102206291736,0.19999041862493894,0.19994665281478213,16.99608355853979,,,
adamoe,13,0.00019230384147925217,0.19997959920989597,0.20003293774135367,0.1999871860834086,0.20002067775544793,0.19997959920989597,16.99862958181202,,,
adamoe,14,4.9957280747803257e-05,0.1999920885300828,0.20002858153193726,0.1999750768715522,0.2000121645363466,0.1999920885300828,16.999453515127147,,,
adamoe,15,7.809150465301617e-05,0.19997415093141147,0.20005077484119654,0.1999919293146205,0.20000899398136385,0.19997415093141147,16.998176689579054,,,
adamoe,16,0.00011993640852075993,0.1999474378142705,0.2001025552767957,0.1999993073817014,0.20000980368294835,0.19994089584429625,16.996187913878916,,,
adamoe,17,0.00012531981432281625,0.1998926760897216,0.20011280832731176,0.20005171423834128,0.20000554540895427,0.19993725593567233,16.992988917387724,,,
adamoe,18,0.0002660854619939146,0.1998228423052672,0.20023325624780017,0.20005708012407647,0.20001277433372955,0.1998740469891317,16.988101113120013,,,
adamoe,19,0.00019420771019035277,0.1998497760730764,0.2003016958365213,0.20000225427003737,0.19997049633267197,0.19987577748769503,16.98934938218765,,,
adamoe,20,0.000379610316042861,0.19993257205117942,0.20013325148676775,0.19998089346177206,0.20001403553571984,0.19993924746456815,16.99527796819684,,,
adamoe,21,0.00011088310166951221,0.1999219061073093,0.20008847587980422,0.199999032203004,0.20003285130971318,0.19995773450017873,16.99503818109787,,,
adamoe,22,7.643271044319166e-05,0.19991637848580712,0.20006286090812725,0.20003724855822264,0.2000270004553711,0.1999565115924754,16.994737481213477,,,
adamoe,23,2.266498240549586e-05,0.19992072609571063,0.20005611723124544,0.20004423343952443,0.20002646490207893,0.1999524583314492,16.994952054247296,,,
adamoe,24,5.36883332313276e-05,0.19993024078857313,0.20007038746003908,0.20002899008958902,0.20001486408540392,0.19995551757641397,16.995453099710815,,,
adamoe,25,0.00011817068765188066,0.19988593010985312,0.2001291677118937,0.20002576392587332,0.20000331558401352,0.1999558226683851,16.992766992526185,,,
adamoe,26,4.1721501139041495e-05,0.1998650693592733,0.2001318864917323,0.20002694834718315,0.20001272146326543,0.199963374338544,16.991693184072155,,,
adamoe,27,0.0003037888915619902,0.19996248580023684,0.2000591125492433,0.19994782784389412,0.20003145933055533,0.19999911447607452,16.99785956207407,,,
adamoe,28,7.712213776239762e-05,0.19996209567564754,0.2000569165876011,0.19998638891277076,0.2000077468351186,0.199986851988857,16.997611979554595,,,
adamoe,29,5.305869423369303e-05,0.19997063046026708,0.20003899233610867,0.19998834492011824,0.19999914173949662,0.20000289054400924,16.998276314505095,,,
adamoe,30,0.00010061001207253839,0.19993118994180553,0.20005599204409702,0.20002165021816198,0.19999254943001565,0.19999861836591132,16.995920842339782,,,
m5b_smooth0,4,,0.20108111202716827,0.20108111202716827,0.20108111202716827,0.20108111202716827,0.20108111202716827,17.091894522309303,,,
m5b_smooth0,5,0.11694306135177612,0.18063867092132568,0.23159928619861603,0.22617867588996887,0.18063867092132568,0.18063867092132568,15.541867658495903,,,
m5b_smooth0,6,0.3441748842597008,0.2380441278219223,0.12136023491621017,0.1644592136144638,0.2380441278219223,0.2380441278219223,19.896312229335308,,,
m5b_smooth0,7,0.3763176128268242,0.17535166442394257,0.22032693028450012,0.25373274087905884,0.17535166442394257,0.17535166442394257,15.185009971261024,,,
m5b_smooth0,8,0.08678534626960754,0.1855231076478958,0.23316141963005066,0.21029622852802277,0.1855231076478958,0.185523122549057,15.891422033309937,,,
m5b_smooth0,9,0.13412530720233917,0.20447799563407898,0.16547903418540955,0.21031306684017181,0.21403943002223969,0.20447799563407898,17.426065921783447,,,
m5b_smooth0,10,0.14044791460037231,0.1806548535823822,0.2098837047815323,0.1879904866218567,0.24011380970478058,0.1806548535823822,15.82311099767685,,,
m5b_smooth0,11,0.1537967473268509,0.20334461331367493,0.24138090014457703,0.1485099345445633,0.20267432928085327,0.20334461331367493,17.153132393956184,,,
m5b_smooth0,12,0.27136069536209106,0.15886536240577698,0.31823867559432983,0.20771075785160065,0.15633071959018707,0.15886537730693817,13.791723012924194,,,
m5b_smooth0,13,0.30085283517837524,0.19225583970546722,0.16805408895015717,0.21497400104999542,0.23295478522777557,0.19225583970546722,16.670591726899147,,,
m5b_smooth0,14,0.17928546667099,0.23694398999214172,0.13079172372817993,0.1653209775686264,0.22996100783348083,0.23694398999214172,19.770336970686913,,,
