day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,m5b_low_loss,m5b_high_loss,oracle_persistence
4,rolling_3,0.606582229967547,3,0.6067708591670483,0.6067708591670483,low
5,expanding,0.5955372696396227,60,0.595566609311645,0.5955418746913947,high
6,expanding,0.5985458190565492,60,0.5984341802224742,0.5984432206823522,low
7,expanding,0.6002711040276496,60,0.5999575697163773,0.6000330320787938,low
8,rolling_3,0.6002236240761157,3,0.6001077530660932,0.6001576971816588,low
9,rolling_7,0.6046434210996594,7,0.6045881229656865,0.6046209198266171,low
10,rolling_7,0.6153249120840513,7,0.615297995554444,0.6153006963587359,low
11,rolling_3,0.611380513494051,3,0.6111176229120051,0.6114079334740757,low
12,rolling_7,0.5980960456451618,7,0.59811027556097,0.5980708521635757,high
13,rolling_7,0.602729355087356,7,0.6025180488198821,0.6025511821242246,low
14,rolling_7,0.6040419318360621,7,0.6038961501434496,0.6039606341820702,low
15,rolling_7,0.6065687232811836,7,0.6064177223362597,0.6065265703179102,low
16,rolling_3,0.6097690671723189,3,0.6098001114563968,0.6099310746681257,low
17,rolling_7,0.6170896861195407,7,0.6169105312030398,0.6171948819155142,low
18,rolling_7,0.6164641026516364,7,0.6156568987326821,0.6160282248748673,low
19,rolling_7,0.6053123430724372,7,0.6053531091984012,0.6053050771424886,high
20,rolling_7,0.6068285612968607,7,0.6065486758822162,0.6066068767054402,low
21,rolling_7,0.6060885210319525,7,0.6058953290366224,0.6059623465845552,low
22,rolling_3,0.6079295109779319,3,0.6076404016111304,0.607709586283805,low
23,rolling_3,0.6080898405317446,3,0.6076772480004594,0.6077143746907191,low
24,rolling_3,0.6142578703800552,3,0.6139530103147348,0.6141221337525067,low
25,rolling_7,0.6114889712900445,7,0.6112305106702136,0.6113757056593523,low
26,rolling_7,0.5995073205383428,7,0.5995506338674733,0.5994987509637623,high
27,rolling_3,0.6024332950886905,3,0.6020439537969426,0.6020672856817898,low
28,rolling_14,0.6068478913219431,14,0.6067019392437856,0.6067124279829575,low
29,rolling_3,0.6080060605756108,3,0.607852086148377,0.6079085779846691,low
30,rolling_7,0.6090297410369855,7,0.6087154104820589,0.6087801967303101,low
