method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
expanding,0.3159997347112023,0.31387213568424877,0.31822310966908807,0.09746610684251535,0.9276059378146029,0.05348732406593044,0.0
validation_selected(h=expanding),0.3159997347112023,0.31387213568424877,0.31822310966908807,0.09746610684251535,0.9276059378146029,0.05348732406593044,0.0
m1_global_mix,0.3159997347112023,0.31387213568424877,0.31822310966908807,0.09746610684251535,0.9276059378146029,0.05348732406593044,0.0
han_arw,0.3159997347112023,0.31387213568424877,0.31822310966908807,0.09746610684251535,0.9276059378146029,0.05348732406593044,0.0
m5b_smooth0.1,0.3168723203952565,0.3146950841266183,0.3190940295492123,0.09773130445661239,0.9273383705818524,0.054276937323007035,0.0008725856840542406
ensemble3,0.31699233633926777,0.3148289051640204,0.31920022061220216,0.09777467658786133,0.9273082526586219,0.054539150552632504,0.0009926016280655085
m2_context_gate,0.3170324747675647,0.3148832925445471,0.3192416829895709,0.09780516525931518,0.9272551646085825,0.0545985537462774,0.0010327400563623864
m5b_smooth0.01,0.317040191244436,0.31487653218621625,0.31926211557824963,0.09778306412668547,0.9272991584971704,0.05437672381454852,0.001040456533233731
m5b_smooth0.001,0.3171790464712119,0.31501309893658846,0.3194205158397908,0.09783644184928697,0.9271965390258406,0.05424582105406251,0.001179311760009638
m5b_smooth0,0.31717945058102465,0.3150308875609595,0.3193723719909421,0.09783905928185613,0.9271945999580857,0.054293520807433264,0.0011797158698223476
m5b_smooth0.3,0.3221921848327232,0.3197966842784786,0.32465774590947183,0.09983612981586884,0.9227179913837248,0.04905019966844427,0.006192450121520886
rolling_14,0.3271675683548843,0.32471350278644756,0.3297180031990386,0.10224885915546067,0.9167905357689063,0.03795728687056087,0.011167833643681981
diff_forgetting,0.3275320790088113,0.32558837915053673,0.32957510245075883,0.10049348528058696,0.9273155983133505,0.06994355083448209,0.01153234429760903
rolling_7,0.34150657505127724,0.3388857713183426,0.3442204165903805,0.10792053277769244,0.9047732093203237,0.02547079985729634,0.025506840340075023
adamoe,0.34321441591615454,0.34080600470074046,0.34580011366027275,0.10809243707971851,0.9076030854058543,0.03947530288312408,0.027214681204952337
uniform5,0.3453119235647588,0.34289312552939566,0.3479067892283049,0.10895217477473197,0.905886287524918,0.03797318452053782,0.029312188853556506
rolling_3,0.39518637227294606,0.3917716560297247,0.39899964680722527,0.12641593628815573,0.8694407125251156,0.03268372033112718,0.07918663756174382
decay_hl7,0.42768854489696073,0.42485623510356524,0.43056647065763703,0.13414877800070776,0.9167738993279269,0.15648261655026494,0.11168881018575846
decay_hl3,0.4905314613771386,0.4876106467110278,0.49347645461463296,0.15886516883078478,0.8986222056968253,0.18021834238532475,0.17453172666593622
decay_hl1,0.5588576290418797,0.5566163644345303,0.5612029650836897,0.18659497585702634,0.8474971824426044,0.19623304123867036,0.24285789433067748
rolling_1,0.6373664185469935,0.6289367412007986,0.6456428297359087,0.18510814981127094,0.7705049416519474,0.1307806258606478,0.3213666838357913
