method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
rolling_14,0.3345601872296893,0.3318861206777483,0.33710909931953825,0.10488471501338842,0.9160624052920607,0.039341417218654536,0.0
m5b_smooth0.01,0.3358333283150223,0.33322076925054395,0.33835842031291896,0.10513620024399223,0.9159230674908384,0.04164168986607312,0.0012731410853329152
m5b_smooth0.001,0.3358517283608138,0.33322711088948387,0.3383991113884401,0.10514983263844942,0.915884717316257,0.04150463583877362,0.00129154113112449
m5b_smooth0,0.3358862708733262,0.33328766222106077,0.33843453926260314,0.10515418460668273,0.9158871513483444,0.041517599589614915,0.001326083643636852
ensemble3,0.33690208079964085,0.3343107738843348,0.3394468721393448,0.10543717902154096,0.9155014164545253,0.04190071039227684,0.0023418935699514747
han_arw,0.3377030391328529,0.3347293254951043,0.3407173871067616,0.10617040250814018,0.9134083536332702,0.03560007903071486,0.0031428519031636223
m5b_smooth0.3,0.34785049352360814,0.34510640426455286,0.35069990199127893,0.10994260532257047,0.9062223374635611,0.029759373143154973,0.01329030629391877
m5b_smooth0.1,0.34930375354069493,0.34663239181070127,0.35213756502431404,0.11048960689900882,0.9049388607433454,0.02871513168323231,0.014743566311005587
validation_selected(h=rolling_7),0.3496168173934227,0.34677967414862826,0.35251648941767116,0.11086629167659835,0.9037634923504168,0.024651351967549057,0.015056630163733292
rolling_7,0.3496168173934227,0.34677967414862826,0.35251648941767116,0.11086629167659835,0.9037634923504168,0.024651351967549057,0.015056630163733292
adamoe,0.37606505748524904,0.3738365330329225,0.3785093543516505,0.11825204372213723,0.8956160552212142,0.05280454808704742,0.0415048702555597
uniform5,0.3792089170476652,0.3770274750157341,0.3816003286744403,0.119362101474,0.8936663112622413,0.053282006171550995,0.04464872981797583
m2_context_gate,0.3951435013584477,0.3923426773012793,0.39804884268637214,0.12672612954165086,0.8731278524983931,0.02359283830975042,0.060583314128758406
m1_global_mix,0.395170243291087,0.3922779706731681,0.39815708119723653,0.1268263274957028,0.8730459066867687,0.024149759422068838,0.060610056061397646
rolling_3,0.4035770563114226,0.3998107833871166,0.40719177857485334,0.1295442987397369,0.8690190425040599,0.03277909460835833,0.06901686908173328
diff_forgetting,0.41096622213316636,0.4076388334524014,0.41412453549755557,0.12790818262627318,0.9137220958833349,0.1319380256817605,0.076406034903477
decay_hl7,0.43949585711741446,0.43718449987796343,0.44162639027847517,0.13839522925499173,0.9152269233794428,0.16114100603753606,0.1049356698877251
decay_hl3,0.5002224538662807,0.4972519708555547,0.5031084931004938,0.1626516810336792,0.8979266192554836,0.18934099121523187,0.16566226663659128
expanding,0.5332371984413506,0.5212652882349272,0.5451101109386368,0.17821613519800814,0.7359627178462516,0.039959964746257286,0.19867701121166137
decay_hl1,0.5699102246377733,0.5676176323129462,0.572200520082531,0.19156804502001035,0.8465344944748968,0.18711794844346297,0.23535003740808383
rolling_1,0.652935624613608,0.6447032451602083,0.6616783500705165,0.18995077863685042,0.7703130119525967,0.1350957469625176,0.3183754373839186
