day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,oracle_horizon_A,oracle_horizon_loss_A,oracle_horizon_B,oracle_horizon_loss_B,m5b_low_loss,m5b_high_loss,oracle_persistence
4,expanding,0.3907992555457644,60,expanding,0.37390770237729337,expanding,0.40897667089315015,0.405628851200415,0.405628851200415,low
5,expanding,0.3768425248685574,60,expanding,0.37797631070316595,expanding,0.3757575517313292,0.37832401007829475,0.3836685153561563,low
6,expanding,0.3689703571450485,60,expanding,0.36052757365392873,expanding,0.3769213280056175,0.36924653711885747,0.3744933223740206,low
7,expanding,0.35637196159118706,60,expanding,0.3741618917396475,expanding,0.3380768407285717,0.3562691208188977,0.3573861089265752,low
8,expanding,0.35564254939666246,60,expanding,0.3542324964073314,expanding,0.3570696251585007,0.3562670354129698,0.35802253039126997,low
9,expanding,0.36571444884273063,60,expanding,0.3627958317377916,expanding,0.36864085931777624,0.3662327503278413,0.367346301192882,low
10,expanding,0.3543592892841073,60,expanding,0.36554794582103284,expanding,0.3434359763804685,0.35542752333213407,0.35755808715956594,low
11,expanding,0.3530813089624713,60,expanding,0.3439271791623785,expanding,0.36219889533022837,0.3561025583754078,0.3607276220406274,low
12,expanding,0.3562748167420401,60,expanding,0.35267089007302965,expanding,0.359917391418225,0.3571151979799059,0.36031631260855834,low
13,expanding,0.3523511524186253,60,expanding,0.3537901685986694,expanding,0.35092930144152396,0.3525458016006756,0.3541001280100718,low
14,expanding,0.3471164099899367,60,expanding,0.34170202851006815,expanding,0.3528198549574368,0.34814491492078137,0.3504049440099616,low
15,expanding,0.343142370596185,60,expanding,0.33060388341377417,rolling_14,0.35681666182835786,0.345789972905576,0.3495458825752502,low
16,expanding,0.35579778971608766,60,expanding,0.3630535678923524,expanding,0.3484151452099085,0.3569425646602131,0.3591430580491633,low
17,expanding,0.34678735119560194,60,expanding,0.34918283752827406,expanding,0.3442639744221711,0.34886065574408953,0.35336753075157123,low
18,expanding,0.3406401999660853,60,expanding,0.3354229263962236,expanding,0.345899379347753,0.3426190170635376,0.3465319248644322,low
19,expanding,0.3345077804049483,60,expanding,0.3325535634529576,rolling_14,0.3353922983183439,0.3354465590374483,0.3392696569077338,low
20,expanding,0.3353001949613393,60,expanding,0.3279678181377494,expanding,0.34271120317177717,0.3370551940365496,0.3410594519887697,low
21,expanding,0.3462195269103135,60,expanding,0.3560222119041347,expanding,0.3360710212789898,0.3470745784338043,0.3500945493513663,low
22,expanding,0.34364825841625823,60,expanding,0.3450229250577686,expanding,0.34224019906280834,0.3448963360516095,0.34746779235333614,low
23,expanding,0.3363998671318173,60,expanding,0.3402058294377325,expanding,0.33254281808354086,0.3389837129531509,0.3440383905627165,low
24,expanding,0.3402182887695245,60,expanding,0.32037868058379054,expanding,0.3592290882582044,0.3411687891555023,0.34532547917050965,low
25,expanding,0.34342427599146585,60,expanding,0.3370192967346147,expanding,0.34986350647428943,0.34382050700645245,0.34669266909163093,low
26,expanding,0.3411134639207595,60,expanding,0.3407062576538577,expanding,0.34150210052076674,0.34365957071472386,0.35086205967297057,low
27,expanding,0.34088929795099987,60,expanding,0.33992159330226707,expanding,0.3418153401686717,0.3415389702319065,0.3439511052162484,low
28,expanding,0.34852018555014075,60,expanding,0.35873523327879636,expanding,0.3383323416769545,0.3492038706989751,0.3527485512493208,low
29,expanding,0.34956664599017995,60,expanding,0.3489790019637757,expanding,0.35014419170548927,0.35040795992240875,0.3539943457093062,low
30,expanding,0.33737411664210376,60,expanding,0.3463409932887703,expanding,0.32823828135068167,0.33819595699755967,0.33981132691910415,low
31,expanding,0.3356052003766475,60,expanding,0.34259083452623607,expanding,0.3283052841180796,0.3371899197063037,0.3400853426707595,low
32,expanding,0.33929687393165187,60,expanding,0.33881710655265335,expanding,0.33978568134201786,0.3410995941926046,0.34468186992296507,low
33,expanding,0.34656928090924566,60,expanding,0.34817155983887554,expanding,0.34501332278967095,0.34715489202271316,0.34829151151636795,low
34,expanding,0.33502963859908214,60,expanding,0.3397534393398023,expanding,0.3305031767927002,0.3356639720394919,0.33650670943552724,low
35,expanding,0.3266529085791145,60,expanding,0.3366431876008525,expanding,0.3160446741539701,0.3280780224712158,0.32903282348929497,low
36,expanding,0.3340099807833656,60,expanding,0.33091364166889453,expanding,0.3368643254250848,0.3362092095950657,0.339062068774858,low
37,expanding,0.32513014856811173,60,expanding,0.32151674892346926,expanding,0.3289824506685984,0.32618044116271927,0.3289082000512699,low
38,expanding,0.33322025438323216,60,expanding,0.33107999382258774,expanding,0.33538346679975484,0.33400021129887864,0.33648065047651715,low
39,expanding,0.3361274958216738,60,expanding,0.3287989751589462,expanding,0.3432441538634026,0.33726017583837903,0.33922409283641214,low
40,expanding,0.3355939928022991,60,expanding,0.3312193317698629,expanding,0.34022069191890864,0.3369788726177145,0.3384610960510341,low
41,expanding,0.33177087031007213,60,expanding,0.33120198967407094,expanding,0.3323307210947082,0.3336808816862243,0.3355509376289697,low
42,expanding,0.33292608883825553,60,expanding,0.3370821015399935,expanding,0.32861196695764716,0.33349554209602744,0.33444568760401705,low
43,expanding,0.3383828784345032,60,expanding,0.33868161370837135,expanding,0.33807483928616117,0.3388008448770375,0.33901881355727,low
44,expanding,0.3393678816655717,60,expanding,0.3341550017095607,expanding,0.3448371327669603,0.342291700865998,0.3437868535425019,low
45,expanding,0.35153696396717593,60,expanding,0.35513539229617136,expanding,0.3479337345330052,0.3524861430469079,0.35383919434811656,low
46,expanding,0.3425012674665222,60,expanding,0.3508470893399483,expanding,0.33406594616281804,0.3431531164167318,0.34489263659642755,low
47,expanding,0.34039235372771703,60,expanding,0.34269941985914804,expanding,0.3381036705933492,0.341381035379353,0.342943979778699,low
48,expanding,0.33827232421925807,60,expanding,0.3305597571990407,expanding,0.34594386694681484,0.3403076684953909,0.3414687326978771,low
49,expanding,0.33569091121429584,60,expanding,0.3365471004501906,expanding,0.3348415442033883,0.3363877194657902,0.33740059523601873,low
50,expanding,0.34335717447860503,60,expanding,0.3267690013164168,expanding,0.35963856504598407,0.3436568842045552,0.3445066391685644,low
51,expanding,0.34277566407706084,60,expanding,0.33011414398424577,expanding,0.35651064174550023,0.3450704364877094,0.3464747811776706,low
52,expanding,0.3343952495466988,60,expanding,0.34070827654639513,expanding,0.3278769208559553,0.33685550926583313,0.33926989857448736,low
53,expanding,0.34219911538052217,60,expanding,0.35307202423409023,expanding,0.33206833681573605,0.3428609693302727,0.3450956582392965,low
54,expanding,0.34480584485262994,60,expanding,0.34143792784293236,expanding,0.34805466067141494,0.3452602946006421,0.34707387883795104,low
55,expanding,0.33750554377374886,60,expanding,0.32153496830625544,expanding,0.3537987571294745,0.33900996124054095,0.34123285208376564,low
56,expanding,0.329865285204126,60,expanding,0.31528908482107226,expanding,0.34364745132506785,0.33033869085620876,0.33078037114186637,low
57,expanding,0.32734845402106727,60,expanding,0.32339926977775796,expanding,0.33120912655424295,0.329002733182019,0.33087928169224123,low
58,expanding,0.34485318638429796,60,expanding,0.3479059626159547,expanding,0.34175530533256293,0.34701728672318344,0.3492494111286723,low
59,expanding,0.3405607069022507,60,expanding,0.3423382412641264,expanding,0.33876411050968475,0.34066135669071856,0.341273999457681,low
60,expanding,0.9097809242721017,60,expanding,0.9187840604190404,expanding,0.9009913012353674,0.9040378822929205,0.9052975023442071,low
61,rolling_1,0.6741401790096477,1,rolling_1,0.6800837192634367,rolling_1,0.6687193975544713,0.6460113086048953,0.8291443855693285,low
62,rolling_3,0.5421986000732429,3,rolling_3,0.5245022097631229,rolling_3,0.5592010142927699,0.5800336239098605,0.6162453161976461,low
63,rolling_3,0.40669229996269696,3,rolling_3,0.4115878136421199,rolling_3,0.4015285389583741,0.41209915754820076,0.5168958459110077,low
64,rolling_3,0.4070767289599526,3,rolling_3,0.40153782846586134,rolling_3,0.41257882612850183,0.40643490918018604,0.4642259679825182,low
65,rolling_3,0.4321750937320335,3,rolling_3,0.4226233573044959,rolling_3,0.44177790896399644,0.43142692468090355,0.424870198153011,high
66,rolling_7,0.37779973060654076,7,rolling_7,0.3728509711262179,rolling_7,0.3827617043978925,0.3964930293116424,0.39145468821645363,high
67,rolling_7,0.3548809361450578,7,rolling_7,0.36061707705352297,rolling_7,0.34933286543031267,0.41026844124139406,0.39844362222228485,high
