day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,oracle_horizon_A,oracle_horizon_loss_A,oracle_horizon_B,oracle_horizon_loss_B,m5b_low_loss,m5b_high_loss,oracle_persistence
4,expanding,0.4065774899741257,60,expanding,0.41631133169073764,expanding,0.3972999220879799,0.41876947716341995,0.41876947716341995,low
5,expanding,0.3876780883252664,60,expanding,0.37038482138844475,expanding,0.4055814298080276,0.3881740503618959,0.39744380131083973,low
6,expanding,0.38385451734468656,60,expanding,0.4073353969124381,expanding,0.36159342372850667,0.38398625532917435,0.3929788604092831,low
7,expanding,0.37015720987501133,60,expanding,0.3814191592442257,expanding,0.3588350361776193,0.370636776227704,0.38146394931703115,low
8,expanding,0.363431289960281,60,expanding,0.3634165288897204,expanding,0.36344577803878364,0.3656156269299272,0.3748543317492507,low
9,expanding,0.3632015946514629,60,expanding,0.3790147947292119,expanding,0.3484677243922854,0.3634052447538823,0.3657015246655216,low
10,expanding,0.34497233998115584,60,expanding,0.3422180499744999,expanding,0.3477119795090529,0.34520889840514163,0.34667038683458495,low
11,expanding,0.37399325537003614,60,expanding,0.37969622499567995,expanding,0.36818282736652025,0.37453049218514056,0.37629079244652425,low
12,expanding,0.35885893403208446,60,expanding,0.37020934339147504,expanding,0.34863061837362225,0.3609180876197103,0.3630829927700612,low
13,expanding,0.36440118763359486,60,expanding,0.3758519816343022,expanding,0.3535886102784227,0.3662014878678759,0.37030010105553324,low
14,expanding,0.36351137799128885,60,expanding,0.356927633567493,expanding,0.3706724027194678,0.3641553060506794,0.3672139671195105,low
15,expanding,0.3657567266387221,60,expanding,0.3829003975344511,expanding,0.3487496586983377,0.3675703118558601,0.37084307859924576,low
16,expanding,0.3626518341195547,60,expanding,0.37636635064588114,rolling_14,0.3475525422267309,0.36360014708386384,0.3655826313936075,low
17,expanding,0.37176535860177123,60,expanding,0.38013440869619763,expanding,0.36350715685296636,0.3736512471449858,0.37711777563123744,low
18,expanding,0.3696388102890801,60,expanding,0.3643854549551344,rolling_14,0.37283772044235175,0.36944459334827706,0.37145558920975963,low
19,expanding,0.3594853895040877,60,expanding,0.37189212652036713,expanding,0.346537759320886,0.3600154674413111,0.3617649816197253,low
20,expanding,0.36485466126275073,60,expanding,0.3642854632327801,expanding,0.3654408042949668,0.36595109689074934,0.36807606469490367,low
21,expanding,0.3546447871426814,60,expanding,0.3597198382807248,expanding,0.34982695107206324,0.35694324919942727,0.36093399303331336,low
22,expanding,0.38532395950778575,60,expanding,0.3833213683785804,expanding,0.38744758636458043,0.385471616449027,0.3871159373640329,low
23,expanding,0.3817206328834471,60,expanding,0.38755776031496647,expanding,0.37617194607923293,0.38288579500013914,0.38612897422419334,low
24,expanding,0.34661957106521035,60,expanding,0.34620108661392957,expanding,0.3470248749038523,0.3467790267217163,0.34805258283944823,low
25,expanding,0.3807507416252961,60,expanding,0.38493564938412644,expanding,0.3764584560846726,0.38180987357921176,0.3840008450300824,low
26,expanding,0.3686619373277361,60,expanding,0.3818011648637726,expanding,0.3553995020318174,0.36921711766140525,0.3705600105603543,low
27,expanding,0.3822604657434592,60,rolling_14,0.38783262242992106,expanding,0.3749777642560095,0.3818835760143145,0.3823672150812796,low
28,expanding,0.3671275299340654,60,rolling_14,0.3764576436841502,expanding,0.35758241544848396,0.36699303398882677,0.36817001109462927,low
29,expanding,0.3754165272899736,60,expanding,0.3844871566024497,expanding,0.36644213807630377,0.37672691144171927,0.3783427736709506,low
30,expanding,0.39858064454934167,60,expanding,0.41429451203934325,rolling_14,0.3817413762343274,0.3965977397422019,0.3960428373986768,high
31,expanding,0.3801817732298332,60,expanding,0.37987250122014204,expanding,0.3804861361600055,0.38028030119573564,0.38122885807614904,low
32,rolling_14,0.372427636703754,14,rolling_14,0.39098725915741106,rolling_14,0.3535435016853391,0.37185162924781556,0.3718627006925138,low
33,expanding,0.3863302538746064,60,expanding,0.4031927780221858,rolling_14,0.3686989271151952,0.3841312968600555,0.3847611974633193,low
34,rolling_14,0.3755305297617759,14,rolling_14,0.37810051069892087,rolling_14,0.37301479644335694,0.3737228856033392,0.37390838731290726,low
35,rolling_14,0.39424520992180956,14,rolling_14,0.41231182026827384,expanding,0.37438870065136537,0.3949625875104621,0.39507527320144414,low
36,rolling_14,0.3854889764457992,14,expanding,0.4011792441517545,rolling_14,0.3673861466505926,0.38562495381382816,0.3859408002216292,low
37,rolling_14,0.37901854680896657,14,rolling_14,0.392857759171275,rolling_14,0.3648809147730775,0.3770079275244032,0.37758938329060115,low
38,rolling_14,0.37635589969189215,14,expanding,0.3784621341156995,rolling_14,0.37242912195637917,0.37345083309360577,0.3746360971151374,low
39,expanding,0.38350228146016163,60,rolling_14,0.3851371691445872,expanding,0.38025605793088213,0.3811487571619643,0.3829274410819697,low
40,rolling_14,0.3894127934447019,14,rolling_14,0.41144160160373333,rolling_14,0.36782019930862175,0.3878754720585962,0.38825648356549625,low
41,rolling_14,0.38524838778199105,14,rolling_14,0.3850870555019676,expanding,0.3838217677916769,0.38344258993484354,0.3840314206647713,low
42,rolling_14,0.376428114124171,14,rolling_14,0.3916482462403252,rolling_14,0.36132925796113363,0.3755305873275803,0.37551910517584147,high
43,rolling_14,0.39435353443227683,14,rolling_14,0.4030087730082952,rolling_14,0.38555869523406466,0.39276195352127646,0.3936203510499048,low
44,rolling_14,0.3808756464221454,14,rolling_14,0.38726939232490254,rolling_14,0.3744219457687931,0.3804259018323972,0.38096714829747413,low
45,rolling_14,0.38904078175673074,14,rolling_14,0.3920140807862122,rolling_14,0.38599525683989366,0.38833586880773374,0.3899820674352918,low
46,rolling_14,0.39701137942258136,14,rolling_14,0.4024574039036881,rolling_14,0.39157985833556547,0.3977280020777245,0.40095743645341303,low
47,rolling_14,0.3804624371923294,14,rolling_14,0.4026713200309395,rolling_14,0.35851847144523363,0.3816435550779852,0.38608406838916226,low
48,rolling_14,0.4002230166345586,14,rolling_14,0.4128373044117383,rolling_14,0.3877591974988562,0.4002248905590109,0.401168640773973,low
49,rolling_14,0.3815639480048882,14,rolling_14,0.39677413337532236,rolling_14,0.36673426760092964,0.3808050304287793,0.3817006579324581,low
50,rolling_14,0.40441705457641064,14,rolling_14,0.41504144173140983,rolling_14,0.39391939967375733,0.4052584849790375,0.40809811702832743,low
51,rolling_14,0.39486987397612583,14,rolling_14,0.40952607093052706,rolling_14,0.3801156422594877,0.3944204864361792,0.3965217917831921,low
52,rolling_14,0.40112374095322495,14,rolling_14,0.40568777902784237,rolling_14,0.3966560414131641,0.4022352709991328,0.4081925682268586,low
53,rolling_14,0.40690011208630034,14,rolling_14,0.4217580322697254,rolling_14,0.3919228511785105,0.4069858186325472,0.4096829218658125,low
54,rolling_14,0.3983594509739483,14,rolling_14,0.4022155310431364,rolling_14,0.3944516114407443,0.39875603189737446,0.4044717855038642,low
55,rolling_14,0.39669738383319275,14,rolling_14,0.40222324868203413,rolling_14,0.39125197499141573,0.39723437492614144,0.40092792125356647,low
56,rolling_14,0.37913376502730234,14,rolling_14,0.39936924954897957,rolling_14,0.3590862677540017,0.38001013112082954,0.3870419239732921,low
57,rolling_14,0.3976970867916973,14,rolling_14,0.4146555991089973,rolling_14,0.3809185056395677,0.3972890343125029,0.40044851606981446,low
58,rolling_14,0.37405337840015157,14,rolling_14,0.38717264170679017,rolling_14,0.360525525985791,0.37555443144934725,0.3837214728794564,low
59,rolling_14,0.3973039145635852,14,rolling_14,0.39538186756271093,rolling_14,0.39921828872214066,0.3971129331148524,0.4032422506387197,low
60,rolling_14,0.3933474613822079,14,rolling_14,0.4198257623663052,rolling_14,0.3677031226338302,0.39370746671409174,0.3985184574188979,low
61,rolling_14,0.3964701532878161,14,rolling_14,0.41574673011610946,rolling_14,0.3772449122167218,0.3974958949848069,0.40061020536386466,low
62,rolling_14,0.39678144235343704,14,rolling_14,0.4029013727291832,rolling_14,0.39062878507728566,0.39747743317601064,0.4026419694995622,low
63,rolling_14,0.3989021931222264,14,rolling_14,0.40293693641944733,rolling_14,0.3949261952601734,0.3993645433877479,0.4053922353251166,low
64,rolling_14,0.3851648509921236,14,rolling_14,0.39448536974504544,rolling_14,0.3758443322392018,0.3858428181580184,0.3940071500455207,low
65,rolling_14,0.3833237725951538,14,rolling_14,0.40258180380664543,rolling_14,0.3627924831217455,0.3862695203082346,0.39199422266671197,low
66,rolling_14,0.40383347705475825,14,rolling_14,0.41296708941524063,rolling_14,0.39473632622066507,0.4032501485850888,0.4091427337355079,low
67,rolling_14,0.4013839334040361,14,rolling_14,0.4038306625072739,rolling_14,0.3990643071113562,0.4000775727788229,0.4052026111129517,low
68,rolling_14,0.3988590508497374,14,rolling_14,0.4020057246181485,rolling_14,0.395839806064763,0.40066811823940096,0.40825041834962206,low
69,rolling_14,0.3924501704445839,14,rolling_14,0.38413789332851933,rolling_14,0.40115962121124543,0.3939170286210886,0.3986213636148029,low
70,rolling_14,0.3956648833923699,14,rolling_14,0.40451835031434735,rolling_14,0.38649908249485454,0.39656101586316733,0.4044357447321798,low
71,rolling_14,0.4000525199527656,14,rolling_14,0.41704671837821705,rolling_14,0.3834170381167696,0.39996186666008726,0.40699541667007716,low
72,rolling_14,0.3936342788937144,14,rolling_14,0.40006620742449855,rolling_14,0.387210920554177,0.39437464236634595,0.4021470752452082,low
73,rolling_14,0.38874585196358064,14,rolling_14,0.38664582880937903,rolling_14,0.3909520963846387,0.3904477564524031,0.3981206626365605,low
74,rolling_14,0.4130635567732743,14,rolling_14,0.4081282007162501,rolling_14,0.41790763808155573,0.4139458978149237,0.41940456592980974,low
75,rolling_14,0.3622255671116973,14,rolling_14,0.3649905475886612,rolling_14,0.35911177974252945,0.3631580623137206,0.3725297325598829,low
76,rolling_14,0.38524254652854645,14,rolling_14,0.38909481688471503,rolling_14,0.38131768965153473,0.38607106590112034,0.39181374990431467,low
77,rolling_14,0.3877962899870516,14,rolling_14,0.39520796702853517,rolling_14,0.38076963512954115,0.3883108938627592,0.39381315096316066,low
78,rolling_14,0.3819207681101499,14,rolling_14,0.37759240340367944,rolling_14,0.3860024384551116,0.384347303126879,0.3910957577591736,low
79,rolling_14,0.40092591563871305,14,rolling_14,0.4030413207998958,rolling_14,0.39874753495175763,0.4008074309291427,0.40468151859253104,low
80,rolling_14,0.38548198754219487,14,rolling_14,0.40648507896044417,rolling_14,0.36532944587439065,0.38577131452359376,0.39193187973369703,low
81,rolling_14,0.40364456643393576,14,rolling_14,0.39397276261087094,rolling_14,0.41361759095832834,0.40453667110455477,0.4102938283456549,low
82,rolling_14,0.3938184926556021,14,rolling_14,0.4079704701983694,rolling_14,0.3796853718450703,0.39573536323323144,0.399493719902184,low
83,rolling_14,0.3805644386963884,14,rolling_14,0.3884379915655342,rolling_14,0.3720461396519759,0.38149061938621104,0.3866139372571871,low
84,rolling_14,0.38919943042270144,14,rolling_14,0.39649029050955265,rolling_14,0.3816815022491913,0.39019947272422634,0.395074741871353,low
85,rolling_14,0.37522917835360853,14,rolling_14,0.3855193822977061,rolling_14,0.3649800530679703,0.3759455959678589,0.3808730096011419,low
86,rolling_14,0.3766724533241165,14,rolling_14,0.3789932833433703,rolling_14,0.37433298209988863,0.3783746128679374,0.38373745388357217,low
87,rolling_14,0.37229580244362614,14,rolling_14,0.3672242196286228,rolling_14,0.37758848968653147,0.3739475313376535,0.3777136440582056,low
88,rolling_14,0.38671093760287445,14,rolling_14,0.3872999709839596,rolling_14,0.38611875431066056,0.3875933263386674,0.39131303515982213,low
89,rolling_14,0.37209427874208945,14,rolling_14,0.35427286429676863,rolling_14,0.38984454981637096,0.3731338646509736,0.37722471856434453,low
90,rolling_14,0.3659151310239355,14,rolling_14,0.3790595002806539,rolling_14,0.35308248593931335,0.3661268781435797,0.3691009036718353,low
91,rolling_14,0.3850212359561398,14,rolling_14,0.3921834465076603,rolling_14,0.3777240712354117,0.3864841096860031,0.39043026037681305,low
92,rolling_14,0.39994800218648835,14,rolling_14,0.4201203278829486,rolling_14,0.381426608516337,0.4007417243473554,0.40364641581850835,low
93,rolling_14,0.3680160554842859,14,rolling_14,0.36475851660708714,rolling_14,0.37128665062952954,0.36934299370055185,0.37252541580526105,low
94,rolling_14,0.38634816847151693,14,rolling_14,0.40811379109683826,rolling_14,0.36568567681745956,0.38793543661466484,0.39050441238930617,low
95,rolling_14,0.3920346561781764,14,rolling_14,0.39675891590141293,rolling_14,0.3873542847337225,0.3933889395276556,0.3967363969890729,low
96,rolling_14,0.38000512764604627,14,rolling_14,0.39447848228252996,rolling_14,0.365666230186013,0.38012672691699445,0.383285113832923,low
97,rolling_14,0.37169733513758374,14,rolling_14,0.3934670016372984,rolling_14,0.3489482562391088,0.37419184128386845,0.3784893976360444,low
98,rolling_14,0.36264488222385793,14,rolling_14,0.3704467314343223,rolling_14,0.3550685792454964,0.36289157471782735,0.3661730305460348,low
99,rolling_14,0.370957579178038,14,rolling_14,0.3814443522341671,rolling_14,0.36062349242716024,0.3705921907194257,0.3744553700776146,low
100,rolling_14,0.34840583109208506,14,rolling_14,0.3607446514030854,rolling_14,0.33624666269825354,0.3503716439666761,0.35242231123508105,low
101,rolling_14,0.360493808411432,14,rolling_14,0.3585775577340766,rolling_14,0.36235466156592044,0.36342882693143597,0.3657816519070704,low
