method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
validation_selected(h=rolling_14),0.3625620019936246,0.35840928408200906,0.3670241880008063,0.11500829398106192,0.8976425654460742,0.036606412342017544,0.0
rolling_14,0.3625620019936246,0.35840928408200906,0.3670241880008063,0.11500829398106192,0.8976425654460742,0.036606412342017544,0.0
han_arw,0.3625620019936246,0.35840928408200906,0.3670241880008063,0.11500829398106192,0.8976425654460742,0.036606412342017544,0.0
m5b_smooth0.01,0.363644950101075,0.3595835331312285,0.3680062483850071,0.11525339229837522,0.8975242408763773,0.03818486881434064,0.0010829481074503228
m5b_smooth0.001,0.3636842615779916,0.35959642210718035,0.36805945196991335,0.11527402625040589,0.8974574943177024,0.03800200397658723,0.0011222595843670595
m5b_smooth0,0.3637146386203534,0.3596289133082603,0.3680388202946083,0.1152892739404285,0.8974201672674811,0.038045311913558644,0.0011526366267288995
m5b_smooth0.3,0.3640936353719241,0.3599719714189991,0.36852294773429295,0.11535353657399389,0.8973306544705583,0.03869424738013549,0.0015316333782995112
ensemble3,0.364701421244926,0.36060914278893685,0.3690511473623057,0.11552582969190743,0.8971686366659763,0.039331808504265625,0.0021394192513014207
m5b_smooth0.1,0.36494293086061996,0.36076613687108244,0.3694863371589526,0.11555558669270058,0.8971116905014287,0.04019987637789519,0.002380928866995275
rolling_7,0.3763106310369293,0.3718932445590332,0.3809468187160351,0.12043278467333267,0.8850107551481209,0.02425552454291864,0.013748629043304799
adamoe,0.3905336238521139,0.38720103697757297,0.39409692538743674,0.12482936270596105,0.8795624588279313,0.038685052128551854,0.027971621858489237
uniform5,0.39215185870489183,0.38884948502354577,0.39569798329554917,0.12547097950747355,0.8781434689171222,0.03786494222112139,0.029589856711267227
m1_global_mix,0.40888015541817696,0.4055173267899572,0.4122516116126838,0.13178907561461256,0.8615524428018567,0.024495368525978976,0.04631815342455239
m2_context_gate,0.40905575508375874,0.405558008263602,0.4125195367121986,0.13183822361114647,0.8613753408863251,0.024854922727391357,0.04649375309013416
diff_forgetting,0.4198558972186535,0.4172799438504768,0.42247101230999556,0.13427817389610858,0.8812943716995505,0.08899452138177431,0.0572938952250289
rolling_3,0.4318020849658039,0.4267534041213135,0.43724143562759266,0.13873782860515943,0.8491165414766938,0.04252784398499924,0.06924008297217932
decay_hl7,0.4528587044476325,0.449647246242742,0.4558163141195439,0.14489493941773976,0.8966535711374414,0.14685969408768945,0.09029670245400782
expanding,0.477801241966046,0.4724525462808053,0.48284564696015186,0.15726518486140129,0.8007304806903125,0.03377118991407959,0.11523923997242141
decay_hl3,0.5073300296588975,0.5034244125221994,0.5110510569036998,0.16609342722568476,0.8813211136494048,0.17425391576956373,0.1447680276652729
decay_hl1,0.5705813734654156,0.5663858296907799,0.5747879086203734,0.19194512697234725,0.8321335474422907,0.16753288700676536,0.20801937147179103
rolling_1,0.6870647511331551,0.6759844007725747,0.698619969177229,0.19735100260895477,0.7553604416568866,0.143993888100142,0.3245027491395305
