day,selected_window
7,expanding
8,expanding
9,expanding
10,expanding
11,expanding
12,expanding
13,expanding
14,expanding
15,expanding
16,expanding
17,expanding
18,expanding
19,expanding
20,expanding
21,expanding
22,expanding
23,expanding
24,expanding
25,expanding
26,expanding
27,expanding
28,expanding
29,expanding
30,expanding
31,expanding
32,expanding
33,expanding
34,expanding
35,expanding
36,expanding
37,expanding
38,expanding
39,expanding
40,expanding
41,expanding
42,expanding
43,rolling_14
44,rolling_14
45,rolling_14
46,rolling_14
47,rolling_14
48,rolling_14
49,rolling_14
50,rolling_14
51,rolling_14
52,rolling_14
53,rolling_14
54,rolling_14
55,rolling_14
56,rolling_14
57,rolling_14
58,rolling_14
59,rolling_14
60,rolling_14
61,rolling_14
62,rolling_14
63,rolling_14
64,rolling_14
65,rolling_14
66,rolling_14
67,rolling_14
68,rolling_14
69,rolling_14
70,rolling_14
71,rolling_14
72,rolling_14
73,rolling_14
74,rolling_14
75,rolling_14
76,rolling_14
77,rolling_14
78,rolling_14
79,rolling_14
80,rolling_14
81,rolling_14
82,rolling_14
83,rolling_14
84,rolling_14
85,rolling_14
86,rolling_14
87,rolling_14
88,rolling_14
89,rolling_14
90,rolling_14
91,rolling_14
92,rolling_14
93,rolling_14
94,rolling_14
95,rolling_14
96,rolling_14
97,rolling_14
98,rolling_14
99,rolling_14
100,rolling_14
101,rolling_14
102,rolling_14
103,rolling_14
104,rolling_14
105,rolling_14
106,rolling_14
107,rolling_14
108,rolling_14
109,rolling_14
110,rolling_14
111,rolling_14
112,rolling_14
113,rolling_14
114,rolling_14
115,rolling_14
116,rolling_14
117,rolling_14
118,rolling_14
119,rolling_14
