method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
m5b_smooth0.1,0.41175437447015595,0.40204458550378813,0.42136242926913403,0.13231410993145534,0.8441788011862381,0.04008424387385965,0.003228276236614937
m5b_smooth0.3,0.41270640861530195,0.40268857780586526,0.422935382100025,0.13269621980142537,0.8430020317112169,0.0400798995071485,0.0041803103817609705
ensemble3,0.41327530706829124,0.40315325252187323,0.42338358733374487,0.1329167489626968,0.8425456605093506,0.039823814852115905,0.004749208834750297
m2_context_gate,0.4179765867578214,0.4073612814089102,0.4283829998121162,0.13493346817971463,0.837366903613752,0.03955648961613193,0.009450488524280428
m1_global_mix,0.4198507262783647,0.40875998205592107,0.43128719872010124,0.13599131403751877,0.8322109530871579,0.03487211896097675,0.011324628044823832
han_arw,0.421458287998176,0.40820271173974454,0.43422222969231544,0.13577304219918918,0.8344617836760827,0.03946614032467909,0.012932189764635046
expanding,0.421458287998176,0.40820271173974454,0.43422222969231544,0.13577304219918918,0.8344617836760827,0.03946614032467909,0.012932189764635046
validation_selected(h=expanding),0.421458287998176,0.40820271173974454,0.43422222969231544,0.13577304219918918,0.8344617836760827,0.03946614032467909,0.012932189764635046
m5b_smooth0.01,0.4221733472633099,0.4101975542445492,0.4337813854000567,0.13640631157055644,0.8331535101915869,0.03877210537561382,0.01364724902976894
adamoe,0.4239165945580278,0.41330690442557894,0.434646904185696,0.13715973199341924,0.826764066609091,0.032738680146927136,0.015390496324486769
uniform5,0.42469491491710576,0.41395860100351145,0.4355759818963187,0.13743749683632936,0.8259408839462228,0.03253992470094526,0.016168816683564766
diff_forgetting,0.42564515425894295,0.41291779332433587,0.43801763212258293,0.13702692461281005,0.8334884306454896,0.04502454248056456,0.01711905602540194
m5b_smooth0.001,0.425803055889827,0.41305411411430504,0.4385336456781012,0.13770002839703402,0.8299137743065094,0.03963762525302775,0.017276957656285962
m5b_smooth0,0.43004809678200495,0.41674402031219077,0.44370497087888183,0.13909624455586037,0.8246936478525616,0.03766192503299965,0.021521998548463955
rolling_14,0.4363926113722278,0.42265840510533287,0.45012317163817206,0.1415727872476152,0.8158530376312313,0.033367936644047975,0.02786651313868679
decay_hl7,0.47483359986155727,0.46509402316108395,0.4847940877300169,0.15395935354196658,0.8163074552654873,0.09543720476631719,0.06630750162801635
rolling_3,0.4821713353294457,0.4617383078208389,0.5033673534818659,0.15268290992119576,0.796784442925649,0.07378796250480049,0.07364523709590474
rolling_7,0.5049783523435729,0.4748434602589439,0.5348161629412677,0.16293045274100768,0.758789245057924,0.06774488511805529,0.09645225411003193
decay_hl3,0.5066428596873953,0.49863468589936794,0.5148837592341041,0.16574718459101978,0.8011939477700574,0.11655525595501406,0.0981167614538544
decay_hl1,0.5442232898552634,0.5386345574170098,0.5499131475718633,0.17986711963556704,0.7861686367373033,0.12150022361378925,0.13569719162172228
rolling_1,0.6751464240764626,0.6606283211537587,0.6892076046919234,0.19047058939794814,0.7373066603760632,0.14413414157760207,0.2666203258429217
