day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,oracle_horizon_A,oracle_horizon_loss_A,oracle_horizon_B,oracle_horizon_loss_B,m5b_low_loss,m5b_high_loss,oracle_persistence
4,rolling_3,0.4192548083287929,3,rolling_3,0.42625833511656136,rolling_3,0.4125617377480441,0.41744035894665343,0.41744035894665343,low
5,expanding,0.4123581114969749,60,expanding,0.39913149327391245,expanding,0.4256023769758385,0.41048435335601424,0.4116421948308057,low
6,expanding,0.38817789271551373,60,expanding,0.38469651621036616,expanding,0.3917390850002804,0.39341456145059345,0.3938660273732158,low
7,expanding,0.4640168006678297,60,expanding,0.4751143260754384,expanding,0.45285993020456544,0.46446445723458557,0.4658819841157868,low
8,expanding,0.5633666598275489,60,expanding,0.5745598208750147,expanding,0.5518863008598914,0.569880391364482,0.5581850421404022,high
9,rolling_3,0.5403822364531908,3,rolling_3,0.5423244434042106,rolling_3,0.5384503603902083,0.5975215952361557,0.5691633721593861,high
10,rolling_3,0.4431893616123233,3,rolling_3,0.45187074047002124,rolling_3,0.434213698725551,0.5250530790303993,0.49988189090474794,high
11,rolling_3,0.42790770738338557,3,rolling_3,0.4332923025225791,rolling_3,0.4224435547606042,0.5024219805616603,0.46789850372726716,high
12,rolling_3,0.42206939262108,3,rolling_3,0.42382525123904585,rolling_3,0.4203551749189554,0.45816047133500165,0.43281071270955673,high
13,rolling_7,0.4032756820720323,7,rolling_7,0.42253517445860445,rolling_7,0.38349566286420145,0.4120655345346995,0.4292563738303388,low
14,expanding,0.3710821606818127,60,expanding,0.3755720412479768,expanding,0.3664647784362849,0.393654181598807,0.41463218476851155,low
15,expanding,0.41159348417905084,60,expanding,0.40690611716484737,expanding,0.41637554547636957,0.42679174746442305,0.45137980206778394,low
16,expanding,0.46637221840074655,60,expanding,0.4519691271581498,expanding,0.4803216689742851,0.4732519960437665,0.48524237566318007,low
17,expanding,0.49066957682853685,60,expanding,0.5094390779537749,expanding,0.47172407234378555,0.4973331635112187,0.47955751081534564,high
18,rolling_3,0.45250180871052137,3,rolling_3,0.4286945787654695,rolling_3,0.47634080280493274,0.4982138159739305,0.4623992459976396,high
19,rolling_3,0.43066981422915873,3,rolling_3,0.4272057500911368,rolling_3,0.43406528303771486,0.4361525058215835,0.4216504364209007,high
20,expanding,0.3967969045386085,60,expanding,0.38807869842117104,rolling_7,0.4024647520739125,0.3973670969678143,0.40382443340568036,low
21,expanding,0.3729550186191348,60,rolling_14,0.35459350080280555,expanding,0.3878215659061324,0.3728748177466663,0.3887425445754158,low
22,rolling_14,0.4168581670907573,14,rolling_14,0.41438895408192195,rolling_14,0.4194453629737349,0.44260923200817265,0.4499727795916326,low
23,rolling_14,0.4509128270150374,14,rolling_14,0.4568411745779217,rolling_14,0.4451864939169433,0.48639342042387457,0.462979782141437,high
24,rolling_3,0.45904609331998686,3,rolling_3,0.4483946938129591,rolling_3,0.4699999666466869,0.4974247500390792,0.4509066250113884,high
25,rolling_3,0.43007725925961937,3,rolling_3,0.4402948807394837,rolling_3,0.42033858878662356,0.5073157161897741,0.44365383454596957,high
26,rolling_3,0.4236400184321545,3,rolling_3,0.4138488190284511,rolling_3,0.433211771046322,0.47330362627911077,0.4140654428686583,high
27,rolling_7,0.41262098484298665,7,rolling_7,0.4144964873250135,rolling_7,0.4107429800227584,0.43037924734195826,0.4190556094772215,high
28,expanding,0.39321802491222674,60,expanding,0.39933182381052207,expanding,0.38698902657304834,0.39299074086062313,0.4265646550798645,low
29,expanding,0.41682905603888804,60,expanding,0.399801828565075,expanding,0.43369810090843214,0.4225745345477146,0.4552474634991842,low
30,expanding,0.4675224935980126,60,expanding,0.4715167019311934,expanding,0.46357592989703683,0.4723149871197955,0.4807271648735388,low
31,expanding,0.4782232127007913,60,expanding,0.4882586125515522,expanding,0.4680531094963288,0.4772477322170455,0.4728392188333637,high
32,rolling_3,0.4279165892479374,3,rolling_3,0.42021167334734744,rolling_3,0.43563178522311147,0.46635422024131384,0.45448475849721837,high
