day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,oracle_horizon_A,oracle_horizon_loss_A,oracle_horizon_B,oracle_horizon_loss_B,m5b_low_loss,m5b_high_loss,oracle_persistence
4,expanding,0.3899073892520966,60,expanding,0.3656695953882008,expanding,0.4135388393590285,0.39907604515239214,0.39907604515239214,low
5,expanding,0.36015593408564733,60,expanding,0.339971253486546,expanding,0.38052988831394313,0.3614109215472112,0.3683441220700853,low
6,expanding,0.36652382106761616,60,expanding,0.36482761716996076,expanding,0.36814699857437433,0.366837672914356,0.37199541344179193,low
7,expanding,0.3608919987132055,60,expanding,0.365316559821226,expanding,0.3565434710412778,0.36130252466744583,0.36739768950206614,low
8,expanding,0.35867014637952405,60,expanding,0.3370554122327551,expanding,0.3791893969243124,0.3589984176749695,0.36361997231009613,low
9,expanding,0.34069298344490473,60,expanding,0.3506403582721442,expanding,0.33015846089279055,0.342029139549698,0.34612894606777594,low
10,expanding,0.32297777556847107,60,expanding,0.33658960041542835,expanding,0.3087155563602257,0.3249571209928258,0.3297005209654435,low
11,expanding,0.3388171866042687,60,expanding,0.33702968523930554,expanding,0.3406046879692318,0.340420093963121,0.34602118806266585,low
12,expanding,0.31575432488607763,60,expanding,0.3104635568904815,expanding,0.3210521519450435,0.31693587228012077,0.32330189680052157,low
13,expanding,0.345628382236797,60,expanding,0.33520923491505744,expanding,0.35606143102260834,0.3467593366083711,0.3524685317473368,low
14,expanding,0.3495982713699807,60,expanding,0.3596050857898142,expanding,0.33972399753848925,0.3509284979013008,0.3553672042934753,low
15,expanding,0.3296209125935037,60,expanding,0.3109746970079573,expanding,0.34824228312164085,0.33091076430929894,0.3357342179765975,low
16,expanding,0.3397392316785245,60,expanding,0.3387794119413853,expanding,0.34066018216438826,0.34140387523602456,0.3461400744871104,low
17,expanding,0.34868024238794065,60,expanding,0.34528697599228614,rolling_14,0.3509670202232764,0.3504849033787462,0.3555909396269094,low
18,expanding,0.3312700303817921,60,expanding,0.33060509323710563,expanding,0.33195842528192204,0.3325748678334559,0.33597555839010596,low
19,expanding,0.3320052398007908,60,expanding,0.3262372469889612,expanding,0.33800065856985084,0.33483391365931897,0.3394215939375019,low
20,expanding,0.3281080456731148,60,expanding,0.32766203780619363,expanding,0.3285534592590675,0.3302507532219175,0.335831325090087,low
21,expanding,0.32500473478130143,60,expanding,0.3104609345355415,expanding,0.3388114223440404,0.3265039338490731,0.3332429077763059,low
22,expanding,0.33114753885257686,60,expanding,0.33679629685143064,expanding,0.325052517228034,0.3316306760892341,0.3359358627539856,low
23,expanding,0.33264638411160263,60,expanding,0.3225472030728521,expanding,0.3426517439595485,0.3343983225470218,0.34035552504671457,low
24,expanding,0.33022550794912625,60,expanding,0.332359572551344,expanding,0.3281860433423132,0.33110770490939717,0.33471619382359025,low
25,expanding,0.3341667545410387,60,expanding,0.33036064129656467,expanding,0.33799832673698077,0.33493819087784726,0.33852267755601734,low
26,expanding,0.31519519574312244,60,expanding,0.31908756505289715,expanding,0.3113028264333477,0.3165500305968749,0.3205836063627572,low
27,expanding,0.3173952082940645,60,expanding,0.30644215160446747,expanding,0.32865930513306174,0.3184771481622824,0.32246840344920696,low
28,expanding,0.32513873688525796,60,expanding,0.31546280803906895,expanding,0.334046538217409,0.3258242388185729,0.32883389944159885,low
29,expanding,0.33967774773767573,60,expanding,0.33549950242422516,expanding,0.34390643464444753,0.3408514441697447,0.34620433529562117,low
30,expanding,0.32750209802774854,60,expanding,0.30668772017970686,expanding,0.3471039878458072,0.32951506171495987,0.3345645029366022,low
31,expanding,0.3268571092484224,60,expanding,0.3274630592499088,expanding,0.32623809293962625,0.3280988334709996,0.3323986711039149,low
32,expanding,0.3282112838731323,60,expanding,0.320478933512726,expanding,0.3363239137594603,0.3293174010583556,0.33355983602692524,low
33,expanding,0.32587357634567243,60,expanding,0.3102765041235471,expanding,0.34114142276891385,0.3266311775859611,0.3293085024141539,low
34,expanding,0.3340417416399449,60,expanding,0.3326132197812098,expanding,0.3355667453333845,0.3354204603101984,0.33981313599167845,low
35,expanding,0.3296289685273073,60,expanding,0.3324147132145609,expanding,0.3270780375684812,0.3308587701983609,0.33354271125916407,low
36,expanding,0.3419092665466715,60,expanding,0.3460041505654241,expanding,0.33809896906204046,0.34369099168053585,0.34820791829885167,low
37,expanding,0.3290852123967114,60,expanding,0.33162937034221424,expanding,0.32644074094961834,0.3304328298766374,0.33479902857016336,low
38,expanding,0.3321874326990621,60,expanding,0.3397390509988049,expanding,0.3247853513953538,0.3338616841462474,0.3390426681475372,low
39,expanding,0.3135149996096162,60,expanding,0.3097325330920215,expanding,0.31739969495201076,0.3146216193757796,0.3181777080456423,low
40,expanding,0.33086067513697287,60,expanding,0.3378628119458762,expanding,0.3241956613754729,0.33175811284117573,0.3348374452874616,low
41,expanding,0.3208419213440147,60,expanding,0.3135863977455264,expanding,0.3283234125021039,0.32288126106816434,0.3271739421083525,low
42,expanding,0.3304595558419427,60,expanding,0.3227007613825084,expanding,0.33812580006925635,0.3320167453312511,0.3362211204477345,low
43,expanding,0.3286039996969986,60,expanding,0.33101447666909645,expanding,0.32604442105652354,0.32951129237715715,0.3339724921334957,low
44,expanding,0.3337526521362556,60,expanding,0.3292162286753038,expanding,0.3383807205156104,0.33422640841804263,0.3374165249943061,low
45,expanding,0.31666088144008,60,expanding,0.3110139732039718,expanding,0.32253044139453924,0.31810559823334145,0.3212262397515029,low
46,expanding,0.3292965706387098,60,expanding,0.32488584069184345,expanding,0.33350615980624027,0.3304113270309357,0.33259318031823104,low
47,expanding,0.3260722283462815,60,expanding,0.31334475114623134,expanding,0.33839884012270793,0.32731891748822217,0.3309903967690131,low
48,expanding,0.3364003137232322,60,expanding,0.3426082835346656,expanding,0.3305069778593568,0.3378968733647971,0.34145590028411676,low
49,expanding,0.3180348109039729,60,expanding,0.3168667200217745,expanding,0.31922491157399185,0.319735817533035,0.32385523735162625,low
50,expanding,0.3322087064765492,60,expanding,0.3248869413530442,expanding,0.33958928095847596,0.3337755698253498,0.33809984369002977,low
51,expanding,0.31714602885381143,60,expanding,0.31987771450960883,expanding,0.31434051385596534,0.3179282055629038,0.320013617311195,low
52,expanding,0.3365201429106613,60,expanding,0.3206288351881837,expanding,0.35152573937965026,0.33693166358363486,0.33915720153810425,low
53,expanding,0.3141914842181899,60,expanding,0.3021497946397041,expanding,0.32650924759685673,0.3168739854163479,0.3191488869955913,low
54,expanding,0.32926449373499833,60,expanding,0.3257809634430303,expanding,0.33277132523293274,0.33028958820251514,0.33318536726683345,low
55,expanding,0.33091345405848827,60,expanding,0.32523171586027744,expanding,0.33662557588342756,0.33160527775040577,0.3346695599313005,low
56,expanding,0.32141984796571327,60,expanding,0.30393650543575823,expanding,0.33855698569309484,0.32269049962435264,0.32582215652039437,low
57,expanding,0.3260200110427056,60,expanding,0.32171812141462536,expanding,0.3304322800130324,0.32744803316106424,0.33064670072578844,low
58,expanding,0.3342785276411823,60,expanding,0.3351666576014377,expanding,0.3333986483905777,0.3359793495037163,0.3394859870726224,low
59,expanding,0.32344474927147754,60,expanding,0.3214200530422472,expanding,0.32552972062525876,0.3243787652415287,0.3278717737847345,low
60,expanding,0.6420553037288794,60,expanding,0.9610568201377249,expanding,0.3347449423716673,0.6383544161230724,0.6380414566436419,high
61,rolling_7,0.6303617069104865,7,rolling_3,0.8346141569670357,expanding,0.34948768967092547,0.5796901833552616,0.6085175510549999,low
62,rolling_7,0.5978751847846291,7,rolling_3,0.7279147958749699,expanding,0.32363275582401274,0.5564998413178787,0.578508633928021,low
63,rolling_7,0.5711299906156778,7,rolling_3,0.6098095861561654,expanding,0.3404254632229146,0.5358885579685037,0.5564999499366688,low
64,rolling_7,0.5408057091067253,7,rolling_3,0.6117147352071373,expanding,0.3234701446732765,0.5171864877546132,0.5359280866432566,low
65,rolling_7,0.5414054932509448,7,rolling_3,0.568756117598807,expanding,0.3635718124621862,0.5127936255531801,0.5302004467132002,low
66,rolling_7,0.515400951782891,7,rolling_7,0.5592649672522947,expanding,0.3410713576072461,0.5064222370341573,0.5217000460084286,low
67,rolling_7,0.5165942162194279,7,rolling_7,0.5204936165137314,expanding,0.349069316022118,0.490232906796386,0.5225711182066209,low
68,rolling_7,0.5033309032156005,7,rolling_7,0.5121137870430033,expanding,0.3340671984770537,0.46923506228147494,0.4971403133390187,low
69,rolling_14,0.5112211869238554,14,rolling_7,0.49990477441337156,expanding,0.34760233280299646,0.4704830138468524,0.502173544437758,low
70,rolling_14,0.5211646463034801,14,rolling_7,0.5305847028754608,expanding,0.3504951201300369,0.47968030342757256,0.5142716161554498,low
71,rolling_14,0.4838123450808259,14,rolling_7,0.49308615031708447,expanding,0.3458702591951261,0.45220345993029587,0.47906353294857074,low
72,rolling_14,0.4944935019377482,14,rolling_7,0.4957696025839571,expanding,0.3566409911949708,0.4602572425693423,0.49132619619782825,low
73,rolling_14,0.5004283357749288,14,rolling_14,0.5043647627335334,expanding,0.349667166488482,0.46248110661679154,0.4917693869409381,low
74,rolling_14,0.48675953277912,14,rolling_14,0.4908615335438469,expanding,0.3638247405575219,0.4649780462225678,0.4860621971687268,low
75,rolling_14,0.49498737269431686,14,rolling_14,0.4973333218257094,expanding,0.34044847896153524,0.4611376107496358,0.48358533180260793,low
76,rolling_14,0.4932094495844899,14,rolling_14,0.48946062061228923,expanding,0.3583809741154204,0.4665920216736816,0.4867011368120343,low
77,rolling_14,0.49866596316849193,14,rolling_14,0.4911427413849166,expanding,0.35309846456134764,0.4622124470974897,0.48354830968092255,low
78,rolling_14,0.5027103998574999,14,rolling_14,0.5010816396280068,expanding,0.3667602502958118,0.46824438028328474,0.4885412913108227,low
79,rolling_14,0.506197757840053,14,rolling_14,0.5110452958953781,expanding,0.35394336776752516,0.47199939471610963,0.4955276919337815,low
80,rolling_14,0.49477316221460893,14,rolling_14,0.498384412043437,expanding,0.3522502575270034,0.4604500412809171,0.48564752774073283,low
81,rolling_14,0.5078212685614079,14,rolling_14,0.49604992965821526,expanding,0.3717581051397659,0.46832750303729026,0.4933017771889831,low
82,rolling_14,0.5006919238216158,14,rolling_14,0.5128366950718316,expanding,0.35334087823051163,0.4654439099224481,0.4863131829621228,low
83,rolling_14,0.5116900201528976,14,rolling_14,0.49020175000995814,expanding,0.38684914458412917,0.471763673902929,0.49344508516030905,low
84,rolling_14,0.4922000657929849,14,rolling_14,0.5151421177740161,expanding,0.34657084257212356,0.4603854518852771,0.4789011042488291,low
85,rolling_14,0.4999586695787623,14,rolling_14,0.5049677645104526,expanding,0.35674603736363397,0.46245477674672036,0.4805969979798169,low
86,rolling_14,0.49095643065286027,14,rolling_14,0.49068611760078823,expanding,0.36328513705365373,0.4577693691245822,0.47502875038106385,low
87,rolling_14,0.49728296101566716,14,rolling_14,0.5060788626296476,expanding,0.36609215475811524,0.4669907146428626,0.4809672665984074,low
88,rolling_14,0.5037615164569146,14,rolling_14,0.5024253494410917,expanding,0.36899355172070303,0.4675003104950643,0.4817291750496288,low
89,rolling_14,0.482125623816146,14,rolling_14,0.48531668966838853,expanding,0.36154809767412943,0.4538985758172742,0.46708457965376793,low
90,rolling_14,0.4990573192128242,14,rolling_14,0.5156171376967491,expanding,0.35626116522348783,0.4650972288749572,0.47657595824721544,low
91,rolling_14,0.4879892406103963,14,rolling_14,0.48950203065161957,expanding,0.3670148732100341,0.45979707683096344,0.4729732920372326,low
92,rolling_14,0.493658100775926,14,rolling_14,0.5022201813859191,expanding,0.3648514263967549,0.4650821902579875,0.47573927880077344,low
93,rolling_14,0.4993490043859462,14,rolling_14,0.4804712469214714,expanding,0.38925784582979683,0.4654357235876154,0.47746361354703987,low
94,rolling_14,0.4901374979610026,14,rolling_14,0.4857078357290382,expanding,0.3650517261574789,0.455902678462325,0.4667167816631466,low
95,rolling_14,0.5017054492255004,14,rolling_14,0.5136774737278355,expanding,0.3715485283274787,0.4704959758975202,0.4794310939496504,low
96,rolling_14,0.48844261632996083,14,rolling_14,0.4906375114009906,expanding,0.3646168501556448,0.45887591281407775,0.47062476797340536,low
97,rolling_14,0.48630296039257603,14,rolling_14,0.48017951755709026,expanding,0.3688539297243003,0.4541714759134539,0.46327337309543754,low
98,rolling_14,0.5004970795776003,14,rolling_14,0.5160944322224109,expanding,0.36494128339695536,0.4715566323554147,0.48093398553109745,low
99,rolling_14,0.4961284185898431,14,rolling_14,0.49689175086929505,expanding,0.3634081193114548,0.4642205970698281,0.4746021015918071,low
100,rolling_14,0.504522043441992,14,rolling_14,0.5094845992652528,expanding,0.3886669770781283,0.47798542711010655,0.48655545293309355,low
101,rolling_14,0.5001483334047548,14,rolling_14,0.516099294409753,expanding,0.36695374976607625,0.4721092341846705,0.479355740280454,low
102,rolling_14,0.48766113872517114,14,rolling_14,0.4861431624333725,expanding,0.37802573215269686,0.46113210570699203,0.46781597610986786,low
103,rolling_14,0.5029770586505031,14,rolling_14,0.4986795548455375,expanding,0.39853758264183226,0.47385943457705326,0.4806167903222498,low
104,rolling_14,0.48512379343432793,14,rolling_14,0.5114411983049407,expanding,0.35208786138883963,0.45950760164227156,0.4670960148088504,low
105,rolling_14,0.4990031470946574,14,rolling_14,0.49355815642782414,expanding,0.38873872028800566,0.47122070264587496,0.4768752890070444,low
106,rolling_14,0.4774015469927254,14,rolling_14,0.4902474221945482,expanding,0.35659421528613716,0.45195930626165637,0.45839906017644944,low
107,rolling_14,0.48250822569258706,14,rolling_14,0.49314687154695436,expanding,0.3611928508989204,0.45825819893991193,0.4644989845546352,low
108,rolling_14,0.49929786469042936,14,rolling_14,0.4965900720391018,expanding,0.38599625777484875,0.47000755059695226,0.4750687855566895,low
109,rolling_14,0.49618812492232506,14,rolling_14,0.49543511959280606,expanding,0.3721463678031246,0.4649148678104234,0.4699608947186559,low
110,rolling_14,0.5180907412482219,14,rolling_14,0.5128585759743258,expanding,0.39587113642903343,0.4883499057849305,0.4939755539312562,low
111,rolling_14,0.48610945948633527,14,rolling_14,0.48070183939593086,expanding,0.3769538606596734,0.4589230447978481,0.4638133093554304,low
112,rolling_14,0.4889322242083825,14,rolling_14,0.4835562082646932,expanding,0.38795222399772666,0.46313213716316487,0.469120801969338,low
113,rolling_14,0.4880910563543783,14,rolling_14,0.48884370667353527,expanding,0.3779039136873225,0.45905541173640957,0.4631590161794466,low
114,rolling_14,0.4924851751751553,14,rolling_14,0.5145065737649517,expanding,0.3689377734311653,0.47332628353140144,0.4794007839120292,low
115,rolling_14,0.5064914923139991,14,rolling_14,0.5142317160382156,expanding,0.3870090800792849,0.47862056860106683,0.48039322366609094,low
116,rolling_14,0.4795309615556909,14,rolling_14,0.4734470118073002,expanding,0.3821585863883225,0.453611172198399,0.45839480571917346,low
117,rolling_14,0.5064443131638073,14,rolling_14,0.5014371040523667,expanding,0.406577262019524,0.47848001704995174,0.48399599958477013,low
118,rolling_14,0.4971442612741526,14,rolling_14,0.4918242667005753,expanding,0.3867905897882581,0.4712653057004704,0.47666403800048635,low
119,rolling_14,0.4986037014814738,14,rolling_14,0.4903688560767824,expanding,0.37974820103771323,0.46622814029863974,0.470719184695001,low
