method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
m5b_smooth0.01,0.4850419014906812,0.4811030076471908,0.48926911263290174,0.15985114684488452,0.7852750680789784,0.022352840273740404,-0.0014167445384482336
m5b_smooth0,0.48536318292551606,0.4811953547182748,0.49003211186103185,0.15996825894808098,0.7850957026816439,0.022396784437616772,-0.0010954631036133415
m5b_smooth0.001,0.4854911882444855,0.4812137334536969,0.4903499106161365,0.16001198838604275,0.785040274078016,0.022476192482790827,-0.0009674577846439404
ensemble3,0.4860790156694642,0.4818985637131918,0.49060476702282185,0.1601832603677154,0.7841401523018311,0.021845735024787493,-0.00037963035966523
han_arw,0.4883801033166243,0.48248906965193344,0.49529382140914796,0.1612148035654345,0.78106797960452,0.022965311450503643,0.0019214572874949225
validation_selected(h=rolling_14),0.4883801033166243,0.48248906965193344,0.49529382140914796,0.1612148035654345,0.78106797960452,0.022965311450503643,0.0019214572874949225
rolling_14,0.4883801033166243,0.48248906965193344,0.49529382140914796,0.1612148035654345,0.78106797960452,0.022965311450503643,0.0019214572874949225
m5b_smooth0.1,0.4905596724262192,0.48631393339606077,0.49524275206926116,0.1618506694969382,0.7783961041924763,0.02164748459450332,0.004101026397089712
m5b_smooth0.3,0.5008987648649684,0.4950763100774705,0.5073875566355532,0.16553478268033206,0.7653621793805283,0.022826894084094506,0.01444011883583901
rolling_7,0.5044286049505318,0.5007563056625416,0.5079921467394785,0.16671418913356698,0.7677690393595147,0.03884472001380008,0.017969958921402338
adamoe,0.5080150021663757,0.5043447238015499,0.5117806294914267,0.16852194003907428,0.756273692448239,0.023468749811957307,0.021556356137246317
uniform5,0.5097509299531291,0.5060972203607137,0.5134548584648556,0.16922580584729854,0.7540659809812332,0.025088336626305226,0.0232922839239997
diff_forgetting,0.5100995550076034,0.5053203366476471,0.5151206278242695,0.16820072698270658,0.7776165123626859,0.06767328743484488,0.023640908978474064
decay_hl7,0.5182134085832684,0.5148796451903451,0.521841284616529,0.1712431172245538,0.7819919944466949,0.08503665401229,0.03175476255413903
m2_context_gate,0.5296813485054361,0.5249700376743452,0.5346198718879083,0.17611044049834057,0.731489496649491,0.033232239038188456,0.0432227024763067
m1_global_mix,0.5299803814343893,0.5261145176312775,0.5339841921459094,0.1763407657590374,0.7304052271781868,0.03473687729440288,0.043521735405259866
decay_hl3,0.5442734892045906,0.5418391078519537,0.5466769091374959,0.18154089633178683,0.769842486678718,0.10138081011136281,0.05781484317546118
rolling_3,0.5796339943467349,0.5749779662577814,0.5844248928530233,0.1886748394400747,0.7251364807244229,0.09474728443974385,0.09317534831760549
decay_hl1,0.5812624791189721,0.579155742803942,0.583489611164866,0.1965583687612741,0.7211083111652242,0.11423251146435556,0.09480383308984267
expanding,0.6060275596568827,0.5953179548285655,0.617193304208249,0.2050818963565087,0.6361453690564114,0.08322249998167591,0.1195689136277533
rolling_1,0.9511376460725192,0.9405881785546313,0.961065956961659,0.25420345954222306,0.6429001562123106,0.21411237171715194,0.4646790000433898
