method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
rolling_14,0.32384183133914524,0.32090105466668045,0.3268920055433237,0.10119484171353714,0.915638883780624,0.03751010498407555,0.0
han_arw,0.3251345560903783,0.32204845452394965,0.328388021282263,0.10171489009187105,0.9145157014133866,0.03618395978435143,0.0012927247512330986
m5b_smooth0.001,0.32950959462145624,0.3261183015571043,0.3329689213526139,0.10321617409399396,0.9118269288092533,0.03598119045277542,0.00566776328231107
m5b_smooth0,0.33021057850062874,0.3268463924749799,0.3336583072575243,0.1034778430588841,0.9112986258129417,0.036152913512493244,0.006368747161483576
ensemble3,0.3312862202996212,0.3274847949545989,0.33511786440424934,0.10374886066563432,0.9108902394836808,0.037073123083663874,0.007444388960476033
m5b_smooth0.01,0.3319764594926551,0.32845815061865336,0.3355275090670382,0.10416109449707706,0.9098216503717304,0.03435610376497625,0.008134628153509875
m5b_smooth0.1,0.33924275803646453,0.335817638761187,0.3430557470332272,0.10684027857163392,0.9038742822877803,0.030429968241804814,0.015400926697319337
rolling_7,0.33929397767191866,0.33604649001731857,0.34269921785662305,0.10738847816510977,0.9024786307243929,0.024530119102274144,0.015452146332773411
validation_selected(h=rolling_7),0.33929397767191866,0.33604649001731857,0.34269921785662305,0.10738847816510977,0.9024786307243929,0.024530119102274144,0.015452146332773411
m5b_smooth0.3,0.34568121971816734,0.34165360272987527,0.3500928101146517,0.1089185461694893,0.8996046140926287,0.03228401721576554,0.02183938837902209
adamoe,0.36283811550046374,0.3599489040054355,0.3659831725661742,0.11355264734755288,0.8967363193136111,0.053561725643247474,0.038996284161318534
uniform5,0.3654191321240561,0.36251130988063746,0.368649494998615,0.11444267523369962,0.8951795411698124,0.05423203580804795,0.04157730078491089
m1_global_mix,0.38219945309961784,0.3784882695321749,0.3862635131737646,0.1221606623758981,0.8724651101031101,0.02593376733174705,0.05835762176047266
m2_context_gate,0.3826805062770293,0.3789049747474547,0.3868405073042206,0.1221525193328496,0.8726507910957291,0.027741874351363355,0.05883867493788411
rolling_3,0.39187731863170194,0.3875734110408932,0.3966548788804239,0.12516893791064593,0.8670593750984293,0.03439434423208726,0.06803548729255668
diff_forgetting,0.39844568099894984,0.3948329264154633,0.4021869709762498,0.12347514565341593,0.913896747820982,0.1296657687101688,0.0746038496598046
decay_hl7,0.4255300323367438,0.4230625720760521,0.4281577517335237,0.13364753622224518,0.9144286852460327,0.15277136755600518,0.10168820099759866
expanding,0.4827935004519078,0.47400088462175377,0.49184761170667,0.15794309762233716,0.7780177731659796,0.043796096571655035,0.15895166911276257
decay_hl3,0.48295847354727356,0.4801658652803258,0.4860531027126746,0.1560180744055137,0.8965162286182032,0.16688371358199816,0.1591166422081284
decay_hl1,0.5486928208977401,0.5465319159933796,0.551038779412976,0.1820373734694427,0.8454394832173956,0.17710242349116395,0.22485098955859492
rolling_1,0.6228491050881425,0.6142307305609306,0.6325017679065889,0.1804527005393128,0.7709412259136461,0.12721059120440478,0.2990072737489973
