regime,seed_set,method,log_loss,log_loss_se,n_seeds,brier,pr_auc,roc_auc,ece,mean_excess_over_oracle,recovery_time_days,peak_post_shift_excess,cumulative_post_shift_regret,stationary_downside,log_loss_A,log_loss_B
s0_none,confirm,expanding,0.32703213426206446,0.0038260971897643866,12,0.10132241118762941,0.8519744680661866,0.9256478300163483,0.05405105374630409,0.0,,,,0.0,0.3274411098952125,0.32662355970989787
s0_none,confirm,han_arw,0.32703213426206446,0.0038260971897643866,12,0.10132241118762941,0.8519744680661866,0.9256478300163483,0.05405105374630409,0.0,,,,0.0,0.3274411098952125,0.32662355970989787
s0_none,confirm,m1_global_mix,0.32703213426206446,0.0038260971897643866,12,0.10132241118762941,0.8519744680661866,0.9256478300163483,0.05405105374630409,0.0,,,,0.0,0.3274411098952125,0.32662355970989787
s0_none,confirm,validation_selected(h=expanding),0.32703213426206446,0.0038260971897643866,12,0.10132241118762941,0.8519744680661866,0.9256478300163483,0.05405105374630409,0.0,,,,0.0,0.3274411098952125,0.32662355970989787
s0_none,confirm,m5b_smooth0.01,0.32805349495581415,0.003816439685598028,12,0.10163822907577576,0.8515119889370171,0.9253387427622707,0.05479919442501601,0.0010213606937497276,,,,0.0010213606937497417,0.32853568370458475,0.3275717744712181
s0_none,confirm,m2_context_gate,0.3280648847818504,0.0038260214477289596,12,0.10166653746189848,0.8513305150797327,0.9252821548082988,0.054635635504322676,0.0010327505197860675,,,,0.0010327505197860742,0.32855591486571095,0.32757433365477745
s0_none,confirm,ensemble3,0.32810113886824505,0.003798554293038223,12,0.10166489396599132,0.8514151203770798,0.9252876309007289,0.0547190447893362,0.001069004606180671,,,,0.0010690046061806596,0.32858580445493973,0.3276169697054769
s0_none,confirm,m5b_smooth0.001,0.3281700680793705,0.003817667108678182,12,0.10168290185223283,0.8513880722396916,0.9252598494385332,0.05467353405107461,0.0011379338173060562,,,,0.00113793381730605,0.32866219991428464,0.3276784258648013
s0_none,confirm,m5b_smooth0,0.3281881136040276,0.003818350068325638,12,0.1016914289186046,0.8513515706159044,0.92523984159484,0.05467826409200514,0.00115597934196319,,,,0.0011559793419631769,0.328687497289917,0.3276892429537643
s0_none,confirm,m5b_smooth0.1,0.32847596294992515,0.0037264346401383263,12,0.10181584349581842,0.8508555450307304,0.9249072292749841,0.054224089858075336,0.0014438286878607463,,,,0.0014438286878607348,0.32895819240731106,0.3279942556360652
s0_none,confirm,m5b_smooth0.3,0.3306380779955452,0.003605487522755467,12,0.10271741015494938,0.8472629445469565,0.9229488946192176,0.051886261123843064,0.0036059437334807157,,,,0.003605943733480684,0.33106992083579506,0.3302068285789325
s0_none,confirm,rolling_14,0.3383598578278175,0.0038540012054399313,12,0.10623957729917077,0.8319656316061228,0.9148749422851061,0.03883486852590157,0.011327723565753074,,,,0.011327723565753076,0.3386655508598417,0.33805461712952223
s0_none,confirm,diff_forgetting,0.33845945366490815,0.0038124271558766004,12,0.10432329118194598,0.8514848489727754,0.9253718989538379,0.07041199348830161,0.011427319402843729,,,,0.01142731940284375,0.33888940197544354,0.3380299110150198
s0_none,confirm,rolling_7,0.353881635655529,0.003903786684390864,12,0.11245288928604032,0.8086309143217537,0.9022086468188432,0.025012150488079022,0.026849501393464596,,,,0.02684950139346461,0.3545283694684751,0.35323641775142817
s0_none,confirm,adamoe,0.35428980648571384,0.003974558475928244,12,0.11205647393450108,0.8147424861619692,0.9058133266734923,0.04031385885246779,0.027257672223649384,,,,0.027257672223649398,0.35483032390308383,0.35374993646519926
s0_none,confirm,uniform5,0.3563905338307591,0.00400928648191698,12,0.11292315394834916,0.8115703546088512,0.9041141527821145,0.039004122634954674,0.02935839956869476,,,,0.029358399568694734,0.35694424019202536,0.3558374804003139
s0_none,confirm,rolling_3,0.40752925622370895,0.004399725262700961,12,0.13107758202321698,0.7479945387952438,0.8679384995089562,0.034416384073775744,0.08049712196164449,,,,0.08049712196164448,0.4082707742241578,0.40678853446717184
s0_none,confirm,decay_hl7,0.43925014332221335,0.004326020542127254,12,0.13835908706274236,0.8322510622386333,0.9150406725586643,0.15887742877358157,0.11221800906014884,,,,0.11221800906014884,0.43991988083269007,0.438581574387987
s0_none,confirm,decay_hl3,0.5032311519483077,0.0050123455653085566,12,0.16390422600739044,0.7992741007605911,0.8971097223034189,0.18904864099899,0.17619901768624338,,,,0.17619901768624335,0.5040827789824,0.5023809677967424
s0_none,confirm,decay_hl1,0.572804178574542,0.005785654567430827,12,0.19293746661920594,0.7103979346249076,0.8459978914745375,0.16466264315050377,0.24577204431247757,,,,0.24577204431247754,0.5736979787996409,0.5719117692097982
s0_none,confirm,rolling_1,0.6572110031745768,0.007692505569500356,12,0.19127188280069304,0.5919841726619629,0.7707431661583954,0.13544091360954713,0.33017886891251247,,,,0.3301788689125124,0.6598460639492836,0.6545804954815339
