regime,seed_set,method,log_loss,log_loss_se,n_seeds,brier,pr_auc,roc_auc,ece,mean_excess_over_oracle,recovery_time_days,peak_post_shift_excess,cumulative_post_shift_regret,stationary_downside,log_loss_A,log_loss_B
s0_none,confirm,expanding,0.32703213426206446,0.0038260971897643866,12,0.10132241118762941,0.8519744680661866,0.9256478300163483,0.05405105374630409,0.0,,,,0.0,0.3274411098952125,0.32662355970989787
s0_none,confirm,han_arw,0.32703213426206446,0.0038260971897643866,12,0.10132241118762941,0.8519744680661866,0.9256478300163483,0.05405105374630409,0.0,,,,0.0,0.3274411098952125,0.32662355970989787
s0_none,confirm,m1_global_mix,0.32703213426206446,0.0038260971897643866,12,0.10132241118762941,0.8519744680661866,0.9256478300163483,0.05405105374630409,0.0,,,,0.0,0.3274411098952125,0.32662355970989787
s0_none,confirm,validation_selected(h=expanding),0.32703213426206446,0.0038260971897643866,12,0.10132241118762941,0.8519744680661866,0.9256478300163483,0.05405105374630409,0.0,,,,0.0,0.3274411098952125,0.32662355970989787
s0_none,confirm,m5b_smooth0.01,0.32805349495581415,0.003816439685598028,12,0.10163822907577576,0.8515119889370171,0.9253387427622707,0.05479919442501601,0.0010213606937497276,,,,0.0010213606937497417,0.32853568370458475,0.3275717744712181
s0_none,confirm,m2_context_gate,0.3280648847818504,0.0038260214477289596,12,0.10166653746189848,0.8513305150797327,0.9252821548082988,0.054635635504322676,0.0010327505197860675,,,,0.0010327505197860742,0.32855591486571095,0.32757433365477745
s0_none,confirm,ensemble3,0.32810113886824505,0.003798554293038223,12,0.10166489396599132,0.8514151203770798,0.9252876309007289,0.0547190447893362,0.001069004606180671,,,,0.0010690046061806596,0.32858580445493973,0.3276169697054769
s0_none,confirm,m5b_smooth0.001,0.3281700680793705,0.003817667108678182,12,0.10168290185223283,0.8513880722396916,0.9252598494385332,0.05467353405107461,0.0011379338173060562,,,,0.00113793381730605,0.32866219991428464,0.3276784258648013
s0_none,confirm,m5b_smooth0,0.3281881136040276,0.003818350068325638,12,0.1016914289186046,0.8513515706159044,0.92523984159484,0.05467826409200514,0.00115597934196319,,,,0.0011559793419631769,0.328687497289917,0.3276892429537643
s0_none,confirm,m5b_smooth0.1,0.32847596294992515,0.0037264346401383263,12,0.10181584349581842,0.8508555450307304,0.9249072292749841,0.054224089858075336,0.0014438286878607463,,,,0.0014438286878607348,0.32895819240731106,0.3279942556360652
s0_none,confirm,m5b_smooth0.3,0.3306380779955452,0.003605487522755467,12,0.10271741015494938,0.8472629445469565,0.9229488946192176,0.051886261123843064,0.0036059437334807157,,,,0.003605943733480684,0.33106992083579506,0.3302068285789325
s0_none,confirm,rolling_14,0.3383598578278175,0.0038540012054399313,12,0.10623957729917077,0.8319656316061228,0.9148749422851061,0.03883486852590157,0.011327723565753074,,,,0.011327723565753076,0.3386655508598417,0.33805461712952223
s0_none,confirm,diff_forgetting,0.33845945366490815,0.0038124271558766004,12,0.10432329118194598,0.8514848489727754,0.9253718989538379,0.07041199348830161,0.011427319402843729,,,,0.01142731940284375,0.33888940197544354,0.3380299110150198
s0_none,confirm,rolling_7,0.353881635655529,0.003903786684390864,12,0.11245288928604032,0.8086309143217537,0.9022086468188432,0.025012150488079022,0.026849501393464596,,,,0.02684950139346461,0.3545283694684751,0.35323641775142817
s0_none,confirm,adamoe,0.35428980648571384,0.003974558475928244,12,0.11205647393450108,0.8147424861619692,0.9058133266734923,0.04031385885246779,0.027257672223649384,,,,0.027257672223649398,0.35483032390308383,0.35374993646519926
s0_none,confirm,uniform5,0.3563905338307591,0.00400928648191698,12,0.11292315394834916,0.8115703546088512,0.9041141527821145,0.039004122634954674,0.02935839956869476,,,,0.029358399568694734,0.35694424019202536,0.3558374804003139
s0_none,confirm,rolling_3,0.40752925622370895,0.004399725262700961,12,0.13107758202321698,0.7479945387952438,0.8679384995089562,0.034416384073775744,0.08049712196164449,,,,0.08049712196164448,0.4082707742241578,0.40678853446717184
s0_none,confirm,decay_hl7,0.43925014332221335,0.004326020542127254,12,0.13835908706274236,0.8322510622386333,0.9150406725586643,0.15887742877358157,0.11221800906014884,,,,0.11221800906014884,0.43991988083269007,0.438581574387987
s0_none,confirm,decay_hl3,0.5032311519483077,0.0050123455653085566,12,0.16390422600739044,0.7992741007605911,0.8971097223034189,0.18904864099899,0.17619901768624338,,,,0.17619901768624335,0.5040827789824,0.5023809677967424
s0_none,confirm,decay_hl1,0.572804178574542,0.005785654567430827,12,0.19293746661920594,0.7103979346249076,0.8459978914745375,0.16466264315050377,0.24577204431247757,,,,0.24577204431247754,0.5736979787996409,0.5719117692097982
s0_none,confirm,rolling_1,0.6572110031745768,0.007692505569500356,12,0.19127188280069304,0.5919841726619629,0.7707431661583954,0.13544091360954713,0.33017886891251247,,,,0.3301788689125124,0.6598460639492836,0.6545804954815339
s1_abrupt,confirm,rolling_14,0.3368922046279989,0.0015670301762896574,12,0.10573034225004459,0.8354058072871395,0.9161755302746055,0.039382258515679676,0.0,25.0,0.0,0.0,,0.33688824617070456,0.3369053820724857
s1_abrupt,confirm,m5b_smooth0.01,0.33819527264343147,0.001567112979510637,12,0.10600041410169027,0.8352455227317486,0.9160560394281875,0.04149252218690044,0.0013030680154325581,25.0,0.0025927365608616796,0.01067016541949837,,0.33830518153968087,0.3380946893288039
s1_abrupt,confirm,m5b_smooth0.001,0.3382131486790787,0.0015622114314935228,12,0.1060066907489277,0.8352233645282306,0.9160452211786853,0.04144197726061923,0.0013209440510797846,25.0,0.0025790318692445005,0.007824305798893635,,0.338321158941826,0.33811447067722916
s1_abrupt,confirm,m5b_smooth0,0.3382423265414373,0.0015684347629311784,12,0.10601503597592456,0.8352115861170967,0.9160343182157318,0.04145150195135462,0.0013501219134383895,25.0,0.003075171816977159,0.008861567430391312,,0.33835030720695336,0.33814367615984203
s1_abrupt,confirm,han_arw,0.33887266586421266,0.001543275937304943,12,0.10652744517259403,0.832487117585404,0.9145510791022423,0.03764919143490227,0.001980461236213755,25.454545454545453,0.01918596312663032,0.051130916215345594,,0.33887113723120854,0.33888365715529734
s1_abrupt,confirm,ensemble3,0.3392074088315349,0.0015612472986625827,12,0.10627889764114812,0.834713998905889,0.9157106355478285,0.04207944836515526,0.002315204203535894,25.0,0.003951282686716781,0.013788931204533594,,0.3393996856577521,0.339024569903388
s1_abrupt,confirm,m5b_smooth0.1,0.3467151025168003,0.0017853450284373562,12,0.10933180028509291,0.823461333507255,0.9093404647183086,0.03521556567515507,0.009822897888801472,25.363636363636363,0.02130700023131216,0.0936496542500143,,0.34678832320745573,0.34665123812130477
s1_abrupt,confirm,m5b_smooth0.3,0.3499702807206149,0.0034462427639637113,12,0.11030934515191106,0.8209072678313557,0.907955372069139,0.03702424798142857,0.013078076092616001,25.77777777777778,0.023223272092913833,0.11391812116229327,,0.35014441320635775,0.3498056000617673
s1_abrupt,confirm,rolling_7,0.35228559859438596,0.0015531645770171158,12,0.11192695696742531,0.8125541220365798,0.9036363579523655,0.02542831081631186,0.015393393966387036,25.727272727272727,0.019721343106593705,0.09387248847350586,,0.35247629847626705,0.35210454490322934
s1_abrupt,confirm,validation_selected(h=rolling_7),0.35228559859438596,0.0015531645770171158,12,0.11192695696742531,0.8125541220365798,0.9036363579523655,0.02542831081631186,0.015393393966387036,25.727272727272727,0.019721343106593705,0.09387248847350586,,0.35247629847626705,0.35210454490322934
s1_abrupt,confirm,adamoe,0.3785006190613369,0.0018274471049805313,12,0.1192951711828603,0.7989745570163725,0.8958978776631127,0.0540571090137467,0.04160841443333796,,0.050180303312918194,0.27245915196578685,,0.3785058832867913,0.3785049940921023
s1_abrupt,confirm,uniform5,0.3816595049195701,0.0018795078431941296,12,0.12041946501290296,0.7955444280596828,0.8939612328115681,0.05435295259075756,0.04476730029157109,,0.0544950228190468,0.29716203189163853,,0.38166452511488486,0.38166417949817516
s1_abrupt,confirm,m1_global_mix,0.39833980820338405,0.001833517749119513,12,0.12815296136689067,0.7580037310508755,0.8727531241792778,0.02464297295811174,0.06144760357538515,,0.07119608895153266,0.37962735799369046,,0.3984455746845326,0.3982448879884016
s1_abrupt,confirm,m2_context_gate,0.39834604709705307,0.0018438924485429352,12,0.1280441492372646,0.7581577512701512,0.8728746226460489,0.02482533620692266,0.06145384246905419,,0.0715918936654981,0.3816290893252378,,0.3984293365442224,0.39827354103930895
s1_abrupt,confirm,rolling_3,0.4062748605100333,0.0018275081728341123,12,0.13072381796883933,0.7518281222217712,0.8691986867773895,0.03391477698433996,0.06938265588203447,,0.07757904637238455,0.40998460563047595,,0.4065145982761731,0.40604669314817343
s1_abrupt,confirm,diff_forgetting,0.41407239951991986,0.0020335533370716245,12,0.1292934319932626,0.8303726567922279,0.9134262361442028,0.13259946166309602,0.07718019489192098,,0.09987152222427008,0.5549546480458202,,0.4139741466278261,0.4141801185055416
s1_abrupt,confirm,decay_hl7,0.4425683875422392,0.002095086633865275,12,0.1395792678005997,0.8337915484814585,0.9152964453076691,0.16173124735182223,0.10567618291424034,,0.1085112310107883,0.6115621708385358,,0.44263957120920794,0.44250653611235874
s1_abrupt,confirm,decay_hl3,0.5036897834034791,0.002530949098301923,12,0.16405003873298732,0.8028255386917018,0.8982371196249473,0.189661386301339,0.16679757877548027,,0.16617278144697048,0.9452780114341525,,0.5040060160496186,0.5033833026829041
s1_abrupt,confirm,expanding,0.5376306287325131,0.0036974739649522506,12,0.18005918850605154,0.5384373204304264,0.7351349025151794,0.041949629581118836,0.20073842410451412,,0.27480182750519727,1.5387291478754177,,0.5375462623091288,0.5377293007465526
s1_abrupt,confirm,decay_hl1,0.5738171642177475,0.0030716935562365567,12,0.19336568320568495,0.7150398085682655,0.8472959833555427,0.17341136521989106,0.23692495958974868,,0.24227668322308982,1.3901144692118166,,0.5743674840857481,0.5732757541512482
s1_abrupt,confirm,rolling_1,0.6542315608856436,0.0036083040620212025,12,0.19081635140701483,0.5964909795113665,0.7725162071893049,0.13494197154555745,0.31733935625764453,,0.3456301872184461,1.9088829385292305,,0.6550540053514881,0.6534261380344698
s2_gradual,confirm,han_arw,0.3580936090760887,0.002049409332841022,12,0.11345028954100367,0.7842271655725619,0.8960765143262625,0.034635680835197434,0.0,,,,,0.3580797344116972,0.35811955907843734
s2_gradual,confirm,rolling_14,0.3580936090760887,0.002049409332841022,12,0.11345028954100367,0.7842271655725619,0.8960765143262625,0.034635680835197434,0.0,,,,,0.3580797344116972,0.35811955907843734
s2_gradual,confirm,validation_selected(h=rolling_14),0.3580936090760887,0.002049409332841022,12,0.11345028954100367,0.7842271655725619,0.8960765143262625,0.034635680835197434,0.0,,,,,0.3580797344116972,0.35811955907843734
s2_gradual,confirm,m5b_smooth0.01,0.35918572366768964,0.0020485673019884237,12,0.1136916552687181,0.7840935169397881,0.8959152983575552,0.036406611483979105,0.0010921145916008759,,,,,0.35926478785601773,0.3591186447409445
s2_gradual,confirm,m5b_smooth0.001,0.35921754774020176,0.0020542756767698593,12,0.11370926780175938,0.7839656641487514,0.8958449219454022,0.036307339645390825,0.0011239386641130349,,,,,0.3593011965689632,0.35914589379388134
s2_gradual,confirm,m5b_smooth0,0.3592366322571099,0.0020568877205452665,12,0.11371855174192004,0.7839094610641283,0.8958135530047818,0.036206103644701,0.001143023181021138,,,,,0.359317349550873,0.35916791763182504
s2_gradual,confirm,ensemble3,0.3602712198663032,0.002053774390401819,12,0.1139743802041579,0.7834873648591891,0.8955014554436561,0.03760641060192111,0.0021776107902144693,,,,,0.36042607493168094,0.36012838322261626
s2_gradual,confirm,m5b_smooth0.1,0.36178716649773973,0.0020241395355156395,12,0.11436779085401418,0.7823492778881617,0.8946566381252903,0.038602864753298514,0.003693557421650959,,,,,0.3619555356651725,0.361630778578749
s2_gradual,confirm,m5b_smooth0.3,0.36499864027007206,0.0020798958285109877,12,0.11545587741228029,0.7785371089112109,0.8924125684754248,0.038563676037177703,0.006905031193983246,,,,,0.36510334518424464,0.36490554118003654
s2_gradual,confirm,rolling_7,0.3714394584524457,0.002084017602474218,12,0.11857789054214447,0.7610496864666696,0.8835069639460277,0.02217269776882243,0.01334584937635694,,,,,0.3715164576528089,0.37137444028937466
s2_gradual,confirm,adamoe,0.38614791294118916,0.0022931556036957174,12,0.12318041669382858,0.7500183551648626,0.8772915967643655,0.03726130472896733,0.0280543038651004,,,,,0.38622250702416244,0.3860852656652746
s2_gradual,confirm,uniform5,0.38777458168993384,0.0023223369584399784,12,0.12382147766162609,0.7473302451579024,0.875840822794677,0.036478408438081256,0.029680972613845114,,,,,0.38785235291005066,0.38770879935333213
s2_gradual,confirm,m1_global_mix,0.40423075441118206,0.002342351906798434,12,0.12999007435537632,0.717488029058894,0.8592496801569606,0.02367265065793514,0.04613714533509325,,,,,0.4041807881937593,0.4042929963829769
s2_gradual,confirm,m2_context_gate,0.4045073369528347,0.002351289133613867,12,0.13009203310930556,0.7170846639406712,0.8590778671784807,0.02394989281452606,0.04641372787674594,,,,,0.40446439106323856,0.4045624889434177
s2_gradual,confirm,diff_forgetting,0.4144285231421752,0.002557192464711724,12,0.13214149002118905,0.7517602500349114,0.8788943614863535,0.08586155980873282,0.05633491406608639,,,,,0.4146358723555754,0.4142337629033947
s2_gradual,confirm,rolling_3,0.4274900308070853,0.0022341352217188793,12,0.1370555345432625,0.6955062149380247,0.8469583722388015,0.043006240718981965,0.0693964217309965,,,,,0.4273082332345363,0.4276846139056764
s2_gradual,confirm,decay_hl7,0.4463655017041089,0.0026269705114968264,12,0.1425007447719404,0.7819386179750932,0.8947821229361557,0.1421185215968708,0.08827189262802006,,,,,0.44673095637986854,0.4460122066589321
s2_gradual,confirm,expanding,0.472613978881048,0.0036467427396612686,12,0.1550419091523412,0.6081601608157197,0.7963121541590209,0.031387650632669455,0.11452036980495932,,,,,0.4728794176904682,0.47236408377387923
