baseline,n_seeds,mean_diff_logloss,ci95_lo,ci95_hi,wilcoxon_p,mut_better_in_seeds,rel_pct
decay_hl1,8,-0.017585365644648243,-0.017706398956989243,-0.01743411662534097,0.0078125,8,-4.393314113807352
decay_hl3,8,-0.011018439426859351,-0.011148668195547596,-0.010846456369195427,0.0078125,8,-2.7986273572718354
decay_hl7,8,-0.0075415658065186575,-0.007673030248628769,-0.007367281520969809,0.0078125,8,-1.9325860344040935
diff_forgetting,8,-0.007276481563069495,-0.007403888366667525,-0.0071050648730069865,0.0078125,8,-1.8659236159662165
rolling_1,8,-0.006768372222363449,-0.007152933936064933,-0.006398093952039538,0.0078125,8,-1.7378924556137487
rolling_3,8,-0.0026308738924573985,-0.0028907485451861517,-0.0024268512987979177,0.0078125,8,-0.6827743529242599
expanding,8,-0.0017046578581557809,-0.001814226932771253,-0.0015360847303390601,0.0078125,8,-0.4434652410763341
rolling_7,8,-0.001436364399655582,-0.0016549461596774909,-0.0011786980272342137,0.0078125,8,-0.37392992332132496
han_arw,8,-0.0010826350411190927,-0.0012722475859675273,-0.000857590873902472,0.0078125,8,-0.28210304828423627
rolling_14,8,-0.0010776250902597082,-0.0012671051117991105,-0.0008542438655715939,0.0078125,8,-0.2808012672329831
validation_selected(h=rolling_14),8,-0.0010776250902597082,-0.0012671051117991105,-0.0008542438655715939,0.0078125,8,-0.2808012672329831
m1_global_mix,8,-0.0003958164837959549,-0.0005017987418684548,-0.0002805567046641546,0.0078125,8,-0.1033231187450627
m2_context_gate,8,-0.0003502877222139045,-0.000446810196970647,-0.00022796655804370458,0.015625,7,-0.0914492532038334
m5b_smooth0.3,8,-4.125425888291956e-05,-0.0002070276142154201,0.00013629995244205797,0.7421875,4,-0.010778902997906892
amgtp_uniform_q,8,8.197198016517138e-05,-2.279578819454342e-05,0.0002295311393412311,0.25,3,0.02142451752810839
uniform5,8,8.197222918784192e-05,-2.2795550494295047e-05,0.0002295313353051151,0.25,3,0.0214245826275924
adamoe,8,8.267122469998722e-05,-2.194490446199432e-05,0.00023029489611105236,0.25,3,0.021607314305118593
amgtp_fixed_beta0,8,0.00010588944433310987,6.5556716117163445e-06,0.000244633539551715,0.078125,1,0.027677409722246735
m5b_smooth0,8,0.00010588944433310987,6.5556716117163445e-06,0.000244633539551715,0.078125,1,0.027677409722246735
amgtp_fixed_beta_hi,8,0.00012433127777098513,1.5623348877378924e-05,0.00027935258924546407,0.078125,2,0.03249930738143675
m5b_smooth0.001,8,0.00012829119559345376,1.8878533257103355e-05,0.0002873693519748298,0.078125,1,0.03353474871391438
ensemble3,8,0.00013814079755507247,4.5791768165107453e-05,0.0002833769324390117,0.015625,1,0.0361103206305488
m5b_smooth0.01,8,0.00013881058569787524,5.0218323246993374e-05,0.0002870413123358352,0.0078125,0,0.036285468314062624
amgtp_global_q,8,0.0001507907987896434,5.5203431251783436e-05,0.0002965628931989374,0.015625,1,0.03941836336661801
amgtp,8,0.0001642234798349962,5.800289154096004e-05,0.0003195240331405861,0.0234375,1,0.042931320560172626
amgtp_no_state,8,0.00016538199944901577,5.902936037019916e-05,0.0003209673564620512,0.0234375,1,0.043234311827486806
