baseline,n_seeds,mean_diff_logloss,ci95_lo,ci95_hi,wilcoxon_p,mut_better_in_seeds,rel_pct
decay_hl1,3,-0.009338455946295862,-0.009354109917785736,-0.009327522426166301,,3,-1.515187081485052
decay_hl3,3,-0.003625380866891311,-0.0036373662682225305,-0.0036166500153150816,,3,-0.5937304665472669
decay_hl7,3,-0.0017782783549242047,-0.0017891850642859364,-0.0017639422952793193,,3,-0.2921131947826314
rolling_1,3,-0.0010466509272758866,-0.0012864626183008987,-0.0009194557809535375,,3,-0.172137525185929
diff_forgetting,3,-0.001029777477941159,-0.0010435179837680053,-0.001005071841729488,,3,-0.1693671321400949
expanding,3,-0.001013938549975409,-0.0010265349387963418,-0.0009922128230636096,,3,-0.16676645364736709
rolling_3,3,-0.000357965226235879,-0.0004958019143385117,-0.00023459465847297523,,3,-0.05893953615763365
rolling_14,3,-0.00029827918771567025,-0.0003227894040520596,-0.00027215949315551047,,3,-0.04911696318653029
m2_context_gate,3,-0.0002336382394676484,-0.0003067868563839671,-0.00018035641637692557,,3,-0.03847677915399233
m1_global_mix,3,-0.00022923116793253465,-0.0003385429913911331,-0.00015213591932117243,,3,-0.03775127333030804
rolling_7,3,-0.00022123820460632584,-0.0002663531059188262,-0.00018427697043554847,,3,-0.03643541997547967
han_arw,3,-0.00022123820460632584,-0.0002663531059188262,-0.00018427697043554847,,3,-0.03643541997547967
validation_selected(h=rolling_7),3,-0.00022123820460632584,-0.0002663531059188262,-0.00018427697043554847,,3,-0.03643541997547967
m5b_smooth0.3,3,-7.598814790847157e-05,-0.00020149016854797974,8.150912173776614e-05,,2,-0.012517379345677761
ensemble3,3,1.080260286778767e-07,-3.5241171815747485e-05,6.0402151473182286e-05,,2,1.779714783971017e-05
uniform5,3,3.690404282955898e-05,7.242756800973638e-07,7.713107481210901e-05,,0,0.006080261688905865
adamoe,3,3.694091757681465e-05,7.461010667064727e-07,7.717061651246748e-05,,0,0.0060863374936659205
m5b_smooth0,3,4.471880183746594e-05,7.882859304197964e-07,8.26576841519433e-05,,0,0.007367905997722275
m5b_smooth0.01,3,4.740839610447208e-05,-8.413930433714967e-06,9.843173233825553e-05,,1,0.007811080340808733
m5b_smooth0.001,3,5.18341847931166e-05,7.801043105493122e-06,9.451275978011875e-05,,0,0.008540342376059416
