baseline,n_seeds,mean_diff_logloss,ci95_lo,ci95_hi,wilcoxon_p,mut_better_in_seeds,rel_pct
rolling_1,12,-0.32873504022465166,-0.33519651696977687,-0.3201702035281133,0.00048828125,12,-50.01971035736431
decay_hl1,12,-0.24432821562461682,-0.24844322214263226,-0.23943929064534836,0.00048828125,12,-42.65475441059848
decay_hl3,12,-0.17475518899838263,-0.1775954591003381,-0.17150882461485598,0.00048828125,12,-34.72662380335581
decay_hl7,12,-0.11077418037228809,-0.11250151998029433,-0.10892922935794172,0.00048828125,12,-25.21892868024162
rolling_3,12,-0.07905329327378374,-0.08052292946280938,-0.07750600087394656,0.00048828125,12,-19.39818848990519
uniform5,12,-0.027914570880834,-0.028626709584938445,-0.0270142272822423,0.00048828125,12,-7.832579216060191
adamoe,12,-0.025813843535788663,-0.026475907074429733,-0.024959397757569394,0.00048828125,12,-7.2860813557811355
rolling_7,12,-0.025405672705603875,-0.02598195658857226,-0.02476678915103002,0.00048828125,12,-7.179144139125079
diff_forgetting,12,-0.009983490714983015,-0.01049275228013112,-0.009298846574932598,0.00048828125,12,-2.949685880208024
rolling_14,12,-0.009883894877892341,-0.010460398955811303,-0.009166084028297475,0.00048828125,12,-2.9211192312659016
m5b_smooth0.3,12,-0.0021621150456199493,-0.00407690353907393,-0.0003999914141364068,0.04248046875,9,-0.6539219737567795
m5b_smooth0,12,0.000287849345897558,-0.0001785881657455925,0.0009778117951297649,0.85009765625,6,0.08770864451381687
m5b_smooth0.001,12,0.0003058948705546849,-0.0001604527848607792,0.0009960086617828033,0.7333984375,6,0.09321230066622098
ensemble3,12,0.0003748240816800752,-1.5075938889765392e-05,0.0009665513638876535,0.2333984375,4,0.11424040860479688
m2_context_gate,12,0.0004110781680746606,-6.0061503846785955e-05,0.0011003161346519398,0.33935546875,5,0.12530392222502282
m5b_smooth0.01,12,0.00042246799411099306,-4.29502921271888e-05,0.0011114524906637006,0.423828125,6,0.12878021438786857
m1_global_mix,12,0.0014438286878607348,0.0009666246994330979,0.0021434356004498946,0.00048828125,0,0.4414944394130195
han_arw,12,0.0014438286878607348,0.0009666246994330979,0.0021434356004498946,0.00048828125,0,0.4414944394130195
expanding,12,0.0014438286878607348,0.0009666246994330979,0.0021434356004498946,0.00048828125,0,0.4414944394130195
validation_selected(h=expanding),12,0.0014438286878607348,0.0009666246994330979,0.0021434356004498946,0.00048828125,0,0.4414944394130195
