baseline,n_seeds,mean_diff_logloss,ci95_lo,ci95_hi,wilcoxon_p,mut_better_in_seeds,rel_pct
rolling_1,12,-0.3190896712557251,-0.32453633976761664,-0.31259238193194555,0.00048828125,12,-46.86452138811963
decay_hl1,12,-0.19915377830015402,-0.20301673027430386,-0.19502802016073076,0.00048828125,12,-35.50351960346001
decay_hl3,12,-0.13751812921479933,-0.14038850889145238,-0.13453400430504403,0.00048828125,12,-27.54189278496488
expanding,12,-0.11082681238330834,-0.11490370033245317,-0.10697505955308981,0.00048828125,12,-23.44975335805763
decay_hl7,12,-0.0845783352063691,-0.08661625777896095,-0.08249285054296722,0.00048828125,12,-18.948224018986846
rolling_3,12,-0.06570286430934554,-0.06669402642617815,-0.06465597237578061,0.00048828125,12,-15.369449478225484
diff_forgetting,12,-0.0526413566444354,-0.05463019933939083,-0.050721183636975926,0.00048828125,12,-12.702155789208573
m2_context_gate,12,-0.04272017045509497,-0.04395275622044383,-0.041402392054055964,0.00048828125,12,-10.56103723035217
m1_global_mix,12,-0.04244358791344229,-0.04362098742791226,-0.04117805117992167,0.00048828125,12,-10.499841353057672
uniform5,12,-0.02598741519219416,-0.027216365828178678,-0.024651138083605955,0.00048828125,12,-6.701680929920725
adamoe,12,-0.024360746443449433,-0.025544267716649836,-0.02306753643729779,0.00048828125,12,-6.308656767791364
rolling_7,12,-0.009652291954705983,-0.010673170412709309,-0.008571524699234988,0.00048828125,12,-2.5986178191517415
m5b_smooth0.3,12,-0.003211473772332297,-0.005853147160057806,-0.0005718836858437736,0.06396484375,8,-0.8798591057643511
ensemble3,12,0.0015159466314365229,0.0007167751869947079,0.0023810768416368997,0.00341796875,2,0.42077927623502404
m5b_smooth0,12,0.0025505342406298565,0.001728596958773679,0.0034362906781369835,0.00048828125,0,0.7099872372716179
m5b_smooth0.001,12,0.002569618757537954,0.0017392182460989627,0.003460780893933185,0.00048828125,0,0.715337759444978
m5b_smooth0.01,12,0.002601442830050075,0.0017516009895236476,0.0035017173835479812,0.00048828125,0,0.7242611993278635
han_arw,12,0.0036935574216509595,0.002866488817074821,0.004570345930969061,0.00048828125,0,1.0314502487717232
rolling_14,12,0.0036935574216509595,0.002866488817074821,0.004570345930969061,0.00048828125,0,1.0314502487717232
validation_selected(h=rolling_14),12,0.0036935574216509595,0.002866488817074821,0.004570345930969061,0.00048828125,0,1.0314502487717232
