baseline,n_seeds,mean_diff_logloss,ci95_lo,ci95_hi,wilcoxon_p,mut_better_in_seeds,rel_pct
rolling_1,12,-0.2760195411436407,-0.2819634238752071,-0.26888368321469464,0.00048828125,12,-39.23369705160152
decay_hl1,12,-0.13604677843463356,-0.1378558408973539,-0.1339262703646303,0.00048828125,12,-24.14086126139315
decay_hl3,12,-0.0964377431770694,-0.09774643061472889,-0.09493492651675069,0.00048828125,12,-18.40608421309318
rolling_7,12,-0.09289774729061397,-0.09495095487852664,-0.09105226888100416,0.00048828125,12,-17.851050790181294
rolling_3,12,-0.07075064614078053,-0.07194396720442141,-0.06954165745414938,0.00048828125,12,-14.199605686433484
decay_hl7,12,-0.06255246545892633,-0.06339795775298092,-0.061626692884265734,0.00048828125,12,-12.764255629646918
rolling_14,12,-0.023371546242805973,-0.02432275683568605,-0.022473552849139062,0.00048828125,12,-5.183554924010833
m5b_smooth0,12,-0.012858303357122083,-0.014812464218151447,-0.01107880142335759,0.00048828125,12,-2.9199162832569847
diff_forgetting,12,-0.012316117458499268,-0.013148965878686275,-0.011484809827551866,0.00048828125,12,-2.8002421933869375
uniform5,12,-0.011767575873801705,-0.012352084254044266,-0.011151806288101768,0.00048828125,12,-2.678864607102194
adamoe,12,-0.010938632445060983,-0.011516685758762978,-0.010315545678314324,0.00048828125,12,-2.494865321478818
m5b_smooth0.001,12,-0.010302930398703522,-0.011891715400291575,-0.008915360509730508,0.00048828125,12,-2.3532874715277043
han_arw,12,-0.009242876406056472,-0.010843051076493835,-0.007791966202201839,0.00048828125,12,-2.116285124863066
m5b_smooth0.01,12,-0.008985458569581448,-0.010212823155552787,-0.007752504647434244,0.00048828125,12,-2.0585590326564236
validation_selected(h=expanding),12,-0.008194121868555124,-0.009093804679063454,-0.007305654700563987,0.00048828125,12,-1.8806741903366289
expanding,12,-0.008194121868555124,-0.009093804679063454,-0.007305654700563987,0.00048828125,12,-1.8806741903366289
m1_global_mix,12,-0.0070688640818212896,-0.007891271701236803,-0.00618970993043952,0.00048828125,12,-1.6266115521716895
m2_context_gate,12,-0.005824212888582425,-0.006434333855886307,-0.0051999169459203895,0.00048828125,12,-1.344055157077438
ensemble3,12,-0.0030763910869726074,-0.003734204448274914,-0.002409322995975929,0.00048828125,12,-0.7144701557020292
m5b_smooth0.3,12,-0.001537046358146263,-0.00288034052705058,-0.0002961301592662852,0.0771484375,8,-0.35824893464407137
