baseline,n_seeds,mean_diff_logloss,ci95_lo,ci95_hi,wilcoxon_p,mut_better_in_seeds,rel_pct
rolling_1,12,-0.26347068436088145,-0.27493799466256874,-0.2513742349054774,0.00048828125,12,-39.5975221627119
decay_hl1,12,-0.1663999404963814,-0.18104230868276117,-0.15188054582671984,0.00048828125,12,-29.280252826583116
expanding,12,-0.14411814346446744,-0.1775790982191856,-0.11359465027051967,0.00048828125,12,-26.39434088226199
decay_hl3,12,-0.11100996869853208,-0.12259316509746848,-0.0996071510827231,0.00048828125,12,-21.6431279732929
decay_hl7,12,-0.08397152629455316,-0.09155036216669082,-0.07579919873142044,0.00048828125,12,-17.28262633801831
diff_forgetting,12,-0.07320640607108547,-0.08255073734464058,-0.06399433862840302,0.00048828125,12,-15.408392142689891
m2_context_gate,12,-0.0280777747004526,-0.038267249770943125,-0.01929337201601704,0.00048828125,12,-6.530037983530202
rolling_14,12,-0.02791219082247502,-0.04424557492826591,-0.012632475174889383,0.00244140625,10,-6.494029036959798
rolling_3,12,-0.027422657576710575,-0.034910054280610885,-0.019781295932783924,0.00048828125,12,-6.387409508976004
m1_global_mix,12,-0.014472182328796343,-0.024308205149156797,-0.004258763347140661,0.02685546875,9,-3.4757722955033485
uniform5,12,-0.010170161590163795,-0.019331070289982655,2.5019242243300234e-06,0.1513671875,7,-2.468059773183957
adamoe,12,-0.007215941457575106,-0.016063017685504912,0.0026597076145844795,0.20361328125,7,-1.7637847351076024
m5b_smooth0.01,12,-0.003589478561496278,-0.013135775994159963,0.004752485511956318,0.7333984375,5,-0.885219038398996
m5b_smooth0,12,0.0015847217594540386,-0.0071170914412188035,0.009190983834591361,0.4697265625,3,0.3958674687323183
ensemble3,12,0.0018773900370934692,-0.0024857568146381555,0.005887809356231996,0.30126953125,4,0.4693198545831791
m5b_smooth0.001,12,0.0020602328661920855,-0.005664501597779197,0.009660851177385951,0.423828125,3,0.515263385171244
m5b_smooth0.3,12,0.0028818421423672893,-0.0021662382448688743,0.00960361672096729,0.791015625,6,0.7222315956846724
rolling_7,12,0.0032023906199353295,-0.0015169182130770217,0.009239780819288775,0.5693359375,6,0.8032109632335074
validation_selected(h=rolling_7),12,0.0032023906199353295,-0.0015169182130770217,0.009239780819288775,0.5693359375,6,0.8032109632335074
han_arw,12,0.010035791690494197,0.0033018355854510513,0.018083853785638093,0.02685546875,3,2.561031829506747
