config,s0_none,s1_abrupt,s3_recurring,score_sum_ll
"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.3202389966594795,0.3395507034019567,0.42501972926816683,1.0848094293296031
"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.3202322559698679,0.33953570461518384,0.4251939349309347,1.0849618955159865
"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.3202965515803208,0.33964719850585723,0.42507842965145065,1.0850221797376287
"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.3202917754217462,0.33963409991326676,0.42510504383454517,1.0850309191695582
"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.32024244023639403,0.3396805495549205,0.4254275973158165,1.085350587107131
"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.32029999683132054,0.3397407472849956,0.4253820605731987,1.085422804689515
"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.32029565812110905,0.3397572721026556,0.42595810321573585,1.0860110334395006
"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.3202368165894095,0.3396721937187398,0.4261663050027996,1.086075315310949
m5b_default,0.319116756145862,0.3387849961236602,0.4320590447445995,1.0899607970141216
m5b_high_smooth,0.319083927485071,0.3506007021610914,0.42117343298925325,1.0908580626354156
