method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
amgtp_no_state,0.3820878800298528,0.37175866332402036,0.39284550411639635,0.11812300120198356,0.743381516232904,0.012842315573919929,-0.0003371796914611695
amgtp,0.38209021762405343,0.3717636774268391,0.3928473548303807,0.11812381735745049,0.7433781979290027,0.012871860278708432,-0.00033552894898751344
m5b_smooth0.01,0.38211263812417273,0.37174094128400925,0.3928886414253756,0.11811785817290499,0.7434286364859299,0.012792505546571539,-0.0003236428820831659
m5b_smooth0.001,0.3821242702484901,0.37183843091225083,0.39286522631613,0.11813301326327376,0.7432943854499305,0.012898120509258476,-0.0003157376181779914
amgtp_global_q,0.38212898224370484,0.37180891980860836,0.3928759484048593,0.11813309746301107,0.7434175232699363,0.013064231081376726,-0.000313245511553574
amgtp_fixed_beta_hi,0.38213319103337834,0.3718150419582453,0.3928768898053262,0.11813577033824828,0.7433779457624069,0.013110612593143596,-0.0003143154461132461
ensemble3,0.382135722032293,0.37171341419392384,0.39297678934167946,0.11813170843726745,0.743275974906852,0.01296574487685292,-0.0002505861451450476
m5b_smooth0,0.38219646687086106,0.37195687268063193,0.3929234634920698,0.11815263685746669,0.7431190932592621,0.012886536441967033,-0.0002555104838762763
amgtp_fixed_beta0,0.38219646687086106,0.37195687268063193,0.3929234634920698,0.11815263685746669,0.7431190932592621,0.012886536441967033,-0.0002555104838762763
adamoe,0.3822047373949707,0.3719154095335562,0.39294349231501535,0.11815806185724408,0.7432403081509511,0.013243563320142503,-0.00026022099648027354
uniform5,0.38220560474385445,0.3719163929360599,0.39294444806755174,0.11815836492257605,0.7432381305507149,0.01324885881237225,-0.000259474458343352
amgtp_uniform_q,0.382205604931164,0.3719163934032383,0.3929444482026794,0.11815836491131117,0.7432381306393523,0.013248695314605912,-0.00025947429142372455
m5b_smooth0.3,0.3823482480229155,0.3721325705116247,0.39302946461144095,0.11820918286174761,0.7428618647356784,0.01333880184611203,-0.00015682619792205602
m2_context_gate,0.382723098570249,0.37212097514687925,0.3936653172421744,0.11828547519247211,0.7424722747160516,0.014087513682659172,0.0005438502402240232
m5b_smooth0.1,0.3827484446444204,0.37250622731539745,0.39350201396590984,0.11833435896753441,0.7417005515592738,0.012553587913847647,0.0002842630450141381
m1_global_mix,0.3828327069063486,0.37230709408014334,0.3937374895306803,0.11831226863393586,0.7423222567598139,0.014330667750951624,0.0006876927274810062
han_arw,0.3831882035493169,0.3729119758950136,0.39401072573466595,0.11845181825468973,0.7413370015805802,0.013865871521188407,0.0008077750208079996
validation_selected(h=rolling_14),0.3831882035493169,0.3729119758950136,0.39401072573466595,0.11845181825468973,0.7413370015805802,0.013865871521188407,0.0008077750208079996
rolling_14,0.3831882035493169,0.3729119758950136,0.39401072573466595,0.11845181825468973,0.7413370015805802,0.013865871521188407,0.0008077750208079996
rolling_7,0.38346419633822026,0.3732833276463501,0.39419576724430394,0.11855833588239323,0.7401916371285587,0.013173577009510154,0.0009773026683672862
expanding,0.38390270384082903,0.3734944152020114,0.39489847498395136,0.11855026407393184,0.739862114638422,0.01274804634970705,0.001759539163823362
rolling_3,0.3853986600866858,0.37516776876949065,0.3961711657105607,0.1191508313209963,0.7384340882346148,0.020072906826956963,0.0033030019299319785
rolling_1,0.38937508552816913,0.37948143126011447,0.39996970436305135,0.12034625488666555,0.7332651455548769,0.02397274263899311,0.007577340095081616
diff_forgetting,0.38949214232763435,0.37902740972607296,0.40036746335380524,0.12002959939079022,0.728800755335602,0.015813705506636296,0.007344067758781596
decay_hl7,0.3897502320690945,0.37927505535994865,0.40066821587756196,0.12009939683212925,0.7282141721208126,0.015951884377932168,0.007570324356945459
decay_hl3,0.3932362709981223,0.38269049386306964,0.4041864847441684,0.12107096798787173,0.720429460857438,0.01816650389902123,0.011127942184948203
decay_hl1,0.39987672374469085,0.3891251589164234,0.41080456611617017,0.12282743924532098,0.7055605743293553,0.022470152884781408,0.018008774308170758
