day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,m5b_low_loss,m5b_high_loss,oracle_persistence
13,expanding,0.4340371368830489,60,0.432330551713486,0.432330551713486,low
14,expanding,0.37762010414740826,60,0.37727841883679036,0.37796141461137134,low
15,expanding,0.4083339550113715,60,0.40746251687109125,0.40765591210755425,low
16,expanding,0.35969493591110097,60,0.3626903765086673,0.36378310841407835,low
17,rolling_7,0.34859372041454034,7,0.3479428611150647,0.34836163566456535,low
18,rolling_3,0.3395039125687444,3,0.3393191492245109,0.3390670901811747,high
19,expanding,0.4336002509752582,60,0.43340505045907407,0.43360734438750337,low
20,expanding,0.42214858182597265,60,0.4214006679353834,0.4217980614483917,low
21,rolling_14,0.40961994624725173,14,0.4121627064530243,0.4126496985752614,low
22,rolling_3,0.39354060819428327,3,0.3960092826372247,0.3956001536525186,high
23,rolling_14,0.4065525195548649,14,0.4051512099328473,0.40509637960439787,high
24,rolling_14,0.4389547825241369,14,0.43769959939045283,0.43831954082170704,low
25,rolling_14,0.4522750061170466,14,0.4523389557418365,0.45478440640228324,low
26,expanding,0.42764029016400446,60,0.42922887515372404,0.4284671617927869,high
27,rolling_14,0.4388875746801455,14,0.4378220993009808,0.4385444504311709,low
28,rolling_14,0.4246363368832333,14,0.42484056800423875,0.4240219129056104,high
29,expanding,0.45977084328045137,60,0.4609199206964659,0.46049999746688236,high
30,rolling_14,0.4573044979946418,14,0.45917346155443056,0.4604237797357781,low
31,rolling_3,0.4212651391823202,3,0.4221034657505047,0.42096936650983185,high
32,rolling_14,0.43768119368804936,14,0.4384916108233032,0.4389320394100488,low
33,rolling_14,0.42245577736171286,14,0.4214453569013312,0.4215932403330934,low
34,rolling_3,0.3620177744606672,3,0.36179349155194457,0.36279426782167545,low
35,rolling_14,0.3977455819977745,14,0.3990848300468623,0.3968939010029346,high
36,rolling_7,0.42742936231766004,7,0.4280547533294768,0.42793588079002454,high
37,rolling_14,0.4437861365866385,14,0.44367768947603187,0.4453422365438202,low
38,rolling_14,0.4128914536105749,14,0.415929516581964,0.42384789008189416,low
39,rolling_14,0.4212960147763327,14,0.4214802359299,0.42305822401692733,low
40,rolling_14,0.41010690280153034,14,0.40933151822023695,0.4091241595905548,high
41,expanding,0.4185161133975017,60,0.41765762943934726,0.4178091856170584,low
42,rolling_7,0.42182237140817824,7,0.42154691057052834,0.42113605205772364,high
43,rolling_14,0.4278706947639763,14,0.4276198148268305,0.4282546792633586,low
44,expanding,0.3906522134842113,60,0.3909134082780848,0.39094315673401564,low
45,rolling_3,0.37849781328324983,3,0.37905518968177776,0.3794864079629138,low
46,rolling_14,0.36023232993414084,14,0.3618897791229789,0.36092929554531666,high
47,rolling_3,0.37110552185903445,3,0.37105149350817207,0.3717463952728543,low
48,rolling_7,0.4322100704003565,7,0.4345820657206229,0.43239867292578127,high
49,rolling_3,0.3535839653247652,3,0.3532707788832888,0.35457477571825363,low
50,rolling_14,0.431646585457993,14,0.4302095738513983,0.43092522379310605,low
51,rolling_14,0.4427738359239536,14,0.44107997197615767,0.44153235912217365,low
52,rolling_14,0.4141853587999055,14,0.41454418628369866,0.4158161521203156,low
53,rolling_14,0.4052238021579704,14,0.4044076028773217,0.4054058433537465,low
54,rolling_14,0.42789837377019374,14,0.428795420411831,0.42839274164312663,high
55,rolling_7,0.4269604640409072,7,0.42649455815943627,0.4265737733077705,low
56,expanding,0.4308520681373677,60,0.4308790007666873,0.4314348151895226,low
57,rolling_1,0.4049576331313977,1,0.4046834006342918,0.40488732726475923,low
58,rolling_3,0.39124876733213904,3,0.3904069774538804,0.3909094314430219,low
59,rolling_14,0.40502950880376815,14,0.4037567285593357,0.404378407826773,low
60,expanding,0.4252776928393851,60,0.42331115558535143,0.4235244552410756,low
61,rolling_7,0.4373638495575573,7,0.43752058232745583,0.43683682106545524,high
62,expanding,0.4481388846298801,60,0.44783673774124283,0.4487457222593305,low
63,rolling_14,0.4369339100309038,14,0.4367566028814433,0.43712705207340313,low
64,rolling_14,0.42838666995354535,14,0.42821038832321506,0.4283221025347086,low
65,rolling_3,0.4124590679525179,3,0.4126624271995637,0.4125750957293252,high
66,rolling_7,0.41904879434109477,7,0.4187810419161232,0.41852814304733654,high
67,rolling_14,0.4309100117714744,14,0.43067947348028823,0.4310168364228642,low
68,rolling_14,0.43041640488504684,14,0.43031958474815873,0.43055967366821357,low
69,rolling_3,0.41444012868868163,3,0.41429634298314594,0.4155364582463928,low
70,rolling_14,0.3910016263035129,14,0.39011143541975707,0.39145507968444726,low
71,rolling_7,0.3987334136994508,7,0.3990511779746544,0.39807881077060786,high
72,rolling_14,0.4355572904657905,14,0.438018532210157,0.439533832654598,low
73,rolling_14,0.40555009944319176,14,0.4047965412065413,0.4058844012615087,low
74,rolling_14,0.4294495068633313,14,0.42952416236035074,0.42845655801615307,high
75,rolling_14,0.4262833698949765,14,0.4241567579772915,0.4244550662988979,low
76,rolling_14,0.41538906913050494,14,0.4148519032820729,0.416380071684387,low
77,rolling_14,0.38957630940612287,14,0.3899685762855317,0.390115228111506,low
78,rolling_7,0.41069452575432774,7,0.40984007560875574,0.4097275124296162,high
79,rolling_14,0.4652020916854465,14,0.4645561764849196,0.46523615528212614,low
80,expanding,0.4249933341959637,60,0.4240409956708481,0.4240878948278029,low
81,rolling_1,0.39455435027750674,1,0.3955296241137729,0.39742504516520993,low
82,rolling_3,0.3755504756330976,3,0.3798657391391559,0.3776499342872209,high
83,rolling_14,0.3937724202172709,14,0.39414971267968324,0.39321482216974374,high
84,rolling_7,0.4444648621452929,7,0.44520290594635625,0.44460800156473473,high
85,expanding,0.3670892761841481,60,0.36888089120991696,0.3717714807326087,low
86,expanding,0.4238786486836262,60,0.42226323723901477,0.4257753189893039,low
87,rolling_7,0.391381360884393,7,0.39256431261270913,0.3910653861662662,high
88,expanding,0.33632088521666503,60,0.3403948883667104,0.343638818800368,low
89,rolling_7,0.37309614808203384,7,0.37231446500048804,0.37261151755048677,low
90,expanding,0.3677876498751292,60,0.3670765518757052,0.36809425472432405,low
