method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
m5b_smooth0.001,0.6069668267364677,0.6040252977586007,0.6101100919079252,0.20959516780937518,0.6831566797411975,0.009958745534750145,-0.00016543306434445293
amgtp_fixed_beta_hi,0.6069712300536347,0.6040225421234368,0.6101194419950156,0.2095971460647561,0.6831502745802682,0.00996502805674388,-0.00016085055280082305
amgtp_global_q,0.6069720571129693,0.6040278523710463,0.6101205455082541,0.2095973218140961,0.6831497956409143,0.009978199828182675,-0.000160082573213427
amgtp_no_state,0.6069735066842025,0.6040333624501416,0.6101193920539018,0.20959792719114295,0.6831461043015032,0.009963472085131472,-0.00015890558342701588
amgtp,0.606973531793201,0.6040335292836003,0.6101194107840064,0.20959793862448725,0.6831460880681753,0.009963038210219249,-0.0001588853856046707
m5b_smooth0,0.6069738394936428,0.6040615391596528,0.6101107668666416,0.20959718638331865,0.6831506850570519,0.010052945657429261,-0.0001590445425357495
amgtp_fixed_beta0,0.6069738394936428,0.6040615391596528,0.6101107668666416,0.20959718638331865,0.6831506850570519,0.010052945657429261,-0.0001590445425357495
adamoe,0.6069738816785065,0.6040208491382564,0.6101271207160444,0.20959831191150813,0.6831461611710637,0.009990476171342947,-0.0001578695429055449
uniform5,0.6069739035038931,0.6040208314216475,0.610127176477565,0.20959832189928299,0.6831461160053881,0.009989354343686538,-0.00015784516429405426
amgtp_uniform_q,0.6069739037652528,0.6040208320111468,0.6101271771564276,0.20959832203510748,0.6831461159781429,0.009989354105776744,-0.0001578448810650307
m5b_smooth0.1,0.6069746277795732,0.6040172150514259,0.6101241502295626,0.2095983363729386,0.6831382914056889,0.009913345065096581,-0.0001573069695948448
m5b_smooth0.01,0.6069830417100069,0.6040364676609812,0.6101384344958978,0.2096024245681454,0.6831299589171297,0.01002137744407147,-0.000148481502581288
ensemble3,0.6069994646811446,0.6040230453857067,0.6101710154438775,0.20961150715276536,0.6831280860933298,0.010164937901811645,-0.00013005782294366053
m5b_smooth0.3,0.6070826111764884,0.6040939751744476,0.6102672132898421,0.20964372402574927,0.6829430909874237,0.010115119382531774,-4.532507466924185e-05
validation_selected(h=rolling_7),0.6071589047500088,0.6042330650997856,0.6102547498626573,0.20967543198072952,0.6827807090229296,0.009410112418250348,2.2271801224299503e-05
rolling_7,0.6071589047500088,0.6042330650997856,0.6102547498626573,0.20967543198072952,0.6827807090229296,0.009410112418250348,2.2271801224299503e-05
han_arw,0.6071589047500088,0.6042330650997856,0.6102547498626573,0.20967543198072952,0.6827807090229296,0.009410112418250348,2.2271801224299503e-05
m1_global_mix,0.6071716423726585,0.6042083685927433,0.6103368720180047,0.20969292556936217,0.6828900229109596,0.010897644008068232,4.311608356213914e-05
m2_context_gate,0.6071883992252153,0.6041977671977045,0.6103900339176646,0.20969923499051296,0.6828761439392779,0.01124796709934871,6.399780008826961e-05
rolling_14,0.6072745164455127,0.6043001164286498,0.6104606426336521,0.20972020719229445,0.6824883478321147,0.009331868279696398,0.00014538884961476373
rolling_3,0.6073181268854694,0.6044058549984584,0.6104234790554328,0.2097606702961169,0.6825724921510058,0.010399496058371597,0.00018473566663892993
expanding,0.6080011627183696,0.6048400706943611,0.6113725682823415,0.21004646138479977,0.6814996172908375,0.013227335755334059,0.0008885910275775871
diff_forgetting,0.6080181457633412,0.6048760908391193,0.6113619144667357,0.21005066391851457,0.6814806889459597,0.013164621784573277,0.0009036890907288542
rolling_1,0.6082610903978741,0.605532472689519,0.6111847447634191,0.21016178999369642,0.6808056132755284,0.01208659344194202,0.0011150762498496336
decay_hl7,0.6087638128438592,0.6057536109869815,0.611937517600371,0.2103442607017313,0.6804190035793489,0.014065149397037593,0.001638253144592025
decay_hl3,0.6106119940477958,0.6077160254365805,0.6136471097432175,0.2111159279584376,0.6776924087188887,0.016437619581368246,0.0034780466437207697
decay_hl1,0.6163021502057395,0.6134927217167137,0.6192632468713759,0.21355233967750414,0.6695587111771348,0.023646674503169093,0.009159977517295123
