day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,m5b_low_loss,m5b_high_loss,oracle_persistence
4,rolling_3,0.606582229967547,3,0.6067708591670483,0.6067708591670483,low
5,expanding,0.5955372696396227,60,0.5955666092977785,0.595541874515408,high
6,expanding,0.5985458190565492,60,0.598434180352719,0.5984432206218182,low
7,expanding,0.6002711040276496,60,0.5999575699880951,0.6000330315409357,low
8,rolling_3,0.6002236240761157,3,0.6001077529906592,0.6001576970991563,low
9,rolling_7,0.6046434210996594,7,0.604588122938484,0.6046209189688225,low
10,rolling_7,0.6153249120840513,7,0.6152979956581293,0.6153006955206026,low
11,rolling_3,0.611380513494051,3,0.6111176228621302,0.6114079293704221,low
12,rolling_7,0.5980960456451618,7,0.5981102756161916,0.5980708523131438,high
13,rolling_7,0.602729355087356,7,0.6025180491010984,0.6025511810174458,low
14,rolling_7,0.6040419318360621,7,0.6038961502209069,0.6039606340806127,low
15,rolling_7,0.6065687232811836,7,0.6064177223817466,0.6065265694762275,low
16,rolling_3,0.6097690671723189,3,0.6098001113306614,0.609931074001368,low
17,rolling_7,0.6170896861195407,7,0.6169105312095872,0.6171948800525963,low
18,rolling_7,0.6164641026516364,7,0.6156568997764872,0.616028221390146,low
19,rolling_7,0.6053123430724372,7,0.6053531091959579,0.60530507849076,high
20,rolling_7,0.6068285612968607,7,0.6065486756577408,0.6066068781450719,low
21,rolling_7,0.6060885210319525,7,0.6058953289665664,0.6059623494851859,low
22,rolling_3,0.6079295109779319,3,0.6076404015401914,0.6077095885516409,low
23,rolling_3,0.6080898405317446,3,0.607677248269134,0.6077143765092162,low
24,rolling_3,0.6142578703800552,3,0.61395301032013,0.614122140163347,low
25,rolling_7,0.6114889712900445,7,0.6112305101943694,0.6113757113340541,low
26,rolling_7,0.5995073205383428,7,0.5995506338312586,0.5994987476540524,high
27,rolling_3,0.6024332950886905,3,0.6020439539572413,0.6020672877833833,low
28,rolling_14,0.6068478913219431,14,0.60670193919617,0.6067124306440845,low
29,rolling_3,0.6080060605756108,3,0.6078520860190094,0.6079085816096683,low
30,rolling_7,0.6090297410369855,7,0.6087154105142774,0.6087802021283321,low
