method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
expanding,0.3206820588312395,0.3185671389657347,0.32268470094488877,0.09906520042023598,0.9301147508643971,0.055823663609940795,0.0
validation_selected(h=expanding),0.3206820588312395,0.3185671389657347,0.32268470094488877,0.09906520042023598,0.9301147508643971,0.055823663609940795,0.0
m1_global_mix,0.3206820588312395,0.3185671389657347,0.32268470094488877,0.09906520042023598,0.9301147508643971,0.055823663609940795,0.0
han_arw,0.3206820588312395,0.3185671389657347,0.32268470094488877,0.09906520042023598,0.9301147508643971,0.055823663609940795,0.0
m2_context_gate,0.3216844865802285,0.31960747346337426,0.32361640783673723,0.0993988248717694,0.9298285269827682,0.056491023106928065,0.001002427748989048
ensemble3,0.321711362190592,0.3196725725173096,0.32364206981330673,0.09939449913563327,0.9298344028915481,0.0567585079567397,0.001029303359352526
m5b_smooth0.1,0.32172806967860845,0.3196950876373973,0.323670577207163,0.09940497310474658,0.9297688524118346,0.0567444267177396,0.001046010847368893
m5b_smooth0.01,0.32173254572058996,0.31965466905822687,0.32370076594223995,0.09939278802250545,0.9298246579010531,0.05690870524954402,0.0010504868893504707
m5b_smooth0.001,0.321846586332993,0.3197796069879714,0.323788905368845,0.0994357959743082,0.9297480208269436,0.05673409577309892,0.0011645275017535222
m5b_smooth0,0.32184674479459735,0.3197708400206997,0.3238284733744208,0.09943550911963359,0.9297416853398076,0.05666173390224865,0.0011646859633578778
amgtp_fixed_beta0,0.32184674479459735,0.3197708400206997,0.3238284733744208,0.09943550911963359,0.9297416853398076,0.05666173390224865,0.0011646859633578778
learn_alpha,0.3227705028155993,0.32072273443193605,0.32469477530240676,0.09982773758135331,0.9290843248771998,0.05590160950800411,0.0020884439843598637
amgtp,0.3229487016095906,0.3209165681695189,0.3248856013292591,0.09980646456675447,0.9293158365899367,0.05684402304014244,0.0022666427783510656
amgtp_no_state,0.32301708717499705,0.3210069086654085,0.3249395592167829,0.09982920134269481,0.9292801907505823,0.056935905028134885,0.002335028343757612
amgtp_hidden8,0.32307556795265613,0.3210712213963894,0.32499074700599306,0.09984894182871759,0.9292529706572753,0.05703920652451104,0.002393509121416612
amgtp_hidden16,0.32307559160532034,0.321071204335822,0.324990625662088,0.09984895984631272,0.9292529552613205,0.05703911758199058,0.002393532774080807
m5b_smooth0.3,0.3230823511327115,0.3209870613504977,0.32504737455456484,0.09995272524726549,0.9286425819521698,0.055742425251025546,0.0024002923014720037
amgtp_global_q,0.32362618961748135,0.32159328462391257,0.32558499169303917,0.10003968088507742,0.9289415506443511,0.056983936425442756,0.0029441307862417814
amgtp_fixed_beta_hi,0.32469663390284564,0.3227122230066862,0.32661054115588867,0.1004418558497313,0.9283547894184555,0.05722041211715907,0.004014575071606167
fixed_share,0.32583665827737457,0.3238026846256382,0.32775607272280455,0.10106265531934769,0.9268396329241474,0.05409058402826009,0.005154599446135082
rolling_14,0.33163034410057013,0.32934588434032624,0.3338281891227912,0.10389853442641216,0.9197027544634961,0.04098531140324216,0.010948285269330641
diff_forgetting,0.3327630442096675,0.33073861589214926,0.33470386674162916,0.10224260498795959,0.9298546914852114,0.07261547681347592,0.012080985378428015
rolling_7,0.3465955488474739,0.3441757897965442,0.34880949533361916,0.10992330201036055,0.9073442222085765,0.026696516284368994,0.025913490016234466
adamoe,0.34774433869072485,0.34568567449796694,0.34974261462091644,0.10969443521046843,0.9108869938165638,0.042837180313294136,0.0270622798594853
amgtp_uniform_q,0.34988247627211855,0.3478190911462937,0.351881790621352,0.11057402441181804,0.9091909264815854,0.04132675636584652,0.029200417440879072
uniform5,0.3498824789351289,0.3478190938595486,0.3518817934403106,0.11057402530465363,0.9091909264815854,0.04132676005420088,0.029200420103889402
rolling_3,0.3975016262361938,0.39426490251105367,0.40062438323925526,0.12785570846854685,0.8746848329447529,0.030574460982836765,0.07681956740495434
decay_hl7,0.43688165556197406,0.43400188083582136,0.4399599552155347,0.13743082068853557,0.9199184244536627,0.1636734830520428,0.11619959673073448
decay_hl3,0.5023392944933128,0.4994647048627928,0.505393202379261,0.16354273706371833,0.9024024962768236,0.19543469353834522,0.1816572356620734
decay_hl1,0.573522863805526,0.5713694116854197,0.5758609862382872,0.19323183818079948,0.8511478615752813,0.18165817615825577,0.25284080497428635
rolling_1,0.6467526236373488,0.6395748529369518,0.6543061082881207,0.18946549142519373,0.7748462267546751,0.13253153367173176,0.32607056480610935
