day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,oracle_horizon_A,oracle_horizon_loss_A,oracle_horizon_B,oracle_horizon_loss_B,m5b_low_loss,m5b_high_loss,oracle_persistence
4,expanding,0.3608911171981444,60,expanding,0.3387887690222008,expanding,0.38249809303527316,0.36798315627757744,0.36798315627757744,low
5,expanding,0.3418049789445022,60,expanding,0.3374076495761888,expanding,0.34610375247990693,0.3421855189369282,0.35267856953532273,low
6,expanding,0.3398268555586084,60,expanding,0.35480567886674913,expanding,0.3255501645930368,0.34039093860417796,0.35812519770684065,low
7,expanding,0.34006822126212055,60,expanding,0.3282356594221733,expanding,0.35172850225462965,0.34023382144629294,0.34741163807252146,low
8,expanding,0.34774126143249084,60,expanding,0.3505780302678489,expanding,0.34492709633287266,0.34744021444558476,0.35352153124574975,low
9,expanding,0.33837519558124907,60,expanding,0.3366331400898876,expanding,0.3401500758059605,0.34009282447557077,0.34799743330711486,low
10,expanding,0.33971512438371765,60,expanding,0.3297022957327052,expanding,0.349503538944991,0.3415206901816037,0.3479580786140795,low
11,expanding,0.3526238574917981,60,expanding,0.3574814393333689,expanding,0.3477207256530526,0.35398653791200074,0.3618695597364485,low
12,expanding,0.3407671471550086,60,expanding,0.32961686363225434,expanding,0.35152311809739056,0.34079843478133837,0.34518743179283085,low
13,expanding,0.338317417539084,60,expanding,0.33131998990707984,expanding,0.34558105165708836,0.33972532977545816,0.345553004193365,low
14,expanding,0.34164503328281176,60,expanding,0.35494329106346334,expanding,0.32879992714344064,0.34243240449918894,0.34652177192355965,low
15,expanding,0.3183034839892906,60,expanding,0.31719710603772755,expanding,0.3193923003860669,0.32059940445577373,0.3278450666479061,low
16,expanding,0.3382923180825585,60,expanding,0.3429721210782047,rolling_14,0.33279505739190457,0.3382406652235507,0.342090274217474,low
17,expanding,0.3380077339822888,60,expanding,0.34651220809366823,rolling_14,0.32763899441756467,0.33741575770135473,0.3408105412792087,low
18,expanding,0.3296813617103526,60,expanding,0.3388604500778247,rolling_14,0.3201340009062013,0.33188479227610024,0.33724279285763903,low
19,expanding,0.33260811342561747,60,expanding,0.3404643496803427,expanding,0.3250297008498412,0.33525420934261163,0.341002661452629,low
20,expanding,0.3766743479943264,60,expanding,0.37720031477936933,expanding,0.37614132125243727,0.3771606457836583,0.38259745961894964,low
21,expanding,0.3314822269470291,60,expanding,0.3318955785784063,expanding,0.3310792159094586,0.3320168930107733,0.3367212923709601,low
22,expanding,0.3475248034732922,60,expanding,0.349447597790564,rolling_14,0.3449133208057474,0.34750754390514743,0.3513069673946514,low
23,expanding,0.3305959120828224,60,expanding,0.34418467838864475,expanding,0.31652775917733744,0.3304592353473301,0.33239617068201494,low
24,expanding,0.335650836079576,60,expanding,0.33392705802066097,expanding,0.33733822832194404,0.33649350724901245,0.33945991855659396,low
25,expanding,0.3305117956359095,60,expanding,0.33633229680333615,expanding,0.32456578500934685,0.3314354002879501,0.3344907167108455,low
26,expanding,0.35322750871532876,60,expanding,0.34901828693065634,expanding,0.3575332332246667,0.35407852713896426,0.3583115408990778,low
27,expanding,0.3436730156800225,60,expanding,0.34239168599036834,expanding,0.34497674925127114,0.3447276164011868,0.3489532560710035,low
