method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
validation_selected(h=rolling_14),0.3625620019936246,0.35840928408200906,0.3670241880008063,0.11500829398106192,0.8976425654460742,0.036606412342017544,0.0
rolling_14,0.3625620019936246,0.35840928408200906,0.3670241880008063,0.11500829398106192,0.8976425654460742,0.036606412342017544,0.0
han_arw,0.3625620019936246,0.35840928408200906,0.3670241880008063,0.11500829398106192,0.8976425654460742,0.036606412342017544,0.0
m5b_smooth0.01,0.36364495018339804,0.3595835330877263,0.36800624852173763,0.11525339235249857,0.897524257046062,0.038184868818607075,0.0010829481897734361
m5b_smooth0.001,0.3636842617427028,0.35959642222629784,0.3680594521510473,0.11527402629934129,0.8974575089149288,0.03800200399309207,0.001122259749078236
amgtp_fixed_beta0,0.36371463840878687,0.35962891297303623,0.36803882011236627,0.11528927386594218,0.8974201826647553,0.03804531190270722,0.0011526364151623653
m5b_smooth0,0.36371463840878687,0.35962891297303623,0.36803882011236627,0.11528927386594218,0.8974201826647553,0.03804531190270722,0.0011526364151623653
m5b_smooth0.3,0.36409363721343924,0.3599719730283202,0.36852294996990287,0.11535353700985145,0.897330670640243,0.038694249539580707,0.0015316352198146532
ensemble3,0.3647014214529002,0.3606091426772862,0.3690511479544996,0.11552582970504953,0.8971686366659763,0.03933180868241351,0.002139419459275693
amgtp,0.3647430280635509,0.3606722959979932,0.36905395403084473,0.1155812042408274,0.8970922413298457,0.0393387266222792,0.0021810260699263203
amgtp_no_state,0.364822904390887,0.3607494694675115,0.36912640323832224,0.11560689382960873,0.8970567747921537,0.03929869987365882,0.0022609023972624083
m5b_smooth0.1,0.3649429316654014,0.3607661375379038,0.3694863381825638,0.11555558692701144,0.897111659514217,0.04019987745635356,0.002380929671776826
amgtp_global_q,0.365523177574147,0.3614740434996908,0.36985840480502985,0.115792842395588,0.8967979656247584,0.0401107706006941,0.002961175580522405
amgtp_fixed_beta_hi,0.3667275646925589,0.3627330551100348,0.37094355620761726,0.11618830597053928,0.8962599851257426,0.04087263758941517,0.0041655626989343525
rolling_7,0.3763106310369293,0.3718932445590332,0.3809468187160351,0.12043278467333267,0.8850107551481209,0.02425552454291864,0.013748629043304799
adamoe,0.3905336238521139,0.38720103697757297,0.39409692538743674,0.12482936270596105,0.8795624588279313,0.038685052128551854,0.027971621858489237
amgtp_uniform_q,0.39215185610321357,0.3888494823583841,0.3956979806520321,0.12547097848372693,0.8781434689171222,0.03786493857079032,0.029589854109588996
uniform5,0.39215185870489183,0.38884948502354577,0.39569798329554917,0.12547097950747355,0.8781434689171222,0.03786494222112139,0.029589856711267227
m1_global_mix,0.40888015541817696,0.4055173267899572,0.4122516116126838,0.13178907561461256,0.8615524428018567,0.024495368525978976,0.04631815342455239
m2_context_gate,0.4090557550180628,0.4055580081762183,0.4125195367653445,0.1318382235588089,0.8613753408863251,0.024854922876006186,0.04649375302443826
diff_forgetting,0.4198558972186535,0.4172799438504768,0.42247101230999556,0.13427817389610858,0.8812943716995505,0.08899452138177431,0.0572938952250289
rolling_3,0.4318020849658039,0.4267534041213135,0.43724143562759266,0.13873782860515943,0.8491165414766938,0.04252784398499924,0.06924008297217932
decay_hl7,0.4528587044476325,0.449647246242742,0.4558163141195439,0.14489493941773973,0.8966535711374414,0.14685969408768945,0.09029670245400784
expanding,0.477801241966046,0.4724525462808053,0.48284564696015186,0.15726518486140129,0.8007304806903125,0.03377118991407959,0.11523923997242141
decay_hl3,0.5073300296588975,0.5034244125221994,0.5110510569036998,0.16609342722568476,0.8813211136494048,0.17425391576956373,0.1447680276652729
decay_hl1,0.5705813734654156,0.5663858296907799,0.5747879086203734,0.19194512697234725,0.8321335474422907,0.16753288700676536,0.20801937147179103
rolling_1,0.6870647511331551,0.6759844007725747,0.698619969177229,0.19735100260895477,0.7553604416568866,0.143993888100142,0.3245027491395305
