day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,oracle_horizon_A,oracle_horizon_loss_A,oracle_horizon_B,oracle_horizon_loss_B,m5b_low_loss,m5b_high_loss,oracle_persistence
4,rolling_3,0.4382760398353619,3,rolling_3,0.441622832395886,expanding,0.4334635832911843,0.4316054682108475,0.4316054682108475,low
5,expanding,0.3771574322087783,60,expanding,0.37474784566353825,expanding,0.37951301351833056,0.3830916818053441,0.3820722713543014,high
6,expanding,0.37830774610844553,60,expanding,0.3775703409901633,expanding,0.3790105853618084,0.3824033351436864,0.3812911897223318,high
7,expanding,0.4411877233412037,60,expanding,0.449214613929946,expanding,0.4332777034294649,0.44179265876019447,0.44647199006308286,low
8,expanding,0.5301709722303891,60,expanding,0.5268417906618428,expanding,0.5334736264557598,0.5335404873520188,0.5103740642491973,high
9,rolling_3,0.5317153631321385,3,rolling_3,0.5423628537897128,rolling_3,0.5208672468094145,0.567854692210793,0.5297239388435444,high
10,rolling_3,0.46786800040766663,3,rolling_3,0.4646021979708716,rolling_3,0.47106060753605616,0.5129646982963834,0.47883057902536824,high
11,rolling_3,0.44244121852554263,3,rolling_3,0.4417254023931543,rolling_3,0.44316374693244764,0.5292482360069599,0.470808251901212,high
12,rolling_3,0.3999903282857725,3,rolling_3,0.4002154203526843,rolling_3,0.3997731962526612,0.4504086864970637,0.4036898646083266,high
13,rolling_7,0.3658004598081852,7,rolling_7,0.3616205801073478,rolling_7,0.37013935667155434,0.3878395972662908,0.38879257205360646,low
14,expanding,0.3727068756086733,60,expanding,0.38074487426626374,expanding,0.36494277991975566,0.3947508616594626,0.4449521524055793,low
15,expanding,0.3951559282202679,60,expanding,0.3964180672068831,expanding,0.3939138231858211,0.4111840969377278,0.46931921473731975,low
16,expanding,0.44587336833649077,60,expanding,0.44884066725137467,expanding,0.4427056591571972,0.45164367460431976,0.48463152532971565,low
17,expanding,0.457572509966132,60,expanding,0.46575356192408884,expanding,0.44902339432090516,0.46504283966405446,0.45636969871692923,high
18,rolling_3,0.4151752745326827,3,rolling_3,0.4196017819286329,rolling_3,0.41097311254081575,0.45771308580348297,0.4284631292841999,high
19,rolling_3,0.4097673030512822,3,rolling_3,0.4057281195024704,rolling_3,0.41366364710327935,0.4189498763695903,0.3934172771168509,high
20,expanding,0.40405068666193855,60,expanding,0.40061424922355987,expanding,0.40753325077734254,0.40451216212074165,0.4094876196872609,low
21,rolling_14,0.37325538972149813,14,rolling_14,0.37404007389130767,rolling_14,0.3724903355704199,0.3779544661496245,0.4128919987343223,low
22,rolling_14,0.40140106990521696,14,rolling_14,0.4105426529101923,rolling_14,0.392332328199086,0.4254515483328853,0.4365122891279016,low
23,rolling_14,0.4504687634764965,14,rolling_14,0.45552219069456923,rolling_14,0.44523706067135466,0.48958566569303047,0.4762143039887945,high
24,rolling_3,0.46152868694022287,3,rolling_3,0.4565525819593903,rolling_3,0.4663997554043097,0.5107811911201152,0.47718170243528996,high
