method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
m5b_smooth0.1,0.4139866216160229,0.4032326987246049,0.424222729309508,0.13311139530361435,0.8425834909860073,0.03910130196541453,0.004059718073292933
m5b_smooth0.3,0.4168786658930276,0.40684201924224944,0.4263015244098937,0.13417798557998561,0.8379313604375884,0.033817253520788314,0.006951762350297593
ensemble3,0.4176692042092788,0.40649179762297233,0.428318551700919,0.13462630474537984,0.8386211483637583,0.03904930327355188,0.007742300666548848
amgtp_no_state,0.418283896267014,0.4073031429778139,0.4285589778259507,0.13481789544346826,0.8370052679472373,0.03660958404819541,0.00835699272428402
amgtp_global_q,0.41858703643108847,0.4078115977077772,0.4285705883622431,0.13489852001601188,0.8367764573017433,0.03642979519768801,0.00866013288835849
amgtp,0.41859390621060216,0.40813242642998343,0.42840159429110736,0.13487302840179094,0.8366980899325335,0.034935385965626516,0.008667002667872148
amgtp_hidden16,0.41863839033066524,0.40772517710393663,0.4290565718623106,0.13489803459162797,0.837451149942994,0.036946162239942036,0.008711486787935279
learn_alpha,0.4187707062581587,0.40689972978646327,0.43039164554907083,0.13477130805851145,0.8385655241114361,0.03897261408541424,0.008843802715428655
amgtp_hidden8,0.4193584623624603,0.4089947363851753,0.42902332586746816,0.13523315903534497,0.8360585086402216,0.035262924098890626,0.009431558819730393
fixed_share,0.4198328730737617,0.4077483257732421,0.43191269777088626,0.1351342542155876,0.8376007122953965,0.03893503125217394,0.009905969531031858
amgtp_fixed_beta_hi,0.4199259744092735,0.4088480003154752,0.4308273808955296,0.13555581834310235,0.8346702833023503,0.036129396560068854,0.009999070866543499
m2_context_gate,0.4203976602424488,0.408737049864218,0.4313461334450125,0.13563917712862697,0.8364613052881867,0.03897311235112475,0.010470756699718892
m1_global_mix,0.42193918872061364,0.41068137270322863,0.4326948983749789,0.13668207523325288,0.8318906431838597,0.03355727302421564,0.012012285177883698
validation_selected(h=expanding),0.4230234569271548,0.4102674238396217,0.4360901403779289,0.13616670169521544,0.8340190264506493,0.03796337311563899,0.013096553384424916
han_arw,0.4230234569271548,0.4102674238396217,0.4360901403779289,0.13616670169521544,0.8340190264506493,0.03796337311563899,0.013096553384424916
expanding,0.4230234569271548,0.4102674238396217,0.4360901403779289,0.13616670169521544,0.8340190264506493,0.03796337311563899,0.013096553384424916
m5b_smooth0.01,0.42416489082411835,0.41195442018378053,0.4360827836719995,0.13690085271916386,0.8321209250366953,0.037227869809853466,0.014237987281388375
m5b_smooth0,0.4242766159659488,0.4116845380735363,0.43640461826433397,0.13696437879356657,0.8328713724692267,0.03902922130225719,0.014349712423218789
amgtp_fixed_beta0,0.4242766159659488,0.4116845380735363,0.43640461826433397,0.13696437879356657,0.8328713724692267,0.03902922130225719,0.014349712423218789
adamoe,0.4249133787619831,0.4136848083757761,0.4358976050731265,0.13730763418303515,0.8280211197733046,0.03155131008779719,0.014986475219253087
amgtp_uniform_q,0.4256562964076895,0.41426235680611573,0.4367752154698412,0.13756618690455552,0.8272575832490091,0.03198248023982856,0.015729392864959495
uniform5,0.4256562970530142,0.41426235726598726,0.436775216334447,0.13756618716894403,0.8272575832490091,0.03198248112893095,0.015729393510284295
diff_forgetting,0.42713418874710074,0.4149285622942097,0.43961597741428365,0.1373854507078103,0.8331424221182765,0.04467331349303557,0.017207285204370842
m5b_smooth0.001,0.4309340009035331,0.41757347926590593,0.4438200258168835,0.13933535815352102,0.8253373262272429,0.03652273209379775,0.021007097360803223
rolling_14,0.43725885158710287,0.42361088316730094,0.450635080636285,0.14154445230391607,0.8164189008080042,0.029590509369305202,0.02733194804437286
decay_hl7,0.476281899538722,0.46669279825406923,0.48558799265540414,0.15437654485155017,0.8168501181508145,0.09597738917497961,0.06635499599599207
rolling_3,0.4835909356368184,0.4645916151441858,0.5040804684992345,0.15322646473211643,0.7978454349901422,0.07287881353659831,0.07366403209408845
rolling_7,0.5047224843759779,0.47404725445368323,0.5343152825417969,0.16253871736086326,0.7610043236268148,0.06653363489134574,0.0947955808332479
decay_hl3,0.5087825939555375,0.5010368005727419,0.5163134233831286,0.1665806771269342,0.8026197016547416,0.11622400975377592,0.09885569041280759
decay_hl1,0.5472296584802906,0.5423175216408255,0.5518956785233209,0.1812041320637673,0.7876313764000443,0.1277974619125633,0.13730275493756064
rolling_1,0.6734557051394517,0.6601279837046833,0.68846598396666,0.19012934301879683,0.7411999019446507,0.1421923611227602,0.26352880159672193
