method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
m5b_smooth0.1,0.45389227401867305,0.4429710101465056,0.46554326609919255,0.1480303511383022,0.828556300390229,0.040252632063512206,-0.0016832304051407248
ensemble3,0.45494415807735905,0.4431024057231768,0.46754076628378555,0.14844436113811904,0.8276199338281566,0.04061352017602509,-0.0006313463464546246
m5b_smooth0.3,0.4549788766814536,0.4427695065364,0.4677694202008799,0.1484068904376218,0.8268701086939482,0.039760020123586926,-0.0005966277423600817
amgtp_hidden8,0.4564811661538647,0.4436490589281416,0.46973207388994626,0.14901112916106785,0.8261089647728149,0.040399086280280695,0.0009056617300510391
amgtp_hidden16,0.45672322819024974,0.443802010500961,0.4699160422110456,0.14912143137282305,0.8257508222882017,0.04024936488209196,0.0011477237664360865
amgtp_fixed_beta_hi,0.45672453275775504,0.4438845646610564,0.4698960877745032,0.14910359021188418,0.8258785239740126,0.04042391722553376,0.0011490283339413963
amgtp_no_state,0.4568185969310627,0.44435879010198975,0.46979987984462956,0.14916428032174295,0.8257006448293653,0.03936479466070122,0.0012430925072490218
amgtp,0.4569619586264132,0.444309468808061,0.4699329475850276,0.1491932755091961,0.8255965130886576,0.04041654999525743,0.0013864542025995583
expanding,0.45716873247831663,0.4426168749298102,0.4719970284303835,0.1491835356134069,0.8247887685181067,0.03811655543872568,0.0015932280545029123
validation_selected(h=expanding),0.45716873247831663,0.4426168749298102,0.4719970284303835,0.1491835356134069,0.8247887685181067,0.03811655543872568,0.0015932280545029123
han_arw,0.45716873247831663,0.4426168749298102,0.4719970284303835,0.1491835356134069,0.8247887685181067,0.03811655543872568,0.0015932280545029123
amgtp_global_q,0.4571714022303638,0.4449803722866993,0.4700268601302702,0.1492757565481367,0.8252681707539494,0.039970855158218875,0.0015958978065500015
m2_context_gate,0.4579302501867824,0.4434571212536895,0.4727130436826722,0.14950933139017103,0.8241757863944879,0.03932935185039182,0.0023547457629687096
m5b_smooth0.01,0.4586280494250446,0.445298462125403,0.47239943319782945,0.14991437164156493,0.8232354892755347,0.038275341643714,0.0030525450012309344
learn_alpha,0.4588762524288615,0.4441257038472511,0.4737241750711735,0.14987628268617215,0.8232445376936329,0.0390638570971728,0.0033007480050478615
m5b_smooth0.001,0.45897200854916126,0.44495461148444726,0.47335049579656097,0.15001026937062603,0.8227004631858933,0.038258902276419655,0.0033965041253476783
m5b_smooth0,0.4589781273280373,0.4448704911461056,0.4732673461968782,0.15000225667460862,0.8227041978685635,0.037969064368579906,0.0034026229042236366
amgtp_fixed_beta0,0.4589781273280373,0.4448704911461056,0.4732673461968782,0.15000225667460862,0.8227041978685635,0.037969064368579906,0.0034026229042236366
diff_forgetting,0.46065113062712926,0.4469260356750407,0.47460209743561155,0.15022503751520958,0.8241323682251321,0.042804412027957636,0.005075626203315605
fixed_share,0.4611397194178338,0.44619124484338857,0.4763590589486177,0.15077499536928932,0.8207872739179685,0.03934104696708057,0.005564214994020133
m1_global_mix,0.46824154411337393,0.4541886624885889,0.4822619472607294,0.1537514235210823,0.812254524981166,0.0361261826939654,0.012666039689560298
adamoe,0.47942054393013117,0.4645893822778238,0.49394082817508195,0.15801006342021623,0.8001981977610095,0.03892777771843616,0.02384503950631749
uniform5,0.48011078030648696,0.46522282860957015,0.49488304233764224,0.15823653340515717,0.7996325192042453,0.039508818580020505,0.024535275882673423
amgtp_uniform_q,0.480110780317966,0.4652228287632462,0.4948830424288407,0.1582365334208899,0.7996325192042453,0.03950881893480633,0.024535275894152317
rolling_14,0.49168164575408263,0.4721792872633024,0.5115345693599557,0.16209705990794562,0.7887174925510777,0.042409497370300364,0.03610614133026903
decay_hl7,0.5104873940263293,0.5003984334121697,0.5206066042657996,0.1681135518212602,0.8050819075770304,0.09602930596242656,0.05491188960251559
rolling_7,0.5423642130362818,0.5169824829368234,0.5690022359532316,0.17900788229774403,0.748574696478284,0.0659311691057636,0.08678870861246817
decay_hl3,0.5464810816807225,0.5385899418267255,0.5545781710638636,0.18251138186963842,0.7817439173833733,0.11367165209021443,0.09090557725690883
decay_hl1,0.5847097061390384,0.5800126121067742,0.5895473758137866,0.1982237148832956,0.7535386318385302,0.12225843048903222,0.12913420171522474
rolling_3,0.5947350702499382,0.5608949843695414,0.6290378078288611,0.18941614875389365,0.7443189299028812,0.10646215297567047,0.13915956582612451
rolling_1,0.7702698014113074,0.7445210731081093,0.796443027386555,0.21595937569100648,0.7228544300225257,0.1661517172431894,0.3146942969874937
