day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,oracle_horizon_A,oracle_horizon_loss_A,oracle_horizon_B,oracle_horizon_loss_B,m5b_low_loss,m5b_high_loss,oracle_persistence
4,expanding,0.4421579364531601,60,expanding,0.45575913428093145,expanding,0.4291942947735656,0.44651028845222696,0.44651028845222696,low
5,expanding,0.5655724790324242,60,expanding,0.5593059076256636,expanding,0.5720601235145929,0.5605506621490598,0.5628072501375759,low
6,expanding,0.7184488087593015,60,expanding,0.745110943679302,expanding,0.6931717198091711,0.6699311204116488,0.6506040093389576,high
7,rolling_3,0.5477445312437184,3,rolling_3,0.5650353603440023,rolling_3,0.5303612378166951,0.5406312539889091,0.5315971199169255,high
8,rolling_3,0.44623774476463207,3,rolling_3,0.4570973842878896,rolling_3,0.435578944017234,0.4865943571655424,0.45690013735531104,high
9,expanding,0.4207556965800265,60,expanding,0.441291686390738,expanding,0.4016213905554937,0.4473210401685833,0.46790205260960577,low
10,expanding,0.46088186678890647,60,expanding,0.46573380619096016,expanding,0.45605573557516166,0.49667065404905864,0.5106589756669453,low
11,expanding,0.5068175740957903,60,expanding,0.5042137633087875,expanding,0.5094704472663976,0.5141829053198026,0.510935854244217,high
12,rolling_3,0.4452516941027299,3,rolling_3,0.4532281861168088,expanding,0.430829723962125,0.4525253483044665,0.43767336355311903,high
13,expanding,0.4091290243009109,60,expanding,0.42354106248505047,expanding,0.3955202494245071,0.4090990949929751,0.41511678404749036,low
14,expanding,0.46170677478843897,60,expanding,0.45821251615890923,expanding,0.465507419352082,0.46182719695659946,0.4890922729914985,low
15,expanding,0.5636679623252447,60,expanding,0.5926812732984454,expanding,0.5348858331127866,0.565544410944,0.5612821945686596,high
16,rolling_3,0.5508357645224264,3,rolling_14,0.5779859708165295,rolling_3,0.5191915291616133,0.5580401994078918,0.5243581135557603,high
17,rolling_14,0.4619413754474718,14,rolling_14,0.47217878729902113,rolling_3,0.44856233141689794,0.46871970707898813,0.4484895220126768,high
18,expanding,0.4094721527157151,60,expanding,0.41605551242319644,expanding,0.4027826097871454,0.41286968027155374,0.43749664666992294,low
19,expanding,0.4576173601013638,60,expanding,0.4729386145747298,expanding,0.4416281490297038,0.496625628177751,0.5077445129397298,low
20,expanding,0.48822241101107555,60,expanding,0.484857495730453,expanding,0.4916874996830021,0.517190842397996,0.505387254953757,high
21,expanding,0.4550545634580093,60,expanding,0.45057037139101364,rolling_3,0.45717500923619847,0.45665283376304233,0.44141259853279524,high
22,expanding,0.41836719060240496,60,expanding,0.4262481722142985,expanding,0.4100098859260563,0.41837560656833767,0.4280138831790945,low
23,expanding,0.44236880900487313,60,expanding,0.4638859745387385,expanding,0.42191491042846807,0.44246349416867164,0.46780757038845233,low
24,expanding,0.5105247010782027,60,expanding,0.5188162362108905,expanding,0.5024943166583555,0.5105660503963975,0.5119070783638608,low
25,expanding,0.5559458111056713,60,expanding,0.5543318072350987,expanding,0.5576012276346383,0.5558835098396929,0.5271589982848863,high
26,rolling_14,0.44901432465226615,14,rolling_14,0.46521166013943616,rolling_14,0.43266510524224255,0.45925213362362116,0.4340333556904075,high
27,expanding,0.40911589321908043,60,expanding,0.4181950350675433,expanding,0.400542782607797,0.4091440162927845,0.4319122890847628,low
28,expanding,0.4335704799049128,60,expanding,0.44202349259342294,expanding,0.42504957153215756,0.43404854848058655,0.4602071625375719,low
29,expanding,0.498678539706102,60,expanding,0.4850745007661577,expanding,0.5121382387103439,0.49905178989235305,0.5050356314028727,low
30,expanding,0.47503237621480926,60,rolling_3,0.4796895998297781,expanding,0.4625225862616951,0.4743767849560774,0.4655689173857369,high
31,expanding,0.40941340948180255,60,expanding,0.4196559304301,expanding,0.3993334682310971,0.4086609993435146,0.40835066551736204,high
32,expanding,0.43180411662987855,60,expanding,0.4548187943269914,expanding,0.4083870303112963,0.4349755274827884,0.45152181954102405,low
33,expanding,0.5306649503141027,60,expanding,0.5477079048469052,expanding,0.5129500098105981,0.5322128798939522,0.5325980766806487,low
34,expanding,0.5284535935062258,60,expanding,0.5520049706169192,expanding,0.5053993430891619,0.5241056814047375,0.511058560303012,high
35,rolling_3,0.45428475013233505,3,rolling_14,0.4732305240917363,rolling_3,0.43241594423817103,0.45095650447881297,0.44114323219912904,high
36,expanding,0.40127489938127187,60,expanding,0.4239592832054241,expanding,0.3772515608495856,0.4239724965169198,0.41703431323837353,high
