day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,oracle_horizon_A,oracle_horizon_loss_A,oracle_horizon_B,oracle_horizon_loss_B,m5b_low_loss,m5b_high_loss,oracle_persistence
4,expanding,0.3952711282042425,60,expanding,0.4115521844927154,expanding,0.37872747423369746,0.3968051341971435,0.3968051341971435,low
5,expanding,0.43063825124314414,60,expanding,0.42347617418246536,expanding,0.4371966283216968,0.43306122277087655,0.4359503553589848,low
6,expanding,0.5372621856169992,60,expanding,0.5413109881900805,expanding,0.5331315890525425,0.5361783101449787,0.5351165852506516,high
7,rolling_3,0.658895900346391,3,rolling_3,0.6321195992107829,rolling_3,0.6853175484868256,0.6516524492798091,0.6184151274024908,high
8,rolling_3,0.5740189346316911,3,rolling_3,0.555375747231739,rolling_3,0.5920990316702526,0.5764177509383986,0.5698093550170507,high
9,rolling_3,0.43909451839360114,3,rolling_3,0.43381788580486186,rolling_3,0.44447057609168417,0.5247321832547456,0.49382502993945265,high
10,rolling_7,0.46191948923915055,7,rolling_7,0.4568951983399351,rolling_7,0.46676610383937606,0.4546344224558725,0.4576398277450433,low
11,expanding,0.40438460736509124,60,expanding,0.42108047265680787,expanding,0.3885771657942836,0.49310700576578803,0.42595487989354947,high
12,expanding,0.44553147923839714,60,expanding,0.44739288652745784,expanding,0.44370693149961477,0.497388558827905,0.4827388535270567,high
13,expanding,0.46890605258870105,60,expanding,0.4668834573031003,expanding,0.4709018585327706,0.47118659164380383,0.48326364004327677,low
14,expanding,0.4629361259685922,60,expanding,0.47922420513150293,expanding,0.44616315135022255,0.4627889345955285,0.462227045108997,high
15,rolling_3,0.43677922860422935,3,rolling_3,0.41782289817123375,rolling_14,0.4469570707890859,0.4374242498936706,0.42442431664183655,high
16,expanding,0.3998838501141713,60,expanding,0.3822182214858984,expanding,0.41764394734473437,0.40094587854876046,0.40517321808344,low
17,rolling_14,0.4260847279154761,14,rolling_14,0.4275441873215568,rolling_14,0.42466367533587107,0.42772709044696106,0.44434218543357573,low
18,rolling_14,0.48964582751779795,14,rolling_14,0.4859222037011063,rolling_14,0.49358923969978513,0.5021649092148052,0.504469501405158,low
19,rolling_14,0.5013775523074014,14,rolling_14,0.49891003982767346,rolling_14,0.5037419833258352,0.5144124663075293,0.5018918383250355,high
20,rolling_3,0.4420704398927852,3,rolling_3,0.43551839476795995,rolling_3,0.448613754777604,0.47502459031772976,0.46005608703013756,high
21,rolling_14,0.42709087630868975,14,rolling_14,0.4157262050610592,rolling_14,0.43850109734088,0.4275838945465489,0.4235426451839551,high
22,expanding,0.40779660982858557,60,expanding,0.4045248032348883,expanding,0.41102938890824264,0.4240342521001568,0.43549467705968803,low
23,expanding,0.42108415587301157,60,expanding,0.41396999879830015,expanding,0.42859814905473204,0.44814941080904525,0.45168034160513276,low
24,expanding,0.4615585081809004,60,expanding,0.46190968180106134,expanding,0.4611983240289594,0.47342633092341097,0.462466011528713,high
25,rolling_3,0.4542868888193302,3,rolling_3,0.4748167968914749,rolling_3,0.4338389364680324,0.46598550555445384,0.44113448665572325,high
26,rolling_3,0.43598637523799866,3,rolling_3,0.42386510192961163,rolling_3,0.4485352647010913,0.4499490576377256,0.4293200746808061,high
27,expanding,0.39917598017504147,60,expanding,0.38361703929329355,expanding,0.4139660787245314,0.4086832183170653,0.40733037837278047,high
28,expanding,0.4248486161483466,60,expanding,0.41547048412384596,expanding,0.433751443235933,0.4354394326927286,0.4507129472844637,low
29,rolling_14,0.5006534301155754,14,rolling_14,0.48820086355948555,rolling_14,0.5133914904430116,0.5012924712457781,0.5066322539311106,low
30,rolling_14,0.5268344932244198,14,rolling_14,0.5094392304816096,rolling_14,0.5434143530261607,0.5272521350062838,0.5101542016001023,high
31,rolling_3,0.4640392474950866,3,rolling_3,0.4555338681078067,rolling_3,0.4723429182802966,0.47701079011298864,0.45879643144596205,high
32,rolling_14,0.44081706229897466,14,rolling_14,0.4405113389944763,rolling_14,0.44111394734762666,0.4399053436350823,0.43944821586589033,high
33,expanding,0.41136893526590523,60,expanding,0.4017808628640871,expanding,0.42142855221207515,0.42834120792634167,0.43373895515999666,low
34,expanding,0.43242459905107555,60,expanding,0.44865520671304077,expanding,0.4162587842340684,0.46523743468405276,0.4694395351108981,low
35,expanding,0.46452055471919007,60,expanding,0.4894559321227954,expanding,0.44027372817091115,0.4748160456428217,0.4692144497356979,high
36,rolling_3,0.46986513006490155,3,rolling_14,0.48027143303344083,rolling_3,0.45500558577489625,0.46461665801766966,0.4594679314413351,high
37,rolling_3,0.4244399851822111,3,rolling_3,0.426071384108173,rolling_3,0.42288505808090376,0.4172134517363485,0.4155935163626671,high
38,expanding,0.39778047968043256,60,expanding,0.39675109188546875,expanding,0.3987499031378258,0.4126443958265116,0.4026312214474767,high
39,expanding,0.40315985420376715,60,expanding,0.40129747618382583,expanding,0.40502969666467,0.42729389952276975,0.4249906133170309,high
40,expanding,0.47629824985751384,60,expanding,0.46347618312990047,rolling_14,0.4851195973338974,0.4769728045238647,0.4789401564625582,low
41,rolling_14,0.4989001825672773,14,rolling_14,0.4607865727276893,rolling_14,0.5366597177301871,0.5243126138142574,0.49160646272080144,high
42,rolling_3,0.45675409504377174,3,rolling_3,0.4558881124871685,rolling_3,0.45760406207092663,0.5002171864329802,0.45946054016006793,high
43,rolling_14,0.4309885234612165,14,rolling_14,0.4246787368986426,rolling_14,0.4376440517532465,0.44380515744865273,0.4268997036524685,high
44,expanding,0.4009769938408632,60,expanding,0.4210504308117715,expanding,0.3818954822339269,0.4012833915068507,0.42762267985162344,low
45,expanding,0.4189021796613669,60,expanding,0.4381105236116806,expanding,0.3992796396150896,0.4209856086786979,0.44975158691288797,low
46,expanding,0.44930624805559677,60,expanding,0.436219344782025,expanding,0.46263974170040667,0.45006788993035796,0.45474424340921665,low
47,expanding,0.4811365714513237,60,expanding,0.4879514683198863,rolling_14,0.46957756738715856,0.47841795061051245,0.46481575888846594,high
48,rolling_14,0.4289385404267141,14,rolling_3,0.4100495746198943,rolling_14,0.4343189434503757,0.43423950711617876,0.4175155332720166,high
49,expanding,0.4035125359216216,60,expanding,0.417241477056639,rolling_14,0.3880072148816649,0.39929919804682323,0.4043843410000361,low
50,expanding,0.4047559206330928,60,expanding,0.402698585514046,expanding,0.40694343101414243,0.424052216643496,0.42769259681005994,low
51,expanding,0.46507731098833727,60,expanding,0.4381673160941896,expanding,0.49124422910039817,0.47215918347580754,0.4706006277358182,high
52,rolling_14,0.5180499469641444,14,rolling_14,0.5229432783382754,rolling_14,0.5128121574808614,0.5173076991815552,0.5057156977979762,high
53,rolling_3,0.4355772566159876,3,rolling_3,0.45231310985431944,rolling_3,0.41958327953163665,0.4757142897047567,0.45017694184023516,high
54,rolling_14,0.4147983038386225,14,rolling_14,0.4097608182200595,rolling_14,0.4196771284928212,0.4143756189448991,0.41208911674609744,high
55,expanding,0.38912665433164756,60,expanding,0.3995347232927588,expanding,0.3789789583926049,0.40946208889827423,0.415496679164767,low
56,expanding,0.4400449171650489,60,expanding,0.4491919807255943,expanding,0.4309828296428895,0.4721853592623632,0.4672356489579607,high
57,expanding,0.47571913113401343,60,expanding,0.46752615894903543,expanding,0.4838251752321482,0.4883235827642307,0.47613011390328425,high
58,rolling_3,0.4581481394246774,3,rolling_3,0.45594156719422574,rolling_3,0.46046632228059264,0.46232460913213375,0.45418496975456535,high
59,rolling_3,0.4202281526218106,3,rolling_3,0.4231190006360944,rolling_3,0.41722332147712016,0.4213247229030467,0.4180503890778488,high
60,expanding,0.39499605002321037,60,expanding,0.40990096062277886,expanding,0.3797290768179843,0.4258918020654263,0.4005975370899144,high
61,expanding,0.41383403014979453,60,expanding,0.42928775441114625,expanding,0.3972924660853662,0.444552895421889,0.4450764585703849,low
62,expanding,0.4841929151911104,60,expanding,0.4862030583886647,expanding,0.4823274609640741,0.5102564882750039,0.5024233887740059,high
63,rolling_14,0.5079022463590039,14,rolling_14,0.4979479514444705,rolling_14,0.5170663155568905,0.507511699882484,0.4933348639075493,high
64,rolling_3,0.4508256074324609,3,rolling_3,0.45156192896797875,rolling_3,0.4500784067338933,0.46934465953532556,0.45331724412562896,high
65,rolling_14,0.4409120894804467,14,rolling_14,0.4388314846070971,rolling_14,0.442895166000358,0.4403762358710855,0.42665556869166493,high
