method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
m5b_smooth0.3,0.4366436518352469,0.42543530492315385,0.44813183954336644,0.14154817667875796,0.8394047511017729,0.041754275387585145,0.003181300239585004
m5b_smooth0.1,0.4367222567727825,0.42595513202411717,0.4474958933622979,0.14161200046118858,0.8387507459083215,0.039540230842763646,0.003259905177120586
amgtp,0.43844268608041365,0.4275646943585555,0.4494888925011333,0.14225311240417737,0.8372912349604028,0.03904797565453026,0.004980334484751817
amgtp_no_state,0.43848303739664307,0.4273271735629558,0.44972433795202127,0.14225723453457276,0.8374733342877373,0.039491626379630475,0.005020685800981235
amgtp_fixed_beta_hi,0.4385021219648856,0.42773520094766126,0.44965828985138373,0.14231502673102037,0.8370689014076531,0.03812774101238806,0.005039770369223702
ensemble3,0.43855693399394635,0.42720869889137103,0.4500504516613238,0.14230800806385588,0.8372991081308097,0.03988004471741086,0.005094582398284583
amgtp_global_q,0.43887795206951097,0.4276630140355782,0.45010201969246155,0.14241674393517909,0.8367124848294216,0.03983420751150402,0.0054156004738490585
amgtp_hidden8,0.43895875597488637,0.4279472615077958,0.4500075773443526,0.14248412741188377,0.8368255274244009,0.03877146520841536,0.005496404379224562
amgtp_hidden16,0.43899593015462246,0.4279958675897316,0.45013569577911894,0.14247464316036176,0.8368337684666031,0.039192570506445895,0.00553357855896058
learn_alpha,0.4397358377343201,0.4278053015520701,0.4520608712359609,0.14270996394860438,0.8357795808105093,0.0384343010307746,0.006273486138658156
m2_context_gate,0.43979460848847235,0.4276408007291292,0.45208033680424453,0.14275994192375865,0.8360053342212638,0.03933689511102963,0.006332256892810465
fixed_share,0.4401046592116613,0.4280359521368226,0.4524868713256513,0.1428537397792211,0.8353730643402946,0.038091096164272455,0.00664230761599943
han_arw,0.4416188147606992,0.42768084689639074,0.45524174709565535,0.1433150353780523,0.833859225402557,0.03884821765792532,0.008156463165037266
validation_selected(h=expanding),0.4416188147606992,0.42768084689639074,0.45524174709565535,0.1433150353780523,0.833859225402557,0.03884821765792532,0.008156463165037266
expanding,0.4416188147606992,0.42768084689639074,0.45524174709565535,0.1433150353780523,0.833859225402557,0.03884821765792532,0.008156463165037266
m5b_smooth0.01,0.4418780382571248,0.4299609317470127,0.45427394953921824,0.14359150539917134,0.8336220770337693,0.03713736912186339,0.008415686661462833
m5b_smooth0.001,0.44215717217809775,0.4296844204218903,0.454581050846676,0.14367231254148635,0.8331470299766147,0.03729457613792007,0.008694820582435802
m5b_smooth0,0.44256587456865176,0.4302016217026684,0.45509855968366725,0.14381569691795368,0.8328970416419303,0.03795845058737392,0.009103522972989837
amgtp_fixed_beta0,0.44256587456865176,0.4302016217026684,0.45509855968366725,0.14381569691795368,0.8328970416419303,0.03795845058737392,0.009103522972989837
diff_forgetting,0.44524202309939476,0.43212665052441346,0.45785172080913883,0.14438710116182385,0.8334259262963081,0.045005895901807785,0.01177967150373294
rolling_14,0.4461215366376187,0.4338981497690839,0.45807221249520275,0.1451923239195143,0.827607385806532,0.032938942373225436,0.012659185041956808
m1_global_mix,0.4502489706662987,0.43789137978906384,0.4623178047011913,0.14712991489105215,0.8234537507641451,0.034705970384520356,0.01678661907063688
adamoe,0.4523598763920452,0.44029460300295814,0.46533222729987367,0.14766639833120407,0.8206991360207777,0.034969989203448466,0.01889752479638335
amgtp_uniform_q,0.45336786735590207,0.44114022280435505,0.46652613002465376,0.14802204609188602,0.8197275723595563,0.035094309452108896,0.01990551576024019
uniform5,0.4533678680323338,0.4411402232621138,0.4665261306004629,0.14802204634870827,0.8197275723595563,0.0350943102020066,0.01990551643667194
decay_hl7,0.49633997446524253,0.48699725313044717,0.5051906476627909,0.16241984349289684,0.8173019823158818,0.09984943608037737,0.06287762286958062
decay_hl3,0.5325262077310977,0.5252625544771496,0.5395233350191675,0.17659015649519477,0.799235563682196,0.12009593372498174,0.0990638561354358
rolling_3,0.534378165300589,0.508780227965158,0.5615276105080147,0.1701416139856817,0.7803046218122753,0.08707686511473689,0.100915813704927
rolling_7,0.5378990205106592,0.5094916293552362,0.5658234916202298,0.17565122730283317,0.7513778527486898,0.07074513462320296,0.10443666891499734
decay_hl1,0.5726587383553996,0.5682803007780357,0.5770506821972278,0.19275229730394478,0.7789088365706048,0.14136683176092915,0.13919638675973767
rolling_1,0.7236156729661549,0.7065523011575124,0.7415610462834485,0.20480848492702566,0.7363157561128849,0.15501732047871153,0.2901533213704929
