day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,oracle_horizon_A,oracle_horizon_loss_A,oracle_horizon_B,oracle_horizon_loss_B,m5b_low_loss,m5b_high_loss,oracle_persistence
4,rolling_3,0.4284348284449316,3,rolling_3,0.42257474481910284,rolling_3,0.4343577547906082,0.4266870549828077,0.4266870549828077,low
5,expanding,0.4146250770659593,60,expanding,0.4145885768599279,expanding,0.4146622650282283,0.40669668923541985,0.40776402018294616,low
6,expanding,0.3779480701478779,60,expanding,0.3857109808628493,expanding,0.37043968109569253,0.3773262323075252,0.37973825238423037,low
7,expanding,0.3945376288360897,60,expanding,0.3863891428420774,expanding,0.40327136520536255,0.395599303678055,0.4036395580814884,low
8,expanding,0.40592209816606356,60,expanding,0.4069523746499264,expanding,0.4049041112625253,0.4096959866149925,0.4164704751659405,low
9,expanding,0.48801873433424575,60,expanding,0.5011166583722867,expanding,0.4745847393215622,0.48837587872415283,0.4833228969031497,high
10,rolling_3,0.49593403888811144,3,rolling_3,0.4867723473178492,rolling_3,0.5046313952130973,0.5039238494709922,0.48191813893186064,high
11,rolling_3,0.49780695046939993,3,rolling_3,0.48990576395261864,rolling_3,0.5056556374079967,0.4996732698197983,0.49814378316724955,high
12,rolling_3,0.45514968785390436,3,rolling_3,0.4634311905343602,rolling_3,0.4470537956488178,0.5080076314755698,0.4784953599552485,high
13,rolling_3,0.41948851387387703,3,rolling_3,0.40512165034274056,rolling_3,0.433817116783093,0.4447661169827458,0.43941151212291735,high
14,rolling_3,0.4110761870854429,3,rolling_3,0.4040126239113239,rolling_7,0.4147854265146234,0.40292042006906376,0.42162468781978524,low
15,rolling_7,0.37347557927083663,7,rolling_7,0.3765605737496646,rolling_7,0.3704435985768397,0.4053902341106027,0.3919863606115469,high
16,rolling_7,0.40137472749713865,7,expanding,0.4133876371076894,rolling_7,0.38747639682279567,0.4613284299538436,0.4091558671796963,high
17,expanding,0.3792528345834548,60,expanding,0.3821797317509946,expanding,0.37636855272874475,0.4882736350497835,0.4225659789188423,high
18,expanding,0.3850268517081303,60,expanding,0.39423656442231747,expanding,0.37579254697067427,0.5278562008328826,0.45611490365273455,high
19,expanding,0.4378748907627778,60,expanding,0.4459741741929058,expanding,0.42976480108391046,0.48428246238864314,0.4722551968711277,high
20,expanding,0.45897846273435144,60,expanding,0.46013254447069174,expanding,0.45782591874849266,0.46912166623923424,0.4658753431287789,high
21,rolling_3,0.44198417090747094,3,rolling_3,0.44619262591158565,rolling_3,0.43769641796249814,0.47200031264157594,0.4472202441657184,high
22,rolling_3,0.4086079554086188,3,rolling_3,0.4063758284312452,rolling_3,0.4108851758602827,0.4590399631375579,0.40760688834438313,high
23,rolling_7,0.39848831627391623,7,rolling_7,0.3973075015650704,rolling_7,0.39965660244473716,0.4231664444577244,0.38939496311302796,high
24,rolling_7,0.3712207526925243,7,expanding,0.37996735602334514,rolling_7,0.35995611388035725,0.38355501026867417,0.38214308151412507,high
25,expanding,0.36836515634948075,60,expanding,0.38218725056834135,expanding,0.3545061540018648,0.3683606111594691,0.40191222278610483,low
26,rolling_14,0.39693676204765604,14,rolling_14,0.39566176893702004,rolling_14,0.39824621443155256,0.39911997034815583,0.44049858111513396,low
27,expanding,0.43126818742265444,60,expanding,0.4446165989517352,expanding,0.41813165544165437,0.4312811476802866,0.4487161694012252,low
28,expanding,0.48862443582992987,60,expanding,0.47332554805651883,expanding,0.5030513662691051,0.4885367590619039,0.4679097209348782,high
29,rolling_3,0.4648021636723259,3,rolling_3,0.47339690315446786,rolling_3,0.4559042176412887,0.5258496670119538,0.4757293591713099,high
30,rolling_3,0.41681931140341777,3,rolling_3,0.427493638705768,rolling_3,0.40594385276562633,0.520889947205291,0.44673499282669,high
31,rolling_3,0.38910822304713155,3,rolling_3,0.40085145009214856,rolling_3,0.3772548786688057,0.4898903899257562,0.41307301494420035,high
32,rolling_7,0.37921207549850805,7,rolling_7,0.3777098472010926,rolling_7,0.3807860826224212,0.43035477790155374,0.39294633668168943,high
33,expanding,0.38059622948750327,60,expanding,0.3858329614671888,expanding,0.37482371413778676,0.37602029522337294,0.37632834328862386,low
34,expanding,0.3650673708035233,60,expanding,0.3702361403858464,expanding,0.36008138678599766,0.3697345497251957,0.3817508984290591,low
35,expanding,0.3893255019000249,60,expanding,0.40099828903001244,expanding,0.3782590933222445,0.4182314595244819,0.419475008835948,low
36,expanding,0.4208136746009174,60,expanding,0.413694295155391,expanding,0.4278763259233717,0.4256796540753406,0.43827117274849264,low
37,expanding,0.4657979278745843,60,expanding,0.4753985299946963,expanding,0.45587188161480746,0.4637955870078175,0.45725854625953277,high
38,rolling_3,0.4190602311630029,3,rolling_3,0.44731721313817724,rolling_3,0.3905382808370902,0.4544703274576812,0.4244671547418064,high
39,rolling_3,0.4046199344557232,3,rolling_3,0.4073999286271422,rolling_3,0.40188771282128816,0.4546907792660426,0.40466188293233807,high
40,rolling_7,0.386316241397553,7,rolling_7,0.3915617949050584,rolling_7,0.3813630518574135,0.42537053468523256,0.3834483703229968,high
41,rolling_7,0.38089527943474455,7,rolling_7,0.39689749209039116,rolling_7,0.36410607271406625,0.3995826556898576,0.3902827572267027,high
42,expanding,0.3549518932439749,60,expanding,0.345807975467065,expanding,0.36472642603998207,0.3737089636094253,0.37966351752237976,low
43,expanding,0.3863172028956639,60,expanding,0.37725957995938825,expanding,0.39533866765654524,0.3908479711034881,0.40675997066137004,low
44,expanding,0.43579134276228465,60,expanding,0.4396119715870008,expanding,0.43232069520395466,0.4366857075944802,0.4470474428523963,low
45,expanding,0.48453205167568936,60,expanding,0.48333228159688807,expanding,0.48573984697240924,0.482102185688137,0.47238949972292404,high
46,rolling_3,0.47520204571388347,3,rolling_3,0.44287634713331125,rolling_3,0.5080053570337252,0.5038550937433025,0.47547616865551934,high
47,rolling_3,0.41555254937061986,3,rolling_3,0.44795451666665204,rolling_3,0.3820522103018409,0.48474671359378224,0.44579494960114124,high
48,rolling_3,0.4115876165355008,3,rolling_3,0.40751529909914164,rolling_3,0.4157422030109784,0.4345113367711421,0.42160794029161475,high
49,rolling_7,0.36358856077979695,7,rolling_7,0.36170328618372694,rolling_7,0.36565564382747956,0.389477812897968,0.38298651201330436,high
50,rolling_7,0.37826308363509825,7,expanding,0.37635621973730493,rolling_7,0.375792282614541,0.43853283695807993,0.37324106953333824,high
51,expanding,0.3664470112670579,60,expanding,0.3693011386590244,expanding,0.36361184817669934,0.509352858269314,0.38783602198700495,high
52,expanding,0.38067814600082084,60,expanding,0.3816263437194436,expanding,0.37971208183797106,0.49561686323023324,0.40335816894865045,high
53,expanding,0.41227302180221415,60,expanding,0.40248902422817223,expanding,0.42263452369428467,0.46175096487695283,0.42455254419788296,high
54,expanding,0.46622860950219686,60,expanding,0.4673397362908001,expanding,0.4651423860167001,0.5323716627363119,0.4509545273685144,high
55,rolling_3,0.4428410803416962,3,rolling_3,0.4370855343769157,rolling_3,0.4480207072042378,0.5479515158911511,0.4373729287950606,high
56,rolling_3,0.4011005832926729,3,rolling_3,0.4070419715116432,rolling_3,0.3950954804547324,0.48178248804708135,0.4143125023061805,high
57,rolling_7,0.40035682201124323,7,rolling_7,0.4023877481938612,rolling_7,0.39840032767824984,0.44674178672016507,0.4036172633853898,high
58,rolling_7,0.37457953538756344,7,rolling_7,0.3648436356282322,rolling_7,0.38455193473619037,0.391714046033246,0.3786478130011331,high
59,expanding,0.3595725068739741,60,expanding,0.3709976027607912,expanding,0.3481474109871568,0.35956368526468796,0.37278159208575123,low
60,expanding,0.37743925875972006,60,expanding,0.364950527104686,expanding,0.38923192371201065,0.3774433546408245,0.4021158840091205,low
61,expanding,0.4189538590342872,60,expanding,0.4180243286747357,expanding,0.419905969078686,0.41895076095412664,0.431772901136086,low
62,expanding,0.47350406872371803,60,expanding,0.4939347451090342,expanding,0.45257710060434575,0.47343312959172484,0.4568588651764169,high
63,rolling_3,0.47296566472120183,3,rolling_3,0.47268491668481566,rolling_3,0.4732532325479457,0.49085362634182494,0.46121182038840075,high
64,rolling_3,0.41955967332900834,3,rolling_3,0.42207529785379727,rolling_3,0.41705409121749193,0.4918148993931324,0.4362176713648769,high
65,rolling_3,0.40404060984059037,3,rolling_3,0.39612433567256006,rolling_3,0.41176914628131567,0.4777784645377336,0.40871639151649986,high
66,rolling_7,0.36064582084160995,7,rolling_7,0.349693049956635,rolling_7,0.3717012968788888,0.4211973695539514,0.3790544494790961,high
67,expanding,0.39081394841736233,60,expanding,0.38183694551014236,rolling_7,0.39551398722485687,0.39032112044569595,0.38454901760443977,high
68,expanding,0.3674942940284488,60,expanding,0.37036145900184664,expanding,0.36474690618187694,0.36775017329213644,0.3954379680656843,low
69,expanding,0.3849599763865167,60,expanding,0.386654544313312,expanding,0.38331878067788827,0.3861951042320036,0.4089420667183325,low
70,expanding,0.4229075179068813,60,expanding,0.4385669602177254,expanding,0.4064779390889463,0.42437524930627446,0.43693281448352084,low
71,rolling_3,0.4683457448041413,3,rolling_3,0.47134666295388605,rolling_3,0.46533279892634144,0.4676193160706104,0.4480561013998916,high
72,rolling_3,0.4471761370995947,3,rolling_3,0.4536746109444536,rolling_3,0.4406167264604772,0.47425087280428685,0.44381368143576827,high
73,rolling_3,0.40444268760504126,3,rolling_3,0.41066151103301496,rolling_3,0.39826518526296756,0.4269556235287429,0.40712370244419305,high
74,rolling_7,0.40556375531261774,7,rolling_7,0.39828259879359496,rolling_7,0.4124666699345484,0.4449994278990278,0.4082103606458434,high
75,rolling_7,0.3757248237442842,7,rolling_7,0.37736252791933383,rolling_7,0.37410233380841884,0.3865495952458314,0.37992941391471835,high
76,expanding,0.3611392101490641,60,expanding,0.35785560912665076,expanding,0.36448914654566766,0.3683719979698579,0.37714274752870175,low
77,expanding,0.36865234617517717,60,expanding,0.3659864810210112,expanding,0.371223937119569,0.3858299776824495,0.3858698813581205,low
