method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
m5b_smooth0.1,0.42230047044435176,0.4143197696715629,0.43046591568135795,0.13627733295828628,0.8430827990730856,0.037707962312032696,0.00688310973704342
m5b_smooth0.3,0.42263986157248895,0.4146840276172443,0.43080460596476744,0.1363966438503848,0.8417152182403665,0.037513471754603074,0.007222500865180789
m1_global_mix,0.4257171972646878,0.41659643656939144,0.43571716739150795,0.1381030528751432,0.8371508532995336,0.03363653954117082,0.01029983655737958
ensemble3,0.42590774989322805,0.4167291725834901,0.4355164840240183,0.13771824839330307,0.839250320916337,0.03628978088462149,0.010490389185919817
amgtp_fixed_beta_hi,0.42727789279088135,0.4185550802351177,0.4363801947727148,0.13836544819587349,0.8369368180128876,0.038027706773604605,0.011860532083573091
amgtp_hidden8,0.4276819029246827,0.41920953695680907,0.43631321960985403,0.13849008426941617,0.8366656027180195,0.03678752446986648,0.01226454221737443
amgtp_no_state,0.4280403891429807,0.4194247266628424,0.4365561929231974,0.13845217543464078,0.8368031714970795,0.03722235540690971,0.012623028435672477
amgtp,0.4290545529438622,0.42009041557303145,0.43816377597740225,0.13874711304131596,0.836026731025615,0.03712864803790088,0.01363719223655403
amgtp_global_q,0.42950490579299205,0.4207989227941654,0.4383670709786737,0.13897309894616516,0.8349669100525545,0.03639077158216566,0.014087545085683769
learn_alpha,0.42995031115684473,0.41894301931067,0.4410981662063525,0.13897614118540122,0.836918703403221,0.0404770829134556,0.014532950449536423
fixed_share,0.43069161553519236,0.4193120080568069,0.44238451585033517,0.13923932636950678,0.8363134322739895,0.04070010229812156,0.015274254827884137
amgtp_hidden16,0.4351393517715284,0.4247735111238157,0.44609549256527614,0.1414927882091364,0.827751812580461,0.034972926201861036,0.019721991064220096
validation_selected(h=expanding),0.43604358200730936,0.42317754880379027,0.44954383990025365,0.1410989948618689,0.8302659908667086,0.03803540906870583,0.02062622130000108
expanding,0.43604358200730936,0.42317754880379027,0.44954383990025365,0.1410989948618689,0.8302659908667086,0.03803540906870583,0.02062622130000108
m2_context_gate,0.4366483758538498,0.42675612149130016,0.4467722661387629,0.14204328994037124,0.8295148805743712,0.03894238275126973,0.021231015146541563
han_arw,0.4367358445052792,0.4239905313897672,0.4501240557869634,0.14138691682915328,0.8297631150495576,0.03843986852289376,0.021318483797970907
adamoe,0.4371193860601462,0.42730860665187265,0.44699871276925307,0.14186502048546798,0.8252349340332711,0.032576571615123784,0.021702025352837932
m5b_smooth0,0.4375000550364929,0.42552304541974134,0.4491533719116947,0.14204097446413097,0.8281368706754361,0.03707337215757962,0.022082694329184756
amgtp_fixed_beta0,0.4375000550364929,0.42552304541974134,0.4491533719116947,0.14204097446413097,0.8281368706754361,0.03707337215757962,0.022082694329184756
amgtp_uniform_q,0.4379601704626223,0.4280479713025444,0.447908111665115,0.14216068395754847,0.8244332682470591,0.033013028456218625,0.022542809755314027
uniform5,0.4379601706606488,0.42804797152801877,0.4479081119357369,0.14216068405463095,0.8244332834715214,0.03301302861661249,0.02254280995334054
m5b_smooth0.001,0.4386736864773786,0.4264370705436158,0.4512572812978862,0.14233627880383412,0.826992398943213,0.037588663026509886,0.02325632577007038
m5b_smooth0.01,0.43975759835777545,0.4281732077708134,0.45145749104719624,0.14285219100839092,0.8259151623487301,0.03809144666303035,0.024340237650467157
diff_forgetting,0.4397714874585331,0.4274286456561258,0.4525432052528113,0.14216117373074372,0.8296308614827177,0.04368566425695827,0.02435412675122483
rolling_14,0.4811360046558011,0.4608598241845346,0.5024022960946787,0.15733449431441,0.782440671917066,0.045213919637271636,0.06571864394849283
rolling_3,0.48448266995102135,0.4673403737020323,0.5011316725917045,0.15448383867888263,0.8035945730677456,0.07009487495732558,0.06906530924371312
decay_hl7,0.4875320596127743,0.47858079074783055,0.49670292271088506,0.15876245942655834,0.8150139780508026,0.09725907551543386,0.0721146989054661
rolling_7,0.49830735279039784,0.4713968607729784,0.5241114540270897,0.161700648545817,0.7767239890824539,0.0635063785124371,0.0828899920830896
decay_hl3,0.5192297467628724,0.5124587175429647,0.5260699514032378,0.170903996430842,0.8048675493356678,0.12054588888551558,0.10381238605556416
decay_hl1,0.5590989632002624,0.5548733350369295,0.5636075702013447,0.18655707615307285,0.7915488832917067,0.1471642034052677,0.14368160249295417
rolling_1,0.7068818569280774,0.6928607133268639,0.7211280376543654,0.1989290915261153,0.7346668791483452,0.15049034271446254,0.2914644962207691
