method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
m1_global_mix,0.41592395364412416,0.40720463872439194,0.4248231050812998,0.13430338491022134,0.8502948402336054,0.033414108546764715,0.006886872431282917
m5b_smooth0.1,0.4169826327276437,0.4098076491270167,0.42409730629886977,0.1347149375970132,0.8493926685024429,0.03297789731862898,0.007945551514802505
m5b_smooth0.3,0.41912017692035825,0.41134925431123237,0.4269298320918715,0.13529821126897812,0.8480349885940276,0.035138134078255716,0.01008309570751717
ensemble3,0.42140725508773036,0.4130310539853795,0.429648032444426,0.13636630024910656,0.8456355892668945,0.03321735889801697,0.012370173874889192
amgtp_hidden16,0.42332799591470416,0.41250172581457245,0.43387762704878635,0.1372196215054508,0.8437636233480978,0.03486496649821076,0.014290914701862976
amgtp_global_q,0.42384023041722274,0.41593336163186,0.4315376713375472,0.13715683796834463,0.8432612790981306,0.03388577510035228,0.014803149204381492
amgtp_fixed_beta_hi,0.42456081688615294,0.4153858494715526,0.4334117769760451,0.1375652763524125,0.842639195099956,0.035543638820486445,0.015523735673311759
fixed_share,0.424659036235802,0.4146178401045266,0.434855532252522,0.137110993171877,0.8449948396088034,0.03928128862947747,0.015621955022960824
learn_alpha,0.42474422851140026,0.4146698557878277,0.4347340285024311,0.13712455516694536,0.845178144325778,0.03961818828064967,0.015707147298559106
amgtp_no_state,0.4266206045491293,0.41665080094776813,0.436150030583422,0.138256679646891,0.8404748000851142,0.034602047540596065,0.017583523336288154
amgtp_hidden8,0.4267071446953222,0.41639586616008606,0.43651946975614253,0.13842138171175258,0.8406894444704336,0.03457563043647038,0.017670063482481062
amgtp,0.4280369028637482,0.4175187059537772,0.4384515476495816,0.13896725385627284,0.8371608727599692,0.03138135026782593,0.018999821650906988
m2_context_gate,0.43152392843718396,0.42176876335926056,0.44098027246667193,0.13991983591359078,0.8383090389532263,0.03803007226654817,0.022486847224342854
adamoe,0.4327444298008352,0.42328355850437666,0.44244648712983514,0.14045038265850915,0.833284591426362,0.030747674037103805,0.023707348587994042
expanding,0.43328459096651994,0.419926887421437,0.44632212959512596,0.14004888515613917,0.8370067388037843,0.03868766154539265,0.024247509753678755
validation_selected(h=expanding),0.43328459096651994,0.419926887421437,0.44632212959512596,0.14004888515613917,0.8370067388037843,0.03868766154539265,0.024247509753678755
amgtp_uniform_q,0.4338993903818178,0.4244057465164322,0.4436578912912885,0.14087061370718146,0.832229813806379,0.030587612593024092,0.02486230916897659
uniform5,0.4338993904395796,0.42440574661836084,0.4436578913196768,0.14087061375732632,0.832229813806379,0.030587613323879697,0.02486230922673849
m5b_smooth0.001,0.4365951389243111,0.42373299219724514,0.4484293073443507,0.14173524193677417,0.8330092358713231,0.03707478337432061,0.027558057711469987
diff_forgetting,0.43788490523140206,0.42547291772529416,0.45017420460874386,0.141443076488124,0.8357870436658331,0.04526689144250213,0.028847824018560963
han_arw,0.4380796393376231,0.4251879303542714,0.4498224805673646,0.14196191193967184,0.8321188443425179,0.037479916064046326,0.02904255812478189
amgtp_fixed_beta0,0.4466739427821475,0.43236824119323003,0.4615571059689572,0.14501530608254815,0.8247322063313308,0.04271789517970887,0.037636861569306276
m5b_smooth0,0.4466739427821475,0.43236824119323003,0.4615571059689572,0.14501530608254815,0.8247322063313308,0.04271789517970887,0.037636861569306276
m5b_smooth0.01,0.4622263552962405,0.44311595010894334,0.4824917902962698,0.15063667929165625,0.8089206332985655,0.04659262972111843,0.05318927408339935
rolling_3,0.4660198880594616,0.45179588864609965,0.47936700349476685,0.14938375995789488,0.8194843446226945,0.06065149705939245,0.056982806846620444
rolling_7,0.47411125385368486,0.45054173391972213,0.4960818661899189,0.15407845463432474,0.8006687751744305,0.05431847675160023,0.06507417264084363
decay_hl7,0.48799893746022366,0.47929669857622414,0.49646406214080485,0.1589527238052672,0.820900826750445,0.10056891667254508,0.07896185624738249
rolling_14,0.50082402664181,0.47562936786597615,0.5251993667508037,0.16400432264308368,0.7720944419791768,0.057195986534915616,0.09178694542896874
decay_hl3,0.5197323269632648,0.5136119034985344,0.525877154148926,0.17119990402968294,0.8160290396240327,0.12604635818178028,0.11069524575042365
decay_hl1,0.5620238643126166,0.5577290391186749,0.5666000634267755,0.1879915853282898,0.8038692569404037,0.15281256673408758,0.1529867830997754
rolling_1,0.702255376282408,0.687738675179176,0.7170481536688131,0.1990427654196468,0.7420399977122262,0.1498457888789482,0.2932182950695669
