day,selected_window
7,expanding
8,expanding
9,expanding
10,expanding
11,expanding
12,expanding
13,expanding
14,expanding
15,rolling_14
16,rolling_7
17,rolling_7
18,rolling_7
19,rolling_7
20,rolling_7
21,rolling_7
22,rolling_14
23,expanding
24,expanding
25,expanding
26,expanding
27,expanding
28,expanding
29,expanding
30,expanding
31,expanding
32,expanding
33,expanding
34,expanding
35,expanding
36,expanding
37,rolling_3
38,rolling_3
39,rolling_3
40,rolling_7
41,rolling_7
42,rolling_7
43,expanding
44,expanding
45,expanding
46,expanding
47,expanding
48,expanding
49,expanding
50,expanding
51,rolling_7
52,expanding
53,expanding
54,expanding
55,expanding
56,expanding
57,expanding
58,expanding
59,rolling_3
60,rolling_3
61,rolling_3
62,rolling_7
63,rolling_7
64,expanding
65,expanding
66,expanding
67,expanding
68,expanding
69,expanding
70,expanding
71,expanding
72,rolling_7
73,rolling_7
74,expanding
75,expanding
76,expanding
77,expanding
78,expanding
79,expanding
80,expanding
81,rolling_3
82,rolling_3
83,rolling_7
84,rolling_7
85,expanding
86,expanding
87,expanding
88,expanding
89,expanding
90,expanding
91,rolling_3
92,rolling_3
93,rolling_7
94,rolling_7
95,expanding
96,expanding
97,expanding
98,expanding
99,expanding
100,expanding
101,rolling_3
102,rolling_3
103,rolling_3
104,rolling_7
105,rolling_7
106,expanding
107,expanding
108,expanding
109,expanding
110,expanding
111,expanding
112,expanding
113,rolling_7
114,rolling_7
115,rolling_7
116,expanding
117,expanding
118,expanding
119,expanding
