day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,oracle_horizon_A,oracle_horizon_loss_A,oracle_horizon_B,oracle_horizon_loss_B,m5b_low_loss,m5b_high_loss,oracle_persistence
4,expanding,0.436895665575355,60,expanding,0.45777627301191,rolling_3,0.41150641070885574,0.4282773896020094,0.4282773896020094,low
5,rolling_3,0.4159611345387546,3,rolling_3,0.4091331780069541,expanding,0.4195681809112676,0.40387439990326607,0.4123736390382433,low
6,expanding,0.4149547089681565,60,expanding,0.43246301650890967,expanding,0.39709269824476173,0.40399153333559484,0.4103828568113492,low
7,expanding,0.3817127285824806,60,expanding,0.38167588655841816,expanding,0.38174908263271456,0.3810738074247965,0.39518354160448377,low
8,expanding,0.3801253707840256,60,expanding,0.40971489890696566,expanding,0.3514295513240239,0.37958818819023304,0.3941012665095777,low
9,expanding,0.3873994553527263,60,expanding,0.3878804361785464,expanding,0.38690941163113035,0.39180125035499064,0.4050072470646346,low
10,expanding,0.43140795947574484,60,expanding,0.4281192266926772,expanding,0.4345803912959535,0.4322989403424164,0.44165170595278597,low
11,expanding,0.48667569827533075,60,expanding,0.5191997347573934,expanding,0.4558823373231376,0.4841790024312115,0.4830122988475467,high
12,rolling_3,0.5544000792525293,3,rolling_3,0.5397376307276256,rolling_3,0.5687721822620885,0.5400584104887572,0.5244027586527354,high
13,rolling_3,0.5327760513670411,3,rolling_3,0.5473507996426474,rolling_3,0.5183943461149526,0.5489425236919777,0.536807334891078,high
14,rolling_3,0.4904252395492204,3,rolling_3,0.4893123041150757,rolling_3,0.4915713070260596,0.4897402180853061,0.5067998942735071,low
15,rolling_3,0.4614758905506152,3,rolling_3,0.455696202586169,rolling_3,0.4672864859373311,0.45556927834748495,0.48162689387062196,low
16,rolling_3,0.46278091243288144,3,rolling_3,0.44722800633881915,rolling_7,0.478021104899375,0.45810234661334825,0.4690726516617074,low
17,rolling_7,0.4028176196427168,7,rolling_7,0.4028212795964156,rolling_7,0.40281405600358905,0.4093220718874402,0.4242842584028532,low
18,rolling_7,0.38043285205099575,7,rolling_7,0.3940488058252435,rolling_7,0.3660132112317342,0.4087513441172995,0.4099885389648088,low
19,rolling_7,0.40405736031359707,7,rolling_7,0.39368391276427134,rolling_7,0.41399745235172375,0.4054747896548315,0.4156103915585479,low
20,rolling_14,0.4136159117829241,14,rolling_14,0.4006516912988885,rolling_14,0.426562858155722,0.44614148468472303,0.43112147057607064,high
21,expanding,0.4033498620799543,60,expanding,0.40909816161317325,expanding,0.39757852327004917,0.5099952749478279,0.45082028474857083,high
22,expanding,0.4114010102167325,60,expanding,0.4050334116615374,expanding,0.4176926533219648,0.5666766204458962,0.46661163642483705,high
23,expanding,0.4219353334246848,60,expanding,0.4136227248234516,expanding,0.430715134558681,0.5709696026695792,0.4594952870175214,high
24,expanding,0.4383392195670697,60,expanding,0.44072074232609754,expanding,0.4358965908898495,0.4768331549149434,0.44564269790646943,high
25,rolling_3,0.43867551090731177,3,rolling_3,0.46895305095731055,rolling_3,0.4085188392806664,0.45863840056110755,0.4420107159246579,high
26,rolling_3,0.43091038851414487,3,rolling_3,0.42339102761481706,rolling_3,0.4386950185903824,0.4777580732976009,0.4452953913040591,high
27,rolling_7,0.41878725559795715,7,rolling_7,0.4221707535384998,rolling_3,0.4095098801548442,0.456476516054519,0.41937882549376326,high
28,rolling_7,0.3827423203613231,7,rolling_7,0.3856453149954418,rolling_7,0.379986456059538,0.4290322684547516,0.38733963164563345,high
29,rolling_7,0.3890418169491083,7,rolling_7,0.40065462134978197,rolling_7,0.37716277158442707,0.4239879599592992,0.4044407032924224,high
30,expanding,0.3938610037951799,60,rolling_7,0.3841626858552564,expanding,0.39672875449094924,0.3938445799231224,0.3998893539768885,low
31,expanding,0.38483240792456197,60,expanding,0.3743956287899771,expanding,0.3950216745105005,0.3848142175762599,0.40921310124422505,low
32,expanding,0.4313898196606281,60,expanding,0.4381550335259221,expanding,0.42482018359433077,0.43141251752733584,0.4519186678686341,low
33,expanding,0.4675243681298972,60,expanding,0.4586731850275307,expanding,0.47681085531926554,0.4675205794428154,0.4751640558705111,low
34,expanding,0.49069814125288386,60,expanding,0.4952822175068689,expanding,0.48613236470450355,0.4905734962251064,0.4855496492233054,high
35,rolling_3,0.4995092127523435,3,rolling_3,0.5071359711994402,rolling_3,0.49209305513021595,0.5245416893187868,0.49317584576787565,high
36,rolling_3,0.44462335933958524,3,rolling_3,0.4449642570283859,rolling_3,0.4442851779670299,0.5362717073738356,0.47528905809090044,high
37,rolling_3,0.430953084434814,3,rolling_3,0.429850096835108,rolling_3,0.43200436949078375,0.5118618236056298,0.44745849128734405,high
38,rolling_7,0.40843117489517755,7,rolling_7,0.39335227731655814,rolling_7,0.42263169009057655,0.4328354005161811,0.41578575857815486,high
39,rolling_7,0.3911948006256484,7,rolling_7,0.37990846813931883,rolling_7,0.4025263689135264,0.42616419084975254,0.41294413430492893,high
