method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
m5b_smooth0.001,0.44627589565991005,0.44314148282664195,0.4494779812840943,0.14489912094246515,0.8224648812014295,0.029487580614776337,-0.028669556321405474
m5b_smooth0,0.4463086900981682,0.4431560925109425,0.4495384672592756,0.1449051629697758,0.8224164343791703,0.029214551730609932,-0.028636761883147288
amgtp_fixed_beta0,0.4463086900981682,0.4431560925109425,0.4495384672592756,0.1449051629697758,0.8224164343791703,0.029214551730609932,-0.028636761883147288
m5b_smooth0.01,0.44666630744960784,0.4435196805294259,0.4497779720142999,0.14504389893933492,0.822020210321539,0.029403352247518347,-0.028279144531707857
ensemble3,0.44731839174517957,0.44418618105871993,0.45052383372212174,0.1452799843618522,0.821254453126909,0.028915938556233343,-0.02762706023613604
amgtp,0.44867439648403007,0.4455562911407213,0.4518435227400163,0.14582389946543298,0.8198107378190556,0.028736428187644977,-0.026271055497285603
amgtp_no_state,0.4499530158039056,0.44682048857929557,0.4531232958522094,0.14631336280064564,0.818377259152662,0.02831286657193885,-0.02499243617740986
m5b_smooth0.1,0.45348804434661316,0.44996485086686994,0.45708100347096375,0.1476621785942166,0.8143195563370442,0.027308787504885818,-0.02145740763470242
m5b_smooth0.3,0.4664403311728987,0.46278676028851395,0.47004437429342105,0.15287964527132145,0.7985340001102031,0.021837395442166504,-0.008505120808416967
amgtp_fixed_beta_hi,0.4676890195864668,0.4643146898578613,0.47104311324048037,0.1532613735453545,0.7976268203146311,0.021212198377252342,-0.00725643239484879
amgtp_global_q,0.47077045054173267,0.46741139526611913,0.4742289452974294,0.1545799460593639,0.7936599877598702,0.021305440933988905,-0.004175001439582907
m2_context_gate,0.47439581132785896,0.47026891531859305,0.4783387921561669,0.15442810513722027,0.7917724400731047,0.022884218326535713,-0.0005496406534565862
han_arw,0.4749454519813156,0.4715769844520096,0.47821965467322164,0.1562236798840724,0.7884585104646055,0.022105003795783094,0.0
rolling_14,0.4749454519813156,0.4715769844520096,0.47821965467322164,0.1562236798840724,0.7884585104646055,0.022105003795783094,0.0
validation_selected(h=rolling_14),0.4749454519813156,0.4715769844520096,0.47821965467322164,0.1562236798840724,0.7884585104646055,0.022105003795783094,0.0
diff_forgetting,0.4768451449256517,0.4734158846853345,0.4803297212786529,0.15589165543134975,0.7936694824777069,0.039347421374790775,0.0018996929443361368
m1_global_mix,0.48728981619163486,0.48290990941632284,0.49162717399835876,0.15960346945450662,0.7767018311658842,0.02505513805890347,0.012344364210319328
adamoe,0.4878107735455826,0.48391419490177146,0.49148736078972827,0.1612285293765408,0.7732747019353187,0.025724329406621966,0.012865321564267108
uniform5,0.4899763092871541,0.48606614642760526,0.4936831742258479,0.16208345988109446,0.7708544115627434,0.026648183688310782,0.015030857305838419
amgtp_uniform_q,0.4899763092938042,0.4860661464183702,0.49368317435522613,0.16208345992487985,0.7708544115627434,0.026648184515752342,0.01503085731248855
rolling_7,0.49749871221324227,0.4934885102809276,0.5013065491850756,0.16421845733328377,0.7671974636917461,0.03665949205423992,0.022553260231926702
expanding,0.5024248936916104,0.49683666139191196,0.508254003398544,0.16309703770976758,0.7653729720107126,0.035172926932023736,0.027479441710294893
decay_hl7,0.5036778237132093,0.5010356510158408,0.5061341651168062,0.16551810884056634,0.7933310493916639,0.08703908621222145,0.02873237173189378
decay_hl3,0.5357053804652524,0.5330603616505021,0.5381240759535083,0.17791286480689592,0.7714976234645691,0.09797171679649272,0.06075992848393676
rolling_3,0.5715514234215077,0.5651558320066573,0.5772370965784148,0.18554036222247156,0.7246113580196376,0.09403512119666504,0.09660597144019203
decay_hl1,0.5731948277902493,0.5709333841158103,0.5752362937165254,0.1928327059443987,0.7205713543511021,0.1135950937711214,0.09824937580893373
rolling_1,0.9303524195542349,0.9183071736272983,0.9421067084560384,0.24815394892625697,0.6442237075417472,0.20758201845741547,0.45540696757291926
