day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,oracle_horizon_A,oracle_horizon_loss_A,oracle_horizon_B,oracle_horizon_loss_B,m5b_low_loss,m5b_high_loss,oracle_persistence
4,expanding,0.3524036539888717,60,expanding,0.3734586362002566,expanding,0.3314606663637175,0.3650430388332808,0.3650430388332808,low
5,expanding,0.35172961566437594,60,expanding,0.37491783801895145,expanding,0.32881799238361226,0.35220630332901115,0.36089871323561845,low
6,expanding,0.34627170828113224,60,expanding,0.3523952326814863,expanding,0.3406192242192669,0.3462289853182645,0.34949966976950386,low
7,expanding,0.32122604193438214,60,expanding,0.3082664971845566,expanding,0.33386138477473215,0.32179436338322204,0.32681199591118715,low
8,expanding,0.3417355005496203,60,expanding,0.3413946731644178,expanding,0.34207091797632744,0.3423872127025696,0.3438078335623626,low
9,expanding,0.3397296806728508,60,expanding,0.3531029124143365,expanding,0.3259399501770603,0.341548731084027,0.3420105670113212,low
10,expanding,0.3358979621151961,60,expanding,0.3445516686114429,expanding,0.3273246483800293,0.3378947688505175,0.3399290789748748,low
11,expanding,0.3192809855388939,60,expanding,0.31796870141821443,expanding,0.3204682902195086,0.3198659592964746,0.321466137759273,low
12,expanding,0.34271504634414535,60,expanding,0.3469076990263451,expanding,0.3386490266385583,0.34316569032532673,0.3449496120737452,low
13,expanding,0.3258526991986363,60,expanding,0.329342646648837,expanding,0.3221715217511643,0.32739555274740345,0.3280880077064156,low
14,expanding,0.3212081355380752,60,expanding,0.32934616796363053,expanding,0.3132312522694615,0.32430145375437086,0.32770100571659383,low
15,expanding,0.3407340596339305,60,expanding,0.34075085944271494,expanding,0.340717326890251,0.3427930128088617,0.34621899442620285,low
16,expanding,0.3155977479187287,60,rolling_14,0.33665036358876776,expanding,0.2932785139803085,0.3164058538240397,0.3195251283627815,low
17,expanding,0.3384935687297217,60,expanding,0.36070169269280394,expanding,0.31619643424975336,0.34066282248720364,0.34423918505301665,low
18,expanding,0.32829635164828075,60,expanding,0.3323020795762183,expanding,0.3244477110900662,0.33076421769127423,0.33400140911123316,low
19,expanding,0.32458683478976724,60,rolling_14,0.3303345352400239,expanding,0.3191602535107584,0.32593055858137027,0.32865138934571125,low
20,expanding,0.32419410132459164,60,expanding,0.3311473805230476,expanding,0.3172408221261357,0.32498450407753876,0.32716460303829437,low
21,expanding,0.30764765930358956,60,expanding,0.3114394459837678,expanding,0.3039011026832146,0.30827447339413727,0.3106053260205069,low
22,expanding,0.3187572153560156,60,expanding,0.31404557331565713,expanding,0.3236026565618203,0.3209948974897202,0.3235669205913292,low
23,expanding,0.32225406646720245,60,expanding,0.32313379548899185,expanding,0.3213778493377157,0.3232285772633966,0.32624164772628667,low
24,expanding,0.3057845182951058,60,expanding,0.3106694701573127,expanding,0.30105342318446454,0.3072651441561166,0.31101606708563,low
25,expanding,0.3281005346622986,60,expanding,0.3358147176636456,expanding,0.32036575304145537,0.32924058362770786,0.3319694443543134,low
26,expanding,0.3281089822896431,60,expanding,0.3256378891490412,expanding,0.33068436935449086,0.329109437432949,0.3316461011156821,low
27,expanding,0.33514313409985563,60,expanding,0.33381385208742365,expanding,0.33645480972801695,0.33699783886815254,0.3400782761741913,low
28,expanding,0.30840421342782154,60,expanding,0.32191341505022125,expanding,0.29460370826639437,0.3105641113929985,0.3148622825681811,low
29,expanding,0.31707089994901966,60,expanding,0.307698997709844,expanding,0.32643031464357286,0.31784303814581133,0.3214738516977231,low
30,expanding,0.3278492639737743,60,expanding,0.3353095814246022,expanding,0.32040881421256234,0.32937521188774666,0.3329987065886006,low
31,expanding,0.3208438165192542,60,expanding,0.3221787076479948,expanding,0.3194673512592191,0.3216272409385809,0.3236533754152791,low
32,expanding,0.3178849406117678,60,expanding,0.32406544228378814,expanding,0.3118187414805774,0.31978935700807837,0.3242769032822377,low
33,expanding,0.3189399931472901,60,expanding,0.3279621106048615,expanding,0.31010831616375717,0.32047658917723554,0.32271881709285216,low
34,expanding,0.3139649318352649,60,expanding,0.32582813479401357,expanding,0.3023676147701205,0.314196887522119,0.3150798031241892,low
35,expanding,0.3202370965712145,60,expanding,0.31990532356571605,expanding,0.3205571369360471,0.3209981339245304,0.32209602457712283,low
36,expanding,0.31801531406023137,60,expanding,0.3129794700255802,expanding,0.3230444481094933,0.31924941476094737,0.32178199880192604,low
37,expanding,0.3078199166304031,60,expanding,0.3087268200070343,expanding,0.3069380559505625,0.30948677611942965,0.31198339558370547,low
38,expanding,0.32669521765687143,60,expanding,0.31116778869482664,expanding,0.34181403006728345,0.3278922432421592,0.331461744340493,low
39,expanding,0.33707351989581186,60,expanding,0.35069523655401447,expanding,0.3230649796408245,0.3386130577896645,0.34244237186105664,low
40,expanding,0.6205344171120862,60,expanding,0.929701595082104,expanding,0.31708499408471075,0.615074500107031,0.6169147955038959,low
41,rolling_14,0.584263644279392,14,rolling_3,0.8278669791751424,expanding,0.2924370073778792,0.545201493655587,0.569453169875961,low
42,rolling_7,0.5473892190248255,7,rolling_3,0.6382470168742574,expanding,0.3411246155491629,0.5168489899157288,0.537659026355913,low
43,rolling_7,0.5389712070702878,7,rolling_3,0.579669747542795,expanding,0.3293310418952505,0.5150771274131076,0.5276106438101306,low
44,rolling_7,0.5284867339388585,7,rolling_3,0.557375637947964,expanding,0.3312721612664279,0.5101700761982318,0.5281384388511945,low
45,rolling_7,0.5113582441778705,7,rolling_3,0.5791417189513307,expanding,0.3057949325711397,0.4906767533719675,0.5101670574906072,low
46,rolling_7,0.5042417478755584,7,rolling_7,0.5357610019995721,expanding,0.3234690905026207,0.4839378152218219,0.5018756258050625,low
47,rolling_7,0.49548014540741575,7,rolling_7,0.49109946976393354,expanding,0.3441796558631689,0.47566288499107834,0.4962178868548678,low
48,rolling_14,0.49733511313310436,14,rolling_7,0.49170155330951143,expanding,0.3311091760852406,0.46215701199946413,0.48348103993810493,low
49,rolling_7,0.4812079550116675,7,rolling_7,0.48194576692083446,expanding,0.3389697481078758,0.4521179802053472,0.4734253361093288,low
50,rolling_14,0.48999389433000784,14,rolling_7,0.47029524000625333,expanding,0.35373559699038465,0.4582317217178115,0.48327187836406005,low
51,rolling_14,0.5044823916582457,14,rolling_7,0.5665660752143901,expanding,0.31670084178791524,0.4790481335517329,0.5014951136127103,low
52,rolling_14,0.4447896155004299,14,rolling_7,0.46851594672126257,expanding,0.3028385954868323,0.41340556956537616,0.43375075472033414,low
