method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
m5b_smooth0.01,0.48481979733260944,0.4809261895201762,0.4894651621025907,0.15997838453128627,0.7899470756577999,0.023768421503680623,-0.0005588048444743587
m5b_smooth0.001,0.4848555003006453,0.4808358608041839,0.48963646198655303,0.16001695550689346,0.7897087900689116,0.024340266196221608,-0.0005231018764385254
amgtp,0.4852044634808653,0.481518972219983,0.48929428455297014,0.16009349986372562,0.7894043022872491,0.02406631823430246,-0.00017413869621854617
amgtp_no_state,0.4852974421085607,0.48161487825173394,0.48955574035444643,0.1601316276747594,0.7893446880154614,0.024051183205832143,-8.116006852311175e-05
m5b_smooth0,0.4856464752126936,0.4815672383174344,0.4902839690243865,0.16030645024747886,0.7890974054928309,0.02426260625575797,0.00026787303560987005
amgtp_fixed_beta0,0.4856464752126936,0.4815672383174344,0.4902839690243865,0.16030645024747886,0.7890974054928309,0.02426260625575797,0.00026787303560987005
amgtp_global_q,0.4859735474468722,0.48221721673620016,0.4902634693796489,0.16038603189222694,0.7886573922764556,0.023485495909457373,0.0005949452697884368
ensemble3,0.48629239966605986,0.48206736445890297,0.4909859430805941,0.16045720123234836,0.7879591657365593,0.02340241607182621,0.0009137974889761028
han_arw,0.4875504400174698,0.48222433078632687,0.4939652176898554,0.1611155325684957,0.7861474229607252,0.024255748697441643,0.002171837840385966
validation_selected(h=rolling_14),0.4875504400174698,0.48222433078632687,0.4939652176898554,0.1611155325684957,0.7861474229607252,0.024255748697441643,0.002171837840385966
rolling_14,0.4875504400174698,0.48222433078632687,0.4939652176898554,0.1611155325684957,0.7861474229607252,0.024255748697441643,0.002171837840385966
amgtp_fixed_beta_hi,0.48880257563454493,0.4846220195178256,0.49357211533595563,0.16137774651051348,0.7849603259058172,0.02257570079441308,0.0034239734574611855
m5b_smooth0.1,0.4910447999256891,0.48704221628395167,0.4954254293399714,0.16229601287051854,0.7820925121140185,0.02325366774972723,0.005666197748605365
rolling_7,0.5030859989415642,0.49944138759237705,0.5067391502536444,0.16656502213179566,0.7731215236578467,0.03690233096268637,0.017707396764480483
adamoe,0.5067338682834746,0.5034558269928329,0.5101051376278007,0.16827219279779143,0.7625445970479771,0.021700875716419835,0.021355266106390745
amgtp_uniform_q,0.5083828157558415,0.5051439776842217,0.5117237988283485,0.16894664613468052,0.7604283862131552,0.022274734155221403,0.02300421357875774
uniform5,0.5083828160732697,0.5051439779148555,0.511723799166031,0.16894664622905772,0.7604283862131552,0.02227473295242861,0.02300421389618599
diff_forgetting,0.5114502107848939,0.5070376726176018,0.5161817465771424,0.16879890294415228,0.782648449691162,0.07133603320352686,0.026071608607810215
m5b_smooth0.3,0.5114870676309887,0.5029658202020992,0.5204594578746856,0.1698015713177656,0.7558342015994384,0.024981545408053907,0.026108465453905
decay_hl7,0.5196392952769588,0.5168396485737821,0.5227007807579631,0.17183613531560687,0.7873605159076268,0.08904171814258165,0.03426069309987492
m2_context_gate,0.5283384302837206,0.5243755903691358,0.5323343917692749,0.1758787063237322,0.7382385658897948,0.03133864099412124,0.042959828106636774
m1_global_mix,0.5294760327839142,0.5256876722298411,0.5332064213049338,0.17636895412230977,0.7369482034125578,0.034246380051276414,0.04409743060683039
decay_hl3,0.5465034330505478,0.5443102519999539,0.5486762465307281,0.18251359415737603,0.7759209472458456,0.10671871353410116,0.06112483087346404
rolling_3,0.5768748875352206,0.5722211467237461,0.5813705887229472,0.18814314002480478,0.7318917565349742,0.09253375519866093,0.09149628535813693
decay_hl1,0.5846094238827297,0.5827251880328903,0.5864754046732086,0.1981321661873174,0.7285870989769171,0.11721625340566436,0.09923082170564604
expanding,0.6102226171621834,0.6000628867954847,0.6211802540807849,0.2070442504506262,0.6353730680170012,0.08302921387690693,0.12484401498509963
rolling_1,0.9393343939284605,0.9296134428687265,0.9483134582087598,0.2525817691547031,0.6499987857128573,0.21070995666247763,0.45395579175137674
