day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,oracle_horizon_A,oracle_horizon_loss_A,oracle_horizon_B,oracle_horizon_loss_B,m5b_low_loss,m5b_high_loss,oracle_persistence
4,rolling_3,0.5470709458725591,3,rolling_3,0.5469358514746588,rolling_3,0.5472053216832365,0.5278508448298035,0.5278508448298035,low
5,rolling_3,0.5509524095774679,3,rolling_3,0.5382497755986055,rolling_3,0.5640856413183256,0.535602993011148,0.5562798386570249,low
6,rolling_3,0.4503100271824833,3,rolling_3,0.4547747725284067,rolling_3,0.44579740252990113,0.44589735077382653,0.4650171141417808,low
7,rolling_3,0.44466685235870324,3,rolling_3,0.43935147935879515,rolling_3,0.4500106498131564,0.4347662522608768,0.45514033556124045,low
8,rolling_7,0.42092615810482403,7,rolling_7,0.40260088836741087,rolling_3,0.43790030713371814,0.4113619556812501,0.4213382985511856,low
9,rolling_7,0.3877176644952885,7,rolling_7,0.3865137727638978,rolling_7,0.38891196346387924,0.3898605865985709,0.39665825739813265,low
10,rolling_7,0.36354428537438555,7,rolling_7,0.34564860772773254,rolling_7,0.3819481567067448,0.368356411358766,0.38258712132174877,low
11,rolling_7,0.3734560356008211,7,rolling_7,0.35853526161195365,rolling_7,0.3893420902193881,0.37470854102243734,0.39645051950458937,low
12,rolling_7,0.37632507014653555,7,rolling_7,0.37709534806852485,rolling_7,0.37556499458112885,0.376177195648897,0.39522713515010327,low
13,rolling_7,0.36503647650528714,7,rolling_7,0.38003030339248334,rolling_7,0.3496168614306249,0.36543400525828784,0.3858752164493868,low
14,rolling_7,0.3611272297636873,7,rolling_7,0.3506888716008383,rolling_7,0.3713316365899924,0.36123194511311296,0.37075527803093383,low
15,rolling_7,0.3663445506608706,7,rolling_7,0.34243829600876946,rolling_7,0.38962169334844277,0.3660934349204522,0.37040775426975425,low
16,rolling_14,0.3650345691453881,14,rolling_7,0.36411873749391765,rolling_14,0.3628522166952338,0.3666883898653723,0.36899122676692986,low
17,rolling_14,0.3602864912825161,14,rolling_14,0.35215418977590035,rolling_14,0.36859415239035276,0.36925346711504065,0.37276366572226455,low
18,rolling_14,0.33957405197803786,14,rolling_14,0.3349247290729957,rolling_14,0.34420481471180236,0.3476534255598761,0.35335621401319045,low
19,rolling_14,0.34360356441203005,14,rolling_14,0.32912560919342726,rolling_14,0.359329966394963,0.34570902828753514,0.3577056082512731,low
20,expanding,0.770597027880669,60,expanding,0.7800311073400585,expanding,0.7612879031161061,0.928059047511495,0.9004040246232472,high
21,rolling_1,0.6116125196383438,1,rolling_1,0.6099440301153692,rolling_1,0.6132611067018,0.7881480489063658,0.650655104706025,high
22,rolling_3,0.5226341710814324,3,rolling_3,0.5282241440025037,rolling_3,0.5169236596607155,0.6482152970383277,0.5739085023662912,high
23,rolling_3,0.3963256615671,3,rolling_3,0.4294022966182102,rolling_3,0.36082599727243897,0.501397654128595,0.45878307809144403,high
24,rolling_3,0.3859968551164382,3,rolling_3,0.39504938149947305,rolling_3,0.37635868697152774,0.4299964467764372,0.4434858931599956,low
25,rolling_3,0.3965560222505604,3,rolling_3,0.41962917590875987,rolling_3,0.3739095847762641,0.39402923134983664,0.4239307406435078,low
26,rolling_7,0.37265455234228284,7,rolling_7,0.3667856779936703,rolling_7,0.37844569325581434,0.3929731857361808,0.4097561495497565,low
27,rolling_7,0.33721938083941183,7,rolling_7,0.35356001880646354,rolling_7,0.3202796970813074,0.3889914448959771,0.3985593878643342,low
28,rolling_7,0.3432926644535403,7,rolling_7,0.3568696773174993,rolling_7,0.33026547183619487,0.380111507201386,0.3838296748969355,low
29,rolling_7,0.35014912857245767,7,rolling_7,0.35900724972430986,rolling_7,0.34144322893412055,0.3969031210652271,0.3990626971551963,low
30,rolling_7,0.3337885296423146,7,rolling_7,0.3482128797194083,rolling_7,0.3194409048315884,0.381234434698213,0.38158175250820553,low
31,rolling_7,0.3266490168700012,7,rolling_7,0.32391060277637257,rolling_7,0.32925558799490606,0.36891872411612225,0.35991938391724726,high
32,rolling_7,0.33364464814651734,7,rolling_7,0.3340607316603852,rolling_7,0.3332416696252123,0.3889225865515462,0.37418167224190974,high
33,rolling_14,0.35065844986508987,14,rolling_14,0.3592846144751102,rolling_14,0.34214653909096376,0.4107800104549306,0.3965411084859555,high
34,rolling_14,0.32855473421151343,14,rolling_14,0.32474418736289706,rolling_14,0.33219636503294214,0.3953713896231172,0.3805946694446148,high
35,rolling_14,0.30853227939543665,14,rolling_14,0.3132805505831273,rolling_14,0.30389661542958835,0.3759216753615458,0.3532153639960752,high
36,rolling_14,0.3225795584492286,14,rolling_14,0.32499966319517853,rolling_14,0.3200234368498394,0.3926976982629741,0.3698105163008868,high
37,rolling_14,0.33055129062840094,14,rolling_14,0.3262720251699269,rolling_14,0.33481347319083327,0.3913937725315457,0.36995538908755143,high
38,rolling_14,0.32709717541425176,14,rolling_14,0.3394380395048168,rolling_14,0.3148546449020976,0.4124714212178865,0.3774971417389647,high
39,rolling_14,0.3303804842212486,14,rolling_14,0.3226399203361563,rolling_14,0.33795765889504603,0.38865830421831826,0.36648742308899673,high
40,rolling_14,0.34926308097311837,14,rolling_14,0.3601318597178676,rolling_14,0.3388899468616802,0.37072136874428974,0.37845086135819006,low
41,expanding,0.40202486035122276,60,expanding,0.40267635346787567,expanding,0.40135754149084546,0.43217443055476945,0.4250927751646826,high
42,expanding,0.3929362920705131,60,expanding,0.3981886515907064,expanding,0.387410896077314,0.5051309058743696,0.4661924551539412,high
43,expanding,0.42186900319542936,60,expanding,0.4243839555713639,expanding,0.41937409028065775,0.5685790502191475,0.4959129894367649,high
44,expanding,0.4635728574948847,60,expanding,0.4599589208212178,expanding,0.46742573213044686,0.6187607165196439,0.5095005708178566,high
45,rolling_3,0.5326163677537634,3,rolling_3,0.5272714181270589,expanding,0.5301437641888562,0.6323767006320574,0.5201457721707964,high
46,rolling_3,0.4296001739770469,3,rolling_3,0.4073470915783544,rolling_3,0.45095208648108304,0.5225313056214018,0.4572502700690005,high
47,rolling_3,0.4232378184168255,3,rolling_3,0.42407873296974535,rolling_3,0.4223718698718025,0.4521866139230315,0.42270409298043343,high
48,rolling_3,0.4311606144978333,3,rolling_7,0.42868178771235144,rolling_3,0.4327165096108743,0.46731203233545954,0.4230204383260076,high
49,rolling_7,0.3863311615215396,7,rolling_7,0.3532199672304512,rolling_7,0.41896026032989864,0.41607729292775397,0.404426867812575,high
50,rolling_7,0.37055332923181383,7,rolling_7,0.3845506377939341,rolling_7,0.3559262849061625,0.3978707867215799,0.4038002989809484,low
51,rolling_7,0.3621163338037709,7,rolling_7,0.34621441607773334,rolling_7,0.37711192461278054,0.39316156215206444,0.3961752416330686,low
