method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
m5b_smooth0.01,0.36854469738652496,0.35264690515631913,0.38624777822031725,0.11691097876807907,0.8828898635618075,0.03766243843641437,0.0061133991700660405
amgtp_no_state,0.37399546221398083,0.3588750010109881,0.3910400811902291,0.11884210413396708,0.8784255983644392,0.037147300732137144,0.0115641639975219
han_arw,0.37659759296607515,0.3543194774771155,0.4019367769977127,0.11965940720081973,0.8762334070606842,0.042592465849674584,0.014166294749616197
amgtp_fixed_beta_hi,0.37679675645777005,0.3606430590608855,0.39540605707634163,0.1195246754563416,0.8763910170837541,0.041871970489674684,0.014365458241311033
amgtp_fixed_beta0,0.37712897637329607,0.3618100808900303,0.3946359871764331,0.1198741884259131,0.8770020860275085,0.03831865645022578,0.014697678156837167
m5b_smooth0,0.37712897637329607,0.3618100808900303,0.3946359871764331,0.1198741884259131,0.8770020860275085,0.03831865645022578,0.014697678156837167
rolling_7,0.3779411982445074,0.35850440564608604,0.39947098975966716,0.12056337396388458,0.8748411601481746,0.03537295823462804,0.01550990002804839
validation_selected(h=rolling_7),0.3779411982445074,0.35850440564608604,0.39947098975966716,0.12056337396388458,0.8748411601481746,0.03537295823462804,0.01550990002804839
amgtp,0.3783244118021208,0.36295379681302753,0.39603433011749495,0.1203745616097742,0.8759580221706025,0.039082009405923324,0.015893113585661867
ensemble3,0.3783940162883635,0.36340679707922363,0.39514904942700807,0.12030419281913421,0.8753206953493403,0.036918304286649335,0.015962718071904542
m5b_smooth0.001,0.3786350205692317,0.3630871636629944,0.39621947621915166,0.12043296369005058,0.8760810993161541,0.038286480863630845,0.01620372235277273
amgtp_global_q,0.37892217342827655,0.36267265737227544,0.3975260188097313,0.12058530258118827,0.8753043164405557,0.03888897542656057,0.016490875211817604
m5b_smooth0.1,0.3798728787802673,0.36241221180657124,0.40006674026761607,0.12097675020744562,0.8736281139413006,0.03797354070341326,0.017441580563808384
m5b_smooth0.3,0.3860262996830692,0.3720356885405796,0.4018910728901037,0.12257426494664518,0.8709030261325046,0.0406330347080252,0.023595001466610192
adamoe,0.3958497571738509,0.38312311138352045,0.4107152254590385,0.1255964095132537,0.8665821524454628,0.04997028481673306,0.03341845895739194
m1_global_mix,0.39808474573563235,0.3874252657510626,0.40973564533571927,0.12693348645428554,0.8626717798493351,0.03877009518491175,0.035653447519173334
m2_context_gate,0.39808970603177374,0.3870180752144931,0.40998423541412216,0.12716493302900095,0.8625702455344806,0.038529497200384975,0.03565840781531478
amgtp_uniform_q,0.3994575783940689,0.38680997398429956,0.4143212967206344,0.12688690576498243,0.863865303105348,0.05037151631774883,0.03702628017760997
uniform5,0.3994575796541632,0.3868099758912063,0.4143212970766748,0.12688690629618127,0.863865303105348,0.05037151734994704,0.03702628143770423
rolling_14,0.4031361526846947,0.37209331878663643,0.4394878710011915,0.1287307933745195,0.8523608255447994,0.05461577728043512,0.04070485446823571
rolling_3,0.4130218535100006,0.4010475524023836,0.42551217342657915,0.13215495821457332,0.8561113815056454,0.04022563590317347,0.05059055529354165
diff_forgetting,0.4522327581915995,0.4361444054608007,0.4689105210764515,0.1452374445716308,0.8502025591149804,0.10566913486517196,0.08980145997514054
decay_hl7,0.46892057739305365,0.4580773799612964,0.48105253185095087,0.15045513315556774,0.8441913372285872,0.12064005657183503,0.10648927917659463
decay_hl3,0.5004777921379164,0.4972010131162676,0.5040191383570712,0.16272906258711606,0.8671440126127339,0.16071527436839475,0.13804649392145749
expanding,0.5473430824931858,0.506438781169111,0.5891044521012293,0.1807455844404274,0.7004224089251835,0.10919043454629213,0.18491178427672675
decay_hl1,0.5585112660794628,0.5539620713994239,0.5631350012783569,0.1863629050649787,0.8362476969859836,0.17056986188578396,0.1960799678630038
rolling_1,0.6477423980736996,0.6358255773402743,0.6589583751629107,0.18666350910278887,0.7652543670261321,0.13391887916409817,0.2853110998572405
