day,selected_window
7,rolling_3
8,rolling_3
9,rolling_3
10,rolling_3
11,rolling_3
12,rolling_7
13,rolling_7
14,rolling_7
15,rolling_7
16,rolling_7
17,rolling_7
18,rolling_7
19,rolling_7
20,rolling_7
21,rolling_7
22,rolling_3
23,rolling_3
24,rolling_3
25,rolling_3
26,rolling_3
27,rolling_3
28,rolling_3
29,rolling_7
30,rolling_7
31,rolling_7
32,rolling_7
33,rolling_7
34,rolling_7
35,expanding
36,expanding
37,rolling_3
38,rolling_3
39,rolling_3
40,rolling_3
41,rolling_3
42,rolling_3
43,rolling_3
44,rolling_7
45,rolling_7
46,rolling_7
47,rolling_7
48,rolling_7
49,rolling_7
50,rolling_7
51,rolling_7
52,expanding
53,rolling_7
54,rolling_3
55,rolling_3
56,rolling_3
57,rolling_3
58,rolling_3
59,rolling_3
60,rolling_3
61,rolling_7
62,rolling_7
63,rolling_7
64,rolling_7
65,rolling_7
66,rolling_7
67,rolling_7
68,rolling_7
69,expanding
70,expanding
71,expanding
72,rolling_3
73,rolling_3
74,rolling_3
75,rolling_3
76,rolling_3
77,rolling_3
78,rolling_7
79,rolling_7
80,rolling_7
81,rolling_7
82,rolling_7
83,rolling_7
84,rolling_7
85,rolling_7
86,rolling_7
87,rolling_7
88,rolling_7
89,rolling_7
90,rolling_3
91,rolling_3
92,rolling_3
93,rolling_3
94,rolling_3
95,rolling_3
96,rolling_3
97,rolling_7
98,rolling_7
99,rolling_7
100,rolling_7
101,rolling_7
102,rolling_7
103,rolling_7
104,rolling_7
105,rolling_7
106,rolling_7
107,rolling_7
108,rolling_3
109,rolling_3
110,rolling_3
111,rolling_3
112,rolling_3
113,rolling_3
114,rolling_7
115,rolling_7
116,rolling_7
117,rolling_7
118,rolling_7
119,rolling_7
