day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,oracle_horizon_A,oracle_horizon_loss_A,oracle_horizon_B,oracle_horizon_loss_B,m5b_low_loss,m5b_high_loss,oracle_persistence
4,expanding,0.4796347497179435,60,expanding,0.4183900245924137,expanding,0.5403105125662621,0.4803781987508991,0.4803781987508991,low
5,expanding,0.508709052378135,60,expanding,0.4098476030444665,expanding,0.6035669681659593,0.5037398299583943,0.5068526783944864,low
6,expanding,0.5390478919340804,60,expanding,0.38646635012758473,expanding,0.6949196017579669,0.5254342589005153,0.5249026835598585,high
7,expanding,0.5701190534240946,60,expanding,0.44693103893290476,rolling_3,0.676011429446665,0.5413138121460541,0.5412731795174682,high
8,rolling_3,0.5196932222677232,3,rolling_3,0.4999687170485621,rolling_3,0.5391046401024528,0.5153040186476707,0.5112272996003917,high
9,rolling_3,0.4577505358093543,3,rolling_3,0.46052271569927783,rolling_3,0.4550477060417593,0.4425296936147371,0.44959889060410757,low
10,rolling_3,0.4405007712591334,3,rolling_3,0.4030114874405637,rolling_7,0.4153350452640139,0.42709556098378837,0.42611326381936887,high
11,rolling_7,0.4648106313376326,7,rolling_7,0.46958194583403307,expanding,0.4035112865465507,0.48885068465049913,0.45873856229473997,high
12,expanding,0.44895034497109504,60,rolling_7,0.39537920119690834,expanding,0.4444590141595201,0.4552323168873151,0.4604196813022102,low
13,expanding,0.4595370631314745,60,rolling_7,0.3975576239079861,expanding,0.5025827513275827,0.4623572707532092,0.478565355474488,low
14,expanding,0.45783893198874737,60,expanding,0.41004762720209015,expanding,0.5041867699203907,0.45947109083848153,0.4749308476481172,low
15,expanding,0.4400031339599427,60,expanding,0.4228663889042996,expanding,0.45769717153772055,0.4441729946748199,0.4457242056571315,low
16,expanding,0.4189576052746884,60,expanding,0.4193130635820015,expanding,0.41858960705422715,0.423508465663604,0.4125261749579969,high
17,expanding,0.425211612430385,60,rolling_3,0.4483551175738196,expanding,0.3839781883226909,0.42829187057233276,0.41701938441136904,high
18,expanding,0.42731434136335716,60,rolling_3,0.4247385825962158,rolling_14,0.40316645485097075,0.42777824237581075,0.4280081925299152,low
19,expanding,0.4524027991945897,60,rolling_7,0.37756082410152286,rolling_14,0.4739316192231198,0.45229920772988347,0.45338584558151396,low
20,rolling_14,0.4509942906165487,14,expanding,0.39837626214111227,rolling_14,0.4826505351374515,0.45526662509347904,0.46006544352187906,low
21,rolling_14,0.43943508786258256,14,expanding,0.3833453872742987,rolling_14,0.4946467515712094,0.450827911530791,0.4499765952521612,high
22,rolling_14,0.4564230799303626,14,rolling_14,0.4273472727095717,rolling_14,0.4870511889740295,0.46587865095701947,0.4566127425503121,high
23,rolling_14,0.45447322283751845,14,rolling_14,0.4748319918591068,rolling_14,0.4330846869617964,0.4501525566672852,0.44259343785099764,high
24,rolling_14,0.44962944589222886,14,rolling_3,0.4733364892443048,expanding,0.3621996850802703,0.433362427326867,0.42495909908096974,high
25,expanding,0.44061059624309684,60,rolling_3,0.430089355126459,expanding,0.385410795581898,0.4325963465922073,0.4290129835955166,high
26,expanding,0.4443458730156108,60,rolling_7,0.4093813612207452,expanding,0.4294929078046789,0.44367786799554004,0.4472241503345403,low
27,expanding,0.4339796804145665,60,rolling_7,0.40158341786187984,expanding,0.4636716738966213,0.44303754579427734,0.44884195127172066,low
28,expanding,0.4471526461431823,60,expanding,0.39166478672903116,expanding,0.5027886707360094,0.45168126765028366,0.4624572371172588,low
29,expanding,0.4218384954188609,60,expanding,0.38526791239694164,expanding,0.45641690660301015,0.42195786731389656,0.42959228470224753,low
30,expanding,0.43292418347712996,60,expanding,0.4521878656485071,expanding,0.4142174014473696,0.4311015341731393,0.4275657623045793,high
31,expanding,0.41408894577343675,60,rolling_3,0.4241520359676258,expanding,0.3803712881126064,0.4108469507912929,0.4060786133335291,high
32,expanding,0.4388141686881951,60,rolling_3,0.4188865301765439,rolling_14,0.41573354392309453,0.4333811404166134,0.4351788239951957,low
33,expanding,0.44484067879400613,60,rolling_7,0.41919428696048994,rolling_14,0.4387141613504724,0.44880456518603873,0.4520446501375483,low
34,expanding,0.4489868438653819,60,expanding,0.39610108475901373,rolling_14,0.4822549447230237,0.4530428433057994,0.455074870560168,low
35,rolling_14,0.4456778177089027,14,expanding,0.3769736386528903,rolling_14,0.5098692421315644,0.44746679375271137,0.4488649390397959,low
36,rolling_14,0.44170025270280305,14,expanding,0.407837980464299,rolling_14,0.4750422190808699,0.44030823604723884,0.4355369782405427,high
37,rolling_14,0.4704147791339627,14,rolling_14,0.5048645199791977,rolling_14,0.43865745877759305,0.4715987994355795,0.4527879487448077,high
38,expanding,0.4521305691778002,60,rolling_3,0.45985046506269467,expanding,0.4069768133962123,0.4385716625761005,0.43324197755127186,high
39,expanding,0.4477897710231758,60,rolling_3,0.43878715169043375,expanding,0.3947455692087615,0.4551962995947339,0.4384199049626303,high
40,expanding,0.45645400464210106,60,rolling_7,0.42445814848297414,expanding,0.44767889217438117,0.4608229627203533,0.46178665807697583,low
41,expanding,0.4454693071647187,60,expanding,0.4071228169876813,expanding,0.48501006853210393,0.4561788080975315,0.4633566418364118,low
42,expanding,0.4515735646646678,60,expanding,0.3835314642659607,expanding,0.5208053722660423,0.4546252208298897,0.46241923740753577,low
43,expanding,0.4491003882721325,60,expanding,0.4068770736113917,expanding,0.4896678866716678,0.44945588051662133,0.4515061562486236,low
44,expanding,0.4517296416283722,60,expanding,0.47256365708913967,expanding,0.43270265812083464,0.45047695164428253,0.4428187750317165,high
45,expanding,0.4297430960872342,60,rolling_3,0.4440967804593949,expanding,0.3885453750590763,0.4279085928354866,0.42114492870581566,high
46,expanding,0.4328298034339317,60,rolling_3,0.420930146303344,expanding,0.40686939921808624,0.4301051369327647,0.4296705597840315,high
47,expanding,0.44061574205649434,60,rolling_7,0.4043622472784362,rolling_14,0.441116847240946,0.43808282044444913,0.4445042745142782,low
48,expanding,0.4377515767493554,60,rolling_7,0.3911395934377186,rolling_14,0.4743774268644199,0.4444746486958031,0.44844856144624357,low
49,expanding,0.4427468759423643,60,expanding,0.3670598802596039,rolling_14,0.5139382517510911,0.4432553247232637,0.4456822335397587,low
50,expanding,0.45263884730396603,60,expanding,0.41718876844158176,expanding,0.4876660624025844,0.4500781871921419,0.450557333232122,low
51,expanding,0.4479633621543044,60,rolling_3,0.44508839635286873,expanding,0.4501040984138586,0.4435745746599587,0.4365517096942407,high
52,expanding,0.42683577621188723,60,rolling_3,0.45253267371451633,expanding,0.36570464453721246,0.41877514925917814,0.4173516629024269,high
53,expanding,0.44813236316609134,60,rolling_3,0.44959475232386886,expanding,0.3882745340249982,0.43555395468242214,0.44134408786044865,low
54,expanding,0.4535019552843268,60,rolling_7,0.41998008349215804,expanding,0.4333579780199968,0.46236208902904785,0.4532164515273886,high
55,expanding,0.4387634652210765,60,rolling_7,0.39580142284905373,expanding,0.46701602836133366,0.44191146406258197,0.4485394767391184,low
56,expanding,0.43727209184242566,60,expanding,0.37380263442986605,expanding,0.49752477363563524,0.43847889542971014,0.45133379565591736,low
57,expanding,0.44608368472514803,60,expanding,0.41296997783460904,expanding,0.4784984215493959,0.44584566701356837,0.4441759248992134,high
58,expanding,0.4479038059922987,60,expanding,0.45216586574437156,expanding,0.44344405179060703,0.44768667999868195,0.4428713693881274,high
59,expanding,0.44195306589338923,60,rolling_3,0.44169267882146146,expanding,0.4047241096864083,0.44140226414161043,0.43405679382769996,high
60,expanding,0.43136885742153724,60,rolling_3,0.44682114083785757,expanding,0.3863969801993934,0.4307149047370347,0.4279237182469066,high
61,expanding,0.44052167417674704,60,rolling_7,0.40100806326802535,expanding,0.44370735303076453,0.43985150970707954,0.44187965599320933,low
62,expanding,0.44630320948380775,60,expanding,0.4150314157652621,expanding,0.4755574681237375,0.44726898034257123,0.4585910778458474,low
63,expanding,0.44901082971480977,60,expanding,0.37357828950018684,rolling_14,0.5172162243712596,0.4490820689121458,0.44825464397608117,high
64,expanding,0.4478769411178624,60,expanding,0.402233525673714,expanding,0.4936422348409003,0.44703016132787143,0.44430914620925455,high
65,expanding,0.4440022291031843,60,expanding,0.43943320252516177,expanding,0.44859568897841545,0.4370284613334458,0.4333308043305711,high
66,expanding,0.423278892638502,60,rolling_3,0.42335822955852503,expanding,0.3833209516030482,0.41466758145282295,0.4100177418615439,high
67,expanding,0.42715198131547366,60,rolling_3,0.4385443058477436,expanding,0.3743938262857206,0.4212679468101595,0.41838181465993285,high
68,expanding,0.4399882604519436,60,rolling_7,0.4272140775617403,expanding,0.4149046964111881,0.44158936135883553,0.44245170968773984,low
69,expanding,0.4154073199729195,60,rolling_7,0.349799702051051,expanding,0.4527306260932873,0.4159948182437834,0.42080961542934375,low
70,expanding,0.4381645074486718,60,expanding,0.3844480989089102,expanding,0.48915844693963445,0.4390253107729159,0.4455550119913673,low
71,expanding,0.4245018698799246,60,expanding,0.39266369694770525,expanding,0.45612849349033535,0.42337920992494477,0.4251473386809681,low
72,expanding,0.43448213637759014,60,expanding,0.4412998680615735,expanding,0.4275080979658552,0.431736951772093,0.42433676641156165,high
73,expanding,0.42723717735010935,60,rolling_3,0.4479396396104711,expanding,0.39293932142649146,0.4230791118481084,0.4205009165200482,high
74,expanding,0.4274305575543273,60,rolling_3,0.43967316013368735,expanding,0.3774315109696371,0.4158299244149032,0.4162104888459099,low
75,expanding,0.4460150510905438,60,rolling_7,0.4136459023325116,expanding,0.4321287207655948,0.45673129721060984,0.44704464561040275,high
76,expanding,0.45124326318623315,60,rolling_7,0.3955061332398974,expanding,0.5037982292697359,0.457647288220004,0.46004348128573885,low
77,expanding,0.4401413924594953,60,expanding,0.37715580920377584,expanding,0.5008995877022423,0.44057790748682174,0.44548379001079547,low
78,expanding,0.43686217494389284,60,expanding,0.3952725262617795,expanding,0.4790100739438869,0.43655166607326873,0.4348196464299614,high
79,expanding,0.44468334801426845,60,expanding,0.4671619990943409,expanding,0.42308621266282626,0.4439725509762878,0.42808925416562504,high
80,expanding,0.44507671372036756,60,rolling_3,0.4702472662497195,expanding,0.4030695711048981,0.4442677100263154,0.4303437317290004,high
81,expanding,0.45479862625568573,60,rolling_3,0.4544175392466789,expanding,0.4014111988874889,0.4539222579244426,0.44504756491691994,high
82,expanding,0.4520923013352577,60,rolling_7,0.42253667571091635,expanding,0.4326047124596947,0.451551474178378,0.45371558696350045,low
83,expanding,0.44924248861561555,60,rolling_7,0.4166567713168152,expanding,0.4803780372647362,0.4502780436502124,0.4632702032623221,low
84,expanding,0.4302410062420575,60,expanding,0.39276639983686334,expanding,0.4673674742997581,0.43271638771009413,0.44516975873590187,low
