method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
m5b_smooth0.1,0.4380205192614276,0.4348284117470303,0.4412078526063244,0.14208845202645218,0.8369246838207282,0.03471891884712156,-0.004082325485871845
ensemble3,0.4380873240073432,0.43448304699351925,0.4415751605112672,0.14215002096278767,0.8363666499389997,0.03325566554497536,-0.004015520739956199
m2_context_gate,0.43948642286806006,0.4361839085434288,0.4428027764412509,0.1427007754776797,0.834449510176936,0.031385699489521156,-0.002616421879239442
m5b_smooth0.01,0.43970918078139554,0.43640162638216795,0.4428610673927046,0.14277160071364747,0.8345404179276921,0.032427889523164735,-0.0023936639659038806
amgtp_hidden16,0.4406055988814944,0.437310689271732,0.4438915200576783,0.14311106638780982,0.8339947631986492,0.033039418741642436,-0.001497245865804924
amgtp_hidden8,0.44063373104497827,0.43737974693813797,0.4438873149841915,0.14312500310451678,0.8339458877520793,0.03290874234703465,-0.0014691137023210756
amgtp_no_state,0.44079420738913316,0.43751984106076514,0.44400569271536655,0.14319031634370674,0.8337647441480289,0.03329696954470107,-0.0013086373581662997
m1_global_mix,0.4408647682912749,0.4367694512259617,0.4446355412512103,0.1432823421946751,0.8328803756505168,0.030806151912778922,-0.0012380764560245363
m5b_smooth0.001,0.4408719216905622,0.43756658828941686,0.44406858671503,0.14319783004933603,0.8333392446386064,0.0318234014172642,-0.0012309230567372305
amgtp,0.44118653876103525,0.4377611650012517,0.44457175565021284,0.14335488232239388,0.833185885653284,0.03353034994911211,-0.0009163059862641986
amgtp_global_q,0.44152677428771403,0.4380704283227509,0.4449319101389761,0.14348491747657474,0.8327999138222966,0.033329570882594965,-0.0005760704595853761
amgtp_fixed_beta_hi,0.4417121944243575,0.43802537027507754,0.44539288071145466,0.1435573585727437,0.8326320116617834,0.03296518256444652,-0.0003906503229420179
m5b_smooth0,0.44187243151648614,0.43862205882289923,0.44492457713543443,0.14353389309125977,0.8323832152321853,0.03228851570437405,-0.00023041323081326447
amgtp_fixed_beta0,0.44187243151648614,0.43862205882289923,0.44492457713543443,0.14353389309125977,0.8323832152321853,0.03228851570437405,-0.00023041323081326447
han_arw,0.44210284474729955,0.439286393826774,0.4447611220967008,0.1435325523788817,0.8321301936585979,0.03147344693779757,0.0
expanding,0.44210284474729955,0.439286393826774,0.4447611220967008,0.1435325523788817,0.8321301936585979,0.03147344693779757,0.0
validation_selected(h=expanding),0.44210284474729955,0.439286393826774,0.4447611220967008,0.1435325523788817,0.8321301936585979,0.03147344693779757,0.0
m5b_smooth0.3,0.4440433322047167,0.4402756481953557,0.4477452566801007,0.14451477252715697,0.8290046875641088,0.02762223861745356,0.0019404874574172376
diff_forgetting,0.44597744408704526,0.4430626441717463,0.44872105354958924,0.1446885508407534,0.8315924918970983,0.03996399822761546,0.0038745993397458337
adamoe,0.4560830187132396,0.4505441414613809,0.4616575030097391,0.14931986276673787,0.8149820744224656,0.022602671993122797,0.013980173965940139
rolling_14,0.4571703006657204,0.45370753002544084,0.46065670456909824,0.1493427199196128,0.8143006889374781,0.02098961392243033,0.01506745591842093
amgtp_uniform_q,0.457259205782513,0.451569475729059,0.46302574411362224,0.1497792606610471,0.8137115070494984,0.022737079401536665,0.015156361035213546
uniform5,0.45725920635798883,0.4515694762922085,0.46302574482576775,0.14977926089691104,0.8137115070494984,0.022737080305391004,0.01515636161068946
decay_hl7,0.49598266958139303,0.4925073940263666,0.4995305227648129,0.16236507638644396,0.8173921817147117,0.09918164362422167,0.05387982483409364
rolling_7,0.5038313808707997,0.49206555827102544,0.5149584900568658,0.16485356836235968,0.776381087967218,0.04969111885555534,0.061728536123500315
rolling_3,0.5247848584548772,0.5120799834755291,0.5372855531369128,0.16866033989685342,0.7789853419675226,0.07787723917394801,0.08268201370757781
decay_hl3,0.5316681211878995,0.5280108587277066,0.5353214763693084,0.1763027409861051,0.8010556733279249,0.1200644408124687,0.08956527644060011
decay_hl1,0.5732688134986655,0.5700450078725727,0.5765032704141709,0.19302066905047566,0.7710162720872996,0.14089541728857918,0.13116596875136616
rolling_1,0.8053728532958,0.7850457764682863,0.8252699847418083,0.22166848303141212,0.7043782064825254,0.17533541512639172,0.36327000854850067
