day,selected_window
7,expanding
8,expanding
9,expanding
10,expanding
11,expanding
12,expanding
13,expanding
14,rolling_14
15,rolling_3
16,rolling_3
17,rolling_3
18,rolling_3
19,rolling_3
20,rolling_3
21,rolling_3
22,expanding
23,expanding
24,expanding
25,expanding
26,expanding
27,expanding
28,expanding
29,expanding
30,rolling_14
31,rolling_14
32,rolling_3
33,rolling_3
34,rolling_3
35,rolling_3
36,rolling_3
37,rolling_7
38,rolling_7
39,rolling_7
40,rolling_7
41,rolling_7
42,rolling_7
43,rolling_7
44,rolling_7
45,rolling_7
46,rolling_7
47,rolling_7
48,rolling_7
49,expanding
50,expanding
51,expanding
52,rolling_3
53,rolling_3
54,rolling_3
55,expanding
56,expanding
57,expanding
58,rolling_3
59,rolling_3
60,rolling_3
61,rolling_3
62,rolling_3
63,rolling_3
64,rolling_7
65,rolling_7
66,rolling_7
67,rolling_7
68,rolling_7
69,rolling_7
70,rolling_7
71,expanding
72,expanding
73,expanding
74,rolling_3
75,rolling_3
76,rolling_3
77,rolling_3
78,rolling_3
79,rolling_3
80,rolling_7
81,rolling_7
82,rolling_7
83,rolling_7
84,rolling_7
85,rolling_7
86,rolling_7
87,expanding
88,expanding
89,expanding
90,rolling_3
91,rolling_3
92,rolling_3
93,rolling_3
94,rolling_3
95,rolling_3
96,rolling_7
97,rolling_7
98,rolling_7
99,rolling_7
100,rolling_7
101,rolling_7
102,rolling_7
103,rolling_7
104,rolling_7
105,rolling_7
106,rolling_7
107,expanding
108,expanding
109,expanding
110,rolling_3
111,rolling_3
112,rolling_3
113,rolling_3
114,rolling_3
115,rolling_3
116,rolling_7
117,rolling_7
118,rolling_7
119,rolling_7
