method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
m5b_smooth0.3,0.45672555867808484,0.4260721718692655,0.4925754766265293,0.14854655837288705,0.8242583079799011,0.056238356914807705,0.04865559618826731
amgtp_global_q,0.46128747159923555,0.42882307860497304,0.4995994093793561,0.14984297435209473,0.8206830700739356,0.06215536498176067,0.05321750910941806
m1_global_mix,0.46220488976536067,0.43163665824268005,0.4996725568521893,0.15095946757615303,0.8175743943976419,0.04465286261314107,0.05413492727554317
learn_alpha,0.4631089623456646,0.4257999914558099,0.507060730456726,0.15024456469933767,0.8186637922063241,0.06494676561362953,0.05503899985584716
adamoe,0.4637066222262473,0.4314511164429755,0.5014051838310876,0.15079316056622044,0.817550447035928,0.05944568610020331,0.055636659736429804
uniform5,0.4657990404217772,0.4337632869008262,0.5031556778573414,0.15159522689167484,0.8156105022368845,0.05945756277066929,0.05772907793195977
amgtp_uniform_q,0.46579904088546464,0.4337632862360557,0.5031556796190593,0.15159522697711172,0.8156105022368845,0.05945756190651202,0.05772907839564711
fixed_share,0.46611514627688366,0.42653448392040444,0.5120527405063567,0.15116508715722587,0.8163793240362456,0.0672204839904671,0.058045183787066176
amgtp_hidden8,0.4667127005678138,0.4317180321720523,0.5097301021538703,0.15104872083134618,0.8205415273896081,0.06048400622653474,0.05864273807799639
amgtp_no_state,0.4669572897636654,0.43635300834865687,0.5025220205234785,0.15161251505406723,0.8194524646990045,0.06684345645509274,0.05888732727384786
han_arw,0.46730555168504595,0.4206054482344039,0.5246775165284682,0.14947256472756057,0.8205952269303746,0.0478319811577395,0.05923558919522842
m5b_smooth0.1,0.4739422486189073,0.4507686392388256,0.5022222325853603,0.1551881575321064,0.8110337706747242,0.05354381435917883,0.06587228612908982
amgtp,0.4746724391939273,0.43883276313528086,0.5202398349090014,0.1542361974859454,0.8100715122461691,0.05428213085495548,0.06660247670410985
amgtp_fixed_beta_hi,0.4763108382277197,0.4414478231896632,0.5168778077790859,0.1552555273195649,0.8098281706259559,0.058656573181633836,0.06824087573790216
m5b_smooth0.001,0.48579977511912004,0.4364915215810808,0.5438520601954031,0.1567009056767909,0.8025025412757114,0.05910770886766389,0.07772981262930255
m2_context_gate,0.48604229491272055,0.449293302469574,0.5319276036918932,0.15829341530639646,0.805097599307032,0.058630818083950424,0.07797233242290301
amgtp_hidden16,0.48736199658959395,0.44780475402386205,0.5349166145407449,0.15835902338632576,0.8007377360256152,0.05668652641250718,0.07929203409977652
m5b_smooth0,0.48738184340964424,0.4411686447398684,0.5433276012770261,0.1574212450713224,0.8012978693356858,0.05931775373826986,0.07931188091982673
amgtp_fixed_beta0,0.48738184340964424,0.4411686447398684,0.5433276012770261,0.1574212450713224,0.8012978693356858,0.05931775373826986,0.07931188091982673
m5b_smooth0.01,0.48782167439408664,0.44331043225744154,0.5431987791852116,0.15759431361096232,0.8002047038345971,0.05759878799187246,0.07975171190426918
ensemble3,0.4926463600079815,0.45546526770536755,0.5378538499368439,0.16005661686111824,0.7983991012954861,0.05941562892687093,0.08457639751816412
expanding,0.4934530729634872,0.4865850992561041,0.5006655465495512,0.1632259226467319,0.7857066687316223,0.02745299947234355,0.0853831104736697
diff_forgetting,0.4955836215479644,0.4881883451119015,0.5038795891268038,0.16366548964354816,0.7902718431833469,0.042008841700260875,0.08751365905814691
rolling_3,0.5023569824751498,0.4469494006042224,0.5683409948196534,0.158787737074977,0.8062301354555588,0.06697950601774104,0.09428701998533244
validation_selected(h=rolling_3),0.5023569824751498,0.4469494006042224,0.5683409948196534,0.158787737074977,0.8062301354555588,0.06697950601774104,0.09428701998533244
rolling_7,0.5047045390171737,0.4448279761643273,0.5747916311980217,0.1616083949013403,0.787339799441713,0.06958557610853379,0.09663457652735627
decay_hl7,0.5249474331635905,0.5115856350216852,0.5402623159588045,0.1739968864398911,0.7783542259258844,0.09384070371940997,0.11687747067377295
decay_hl3,0.5422865274652467,0.5313118554180623,0.5549060839068697,0.18062831932420975,0.7941977200592157,0.13734549771311694,0.1342165649754293
rolling_14,0.5754005134286575,0.5164209941559867,0.6421961368759451,0.18599747113527026,0.7274478007398972,0.09772851514747781,0.16733055093884003
decay_hl1,0.580303214552484,0.5761969209746473,0.5850535527862035,0.1962711639695726,0.7954677062567431,0.1577057049989984,0.1722332520626666
rolling_1,0.7214331085393076,0.6715370798356955,0.7803601092148065,0.2049285852280175,0.7444796915270667,0.15178136255205393,0.3133631460494902
