method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
m5b_smooth0.3,0.4227653719657544,0.4021128086181642,0.4493974219594508,0.136201987168279,0.8373085916419811,0.05162877287416798,0.025233394094795157
m1_global_mix,0.42683690786621425,0.40069161743330733,0.4603512108408027,0.13730573288217615,0.8327653724878328,0.04946557251583638,0.029304929995254886
adamoe,0.42854288812455615,0.405318132865581,0.4603038728532911,0.13809634719119399,0.8284958981888946,0.04461797852548624,0.03101091025359687
learn_alpha,0.42865160339571234,0.40434268623982844,0.460706839481334,0.13803602657005332,0.8306326738773129,0.05237187899931606,0.031119625524752986
uniform5,0.42963119957570195,0.406316741669116,0.4609898268744962,0.13852667194571772,0.8273162102172269,0.0442634569104985,0.032099221704742574
amgtp_uniform_q,0.4296311995875233,0.40631674134283163,0.46098982752884,0.1385266718599652,0.8273162102172269,0.044263456295147746,0.03209922171656401
amgtp,0.429668222404205,0.4042459471101932,0.46312171522182116,0.13785759675298093,0.8318678870602212,0.05502517642917565,0.03213624453324572
m5b_smooth0.1,0.4306514702844788,0.4129207596715435,0.45215443684581536,0.13888697771210864,0.8321697744569719,0.050360325559179145,0.03311949241351955
amgtp_fixed_beta_hi,0.43100163420292764,0.40675604548546257,0.46170934963801347,0.13930044696041155,0.8265385267751527,0.04659187214260762,0.033469656331968335
fixed_share,0.43216875979696673,0.4092943434441255,0.46077580435882515,0.13946097666039017,0.8281202471368128,0.05323793326936273,0.0346367819260074
amgtp_hidden8,0.4324133112743571,0.4023022520644137,0.4716606193622627,0.13889020732262564,0.8268682443244216,0.0528758845593146,0.03488133340339776
amgtp_no_state,0.43250391310762676,0.4030662790965349,0.471783589685283,0.1390349378611582,0.8272553482973225,0.04862754327726947,0.03497193523666744
amgtp_global_q,0.43257436357700335,0.40132523863453906,0.47392209903659316,0.1385506434031384,0.8281823301790411,0.05541122729529436,0.03504238570604402
amgtp_hidden16,0.4333488929683913,0.403156649425755,0.4720929053108778,0.13916803702838654,0.8265139365185088,0.0523008555569134,0.035816915097432
ensemble3,0.433572372798717,0.40887547801541074,0.4656220344162183,0.13912959069700734,0.830608010614504,0.05380139898483999,0.03604039492775778
han_arw,0.43481877171805416,0.40108070806112583,0.48341430602997104,0.138182721929876,0.8301853919908252,0.052206439815090495,0.03728679384709494
m5b_smooth0.001,0.44221527536490723,0.4134584623700934,0.47828300073990554,0.14232301953163787,0.8191488216507261,0.05294997501536361,0.044683297493947914
m5b_smooth0.01,0.4425648309373746,0.4168345731123994,0.4744110929343304,0.14267035998445896,0.8196992172697469,0.05353377698169554,0.04503285306641523
m2_context_gate,0.4434603602778981,0.4198170214046582,0.4729360096810116,0.14340152873541476,0.8182030957998345,0.048809880755578024,0.04592838240693878
m5b_smooth0,0.44370060754613855,0.4160181267479713,0.47760582294220816,0.14287981900374327,0.8180639127762617,0.05213443323576293,0.046168629675179165
amgtp_fixed_beta0,0.44370060754613855,0.4160181267479713,0.47760582294220816,0.14287981900374327,0.8180639127762617,0.05213443323576293,0.046168629675179165
expanding,0.44409044105446277,0.4250388023710253,0.46405878529485467,0.1437904485550881,0.8170851246436809,0.04708282547950375,0.046558463183503526
diff_forgetting,0.44687947636697134,0.43023056817759825,0.46385795271639113,0.14464944686051667,0.8191096393358058,0.05093584505142553,0.04934749849601203
rolling_7,0.460577451322307,0.4182218017610562,0.5138902760647152,0.14716259116267746,0.8027079969787742,0.05385011387933314,0.06304547345134777
rolling_3,0.47273201537300524,0.43243139010536985,0.529886194280511,0.1487160166901441,0.8071072082302827,0.06355985496154165,0.07520003750204596
decay_hl7,0.48223250617377494,0.46766956195986015,0.4974391212420688,0.15690326591017367,0.8096191612978977,0.09683647244981006,0.08470052830281571
validation_selected(h=rolling_14),0.4944389245786561,0.4535898790434079,0.5408033035259402,0.15927480278017403,0.770972799283945,0.06327066547103875,0.09690694670769688
rolling_14,0.4944389245786561,0.4535898790434079,0.5408033035259402,0.15927480278017403,0.770972799283945,0.06327066547103875,0.09690694670769688
decay_hl3,0.5085149278239826,0.4967346905030758,0.5207558937161123,0.1667086231635123,0.8121856420676298,0.12514197750592299,0.1109829499530232
decay_hl1,0.5491669159681006,0.5412809673772434,0.5571452377515689,0.18222071730773767,0.7973251338298544,0.14232768556002337,0.15163493809714138
rolling_1,0.6862210528066541,0.6466914942409262,0.7429773206642355,0.19209568841030675,0.7384453591960465,0.1440320139645223,0.2886890749356949
