day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,oracle_horizon_A,oracle_horizon_loss_A,oracle_horizon_B,oracle_horizon_loss_B,m5b_low_loss,m5b_high_loss,oracle_persistence
4,expanding,0.37745005052918673,60,expanding,0.3765286108396096,expanding,0.3783976568630928,0.3833739579753384,0.3833739579753384,low
5,expanding,0.37248322672677053,60,expanding,0.377910572825671,expanding,0.3671420289786462,0.37648863608312955,0.3933202780620605,low
6,expanding,0.36618799543067965,60,expanding,0.365799977756343,expanding,0.36657653080705005,0.36620589497714157,0.3759546613134207,low
7,expanding,0.36676965643507237,60,expanding,0.36413305009169117,expanding,0.3693713408401305,0.3668536841450259,0.37958764212884366,low
8,expanding,0.36602419732208,60,expanding,0.3612241840317114,expanding,0.3706730290914921,0.3674148983328282,0.3727713645263391,low
9,expanding,0.35190050354021424,60,expanding,0.3370306881930123,expanding,0.3672129926866562,0.35327883718252906,0.3590314598078484,low
10,expanding,0.3489801996647659,60,expanding,0.34460095095955723,expanding,0.3535994072031367,0.3500640274822187,0.3536573234434659,low
11,expanding,0.3267785927689834,60,expanding,0.29620023373772475,expanding,0.35747951035347353,0.3286617387334955,0.33084549406189184,low
12,expanding,0.34534258165179244,60,expanding,0.3417520490961799,expanding,0.34905978157028944,0.346530325395962,0.34984823236378837,low
13,expanding,0.3395118633265776,60,expanding,0.3242363535054081,expanding,0.3544450083923618,0.33974260042851545,0.3409854492685318,low
14,expanding,0.34230271469643786,60,expanding,0.32352443214639637,expanding,0.3609811127648301,0.34415346205502356,0.34721836368595316,low
15,expanding,0.3327836445438341,60,rolling_14,0.3331515865531812,expanding,0.3323119160677716,0.3339568317139289,0.3362883230166078,low
16,expanding,0.3368800679795977,60,expanding,0.33444332224527984,expanding,0.3393660409004674,0.3379702352384208,0.33994143721963294,low
17,expanding,0.3318258361260467,60,expanding,0.33754939242529514,expanding,0.326208131594552,0.33517801992205487,0.3383722952755266,low
18,expanding,0.3296499485226157,60,expanding,0.31076644663386543,expanding,0.34815951968089565,0.3317316403129683,0.33623803203028446,low
19,expanding,0.3345602336204064,60,expanding,0.340255304427965,expanding,0.32919691451037547,0.3355251290493668,0.33958902351569276,low
20,expanding,0.3369202522296312,60,expanding,0.32710570858705545,expanding,0.34648927075145775,0.3387810137888843,0.34412099310446154,low
21,expanding,0.3205471948185078,60,expanding,0.3139067995376438,expanding,0.3273127119485402,0.32180389050575314,0.32562711914100534,low
22,expanding,0.34039092400503795,60,expanding,0.32436246585931877,expanding,0.35587319615889784,0.34183203084233377,0.3453388031435148,low
23,expanding,0.34061392381223377,60,expanding,0.3321319547029164,expanding,0.3495011747219964,0.34231370222842467,0.34567913557581603,low
24,expanding,0.3306334846000832,60,expanding,0.32968475006091463,expanding,0.3315646731900465,0.33182183405864657,0.335553695952406,low
