regime,seed_set,method,log_loss,log_loss_se,n_seeds,brier,pr_auc,roc_auc,ece,mean_excess_over_oracle,recovery_time_days,peak_post_shift_excess,cumulative_post_shift_regret,stationary_downside,log_loss_A,log_loss_B
s3d_recurring_p17,confirm,m5b_smooth0.1,0.42155643196442405,0.00401930265388036,12,0.136105304991996,0.6893662546141415,0.8466751112162386,0.03908202151573313,0.008267597434363854,,,,,0.4227695646158212,0.4203512946335171
s3d_recurring_p17,confirm,m1_global_mix,0.424367559847515,0.004040659346880372,12,0.1376311208064304,0.6799979966766322,0.8409627017668689,0.0331070266341752,0.011078725317454853,,,,,0.42551544266540536,0.4232273110799864
s3d_recurring_p17,confirm,m5b_smooth0.3,0.4243700080769858,0.004129135722361433,12,0.13714768068799532,0.6847609318908771,0.8427649609770104,0.03769423137557054,0.011081173546925727,,,,,0.42558138572320914,0.42316676809177073
s3d_recurring_p17,confirm,ensemble3,0.42540273547784263,0.004057774850897843,12,0.13770439626255124,0.6820766730109549,0.842756854557445,0.038636913683636524,0.012113900947782556,,,,,0.42654778923634,0.4242656070638669
s3d_recurring_p17,confirm,amgtp_no_state,0.4261895049233621,0.0038647859222194405,12,0.1379531673655223,0.6800426266685656,0.8411097972479943,0.03783587798157991,0.012900670393301996,,,,,0.42743072393752096,0.42495611081634493
s3d_recurring_p17,confirm,amgtp,0.4265522457132809,0.003960679323840684,12,0.13798588524229846,0.6799514708441879,0.840994575613203,0.0378597607647413,0.013263411183220787,,,,,0.427768442210712,0.42534428095370713
s3d_recurring_p17,confirm,amgtp_hidden16,0.42681473480385557,0.004173811002777027,12,0.13827031643540075,0.6791779267897056,0.8403992922932045,0.03671893774149622,0.013525900273795424,,,,,0.4280055387699419,0.4256318146707925
s3d_recurring_p17,confirm,amgtp_hidden8,0.4271500134906543,0.003969281818895505,12,0.13838407593228222,0.6783926576458915,0.8399792919823478,0.03625742634244759,0.013861178960594188,,,,,0.4283480222577916,0.4259599618948804
s3d_recurring_p17,confirm,amgtp_global_q,0.4276192371563412,0.00402936192855678,12,0.13843337830435984,0.677352953206723,0.8394583035327297,0.0367923000647707,0.014330402626281073,,,,,0.4288235097899125,0.42642309044329774
s3d_recurring_p17,confirm,learn_alpha,0.42826153207327605,0.0040794796695127955,12,0.13838871817262466,0.6812703517053652,0.841537628293112,0.04162020897154598,0.01497269754321594,,,,,0.42943782882160053,0.42709307866922724
s3d_recurring_p17,confirm,fixed_share,0.4289408132954032,0.0040836167596392985,12,0.1386203293033809,0.6804559597154894,0.8410007694767089,0.04171514075165159,0.01565197876534302,,,,,0.4300967047862052,0.4277926703006178
s3d_recurring_p17,confirm,amgtp_fixed_beta_hi,0.42941778595730834,0.003898202202668734,12,0.1392238049728113,0.6750137557730668,0.8381302813549095,0.037971318476854275,0.01612895142724823,,,,,0.43063128201522005,0.4282123127070698
s3d_recurring_p17,confirm,m2_context_gate,0.43363788724941693,0.0042011750554235595,12,0.14098719815750974,0.6686276461407828,0.8354145398761949,0.03962296920446098,0.020349052719356768,,,,,0.4344707047453204,0.432811879385663
s3d_recurring_p17,confirm,expanding,0.43461986812984055,0.004226903281674366,12,0.1405882721772805,0.6712631194757527,0.8348676064317851,0.03996316121907002,0.021331033599780433,,,,,0.4357542156110927,0.43349323033438014
s3d_recurring_p17,confirm,validation_selected(h=expanding),0.43461986812984055,0.004226903281674366,12,0.1405882721772805,0.6712631194757527,0.8348676064317851,0.03996316121907002,0.021331033599780433,,,,,0.4357542156110927,0.43349323033438014
s3d_recurring_p17,confirm,adamoe,0.43527217762485576,0.004094047852347852,12,0.1413181182120858,0.6622961434357034,0.8304636944429378,0.033316539566540106,0.021983343094795604,,,,,0.43661460539573754,0.43393842634989327
s3d_recurring_p17,confirm,amgtp_uniform_q,0.43610480923304973,0.004113061860512347,12,0.1416158420767348,0.6610122884849325,0.8296913428655621,0.033571161145487034,0.022815974702989617,,,,,0.4374488072591247,0.4347695309014074
s3d_recurring_p17,confirm,uniform5,0.4361048095175804,0.004113061862839361,12,0.14161584221850435,0.6610122884849325,0.8296913428655621,0.033571161750941006,0.022815974987520287,,,,,0.43744880755498866,0.4347695311747049
s3d_recurring_p17,confirm,diff_forgetting,0.4384661796336018,0.00421754740021012,12,0.14169834249146301,0.6703624717097307,0.8343531114431694,0.046051667420658665,0.025177345103541682,,,,,0.4395760446418265,0.4373640047799718
s3d_recurring_p17,confirm,han_arw,0.43984013329271443,0.0050749817985779625,12,0.14246595770982692,0.6634085425678306,0.8304912126569571,0.040122306154195396,0.026551298762654264,,,,,0.4411452665197482,0.43854237240569477
s3d_recurring_p17,confirm,m5b_smooth0.01,0.4403876875325969,0.005150055619553274,12,0.14294608779174825,0.6610625546437012,0.8296367552841238,0.040262610222261144,0.027098853002536723,,,,,0.4413902994724153,0.43939283990286526
s3d_recurring_p17,confirm,m5b_smooth0,0.4406522981416116,0.0035745760198036655,12,0.1429997781653001,0.6602998382772943,0.8289315807148919,0.04054118847827811,0.027363463611551394,,,,,0.44161972697626756,0.4396926168398505
s3d_recurring_p17,confirm,amgtp_fixed_beta0,0.4406522981416116,0.0035745760198036655,12,0.1429997781653001,0.6602998382772943,0.8289315807148919,0.04054118847827811,0.027363463611551394,,,,,0.44161972697626756,0.4396926168398505
s3d_recurring_p17,confirm,m5b_smooth0.001,0.44209532077505886,0.004892263669592366,12,0.14355271333250785,0.6584928864752527,0.8279888531008169,0.04095265726970292,0.028806486244998705,,,,,0.4434583230542812,0.4407397410181826
s3d_recurring_p17,confirm,rolling_14,0.4797409555194237,0.004613640847077525,12,0.15687719887410218,0.5969264417437902,0.7888020145888522,0.04634973842340335,0.06645212098936364,,,,,0.4811826744125269,0.4783083627909382
s3d_recurring_p17,confirm,rolling_3,0.47991136437655774,0.004235362035049662,12,0.15339589971651402,0.6292823225619498,0.8102617209043683,0.06745624230879045,0.06662252984649758,,,,,0.4813282570472662,0.4785039572013888
s3d_recurring_p17,confirm,decay_hl7,0.4880372094308035,0.0043617430448179605,12,0.15902596248713766,0.6459332257320544,0.8200243040704823,0.10038442441505503,0.07474837490074339,,,,,0.4891116552380457,0.4869705099040451
s3d_recurring_p17,confirm,rolling_7,0.4966711960940695,0.00483279299714845,12,0.16129918617699276,0.5890144339680355,0.7824212289821361,0.06290826925812036,0.08338236156400948,,,,,0.4983231938508783,0.49502904959236327
s3d_recurring_p17,confirm,decay_hl3,0.521004389813921,0.00459135241162889,12,0.1717230718924769,0.6294765383945308,0.8101607358975841,0.1250133634934378,0.10771555528386094,,,,,0.5221283900567463,0.5198879386595451
s3d_recurring_p17,confirm,decay_hl1,0.5620516538189115,0.004795696620973239,12,0.18796719077468782,0.6073591167563156,0.7966550045439024,0.1448890380393171,0.14876281928885138,,,,,0.5630814995022769,0.5610280717127929
s3d_recurring_p17,confirm,rolling_1,0.700556570159892,0.007693359850140301,12,0.1985609086476604,0.5220999093224603,0.7406516119161483,0.1487211801961342,0.2872677356298321,,,,,0.7031528212107886,0.6979784129550551
