regime,seed_set,method,log_loss,log_loss_se,n_seeds,brier,pr_auc,roc_auc,ece,mean_excess_over_oracle,recovery_time_days,peak_post_shift_excess,cumulative_post_shift_regret,stationary_downside,log_loss_A,log_loss_B
s5_opposing_local,confirm,m5b_smooth0.01,0.4915982650994879,0.0029113015345070313,12,0.16258656473137736,0.6057748295740363,0.7845935555844678,0.022332547669168392,-0.0010983081661095483,5.0,0.00414883749585009,-0.03580982547916126,,0.48672968392699806,0.49647215366401315
s5_opposing_local,confirm,m5b_smooth0.001,0.4921016104174394,0.002911905393178252,12,0.1627740965621173,0.605260065261881,0.7843792448022245,0.023344420606642824,-0.0005949628481580887,5.0,0.0075474523752470145,-0.018446378673340248,,0.48831159480270764,0.4958982529865559
s5_opposing_local,confirm,amgtp_fixed_beta0,0.4922344098407201,0.0029137986641655064,12,0.16282330340075887,0.6050938114912275,0.7842603056098056,0.023563497833201174,-0.00046216342487746576,5.0,0.007156233046761833,-0.014041807187368721,,0.4885525169453752,0.49592240421201494
s5_opposing_local,confirm,m5b_smooth0,0.4922344098407201,0.0029137986641655064,12,0.16282330340075887,0.6050938114912275,0.7842603056098056,0.023563497833201174,-0.00046216342487746576,5.0,0.007156233046761833,-0.014041807187368721,,0.4885525169453752,0.49592240421201494
s5_opposing_local,confirm,amgtp_hidden16,0.4931507837634375,0.002969105966286569,12,0.1631576744127347,0.6033624390270612,0.7829510056355208,0.022788687576741393,0.00045421049784005805,5.0,0.00828507093233378,0.010390169410929045,,0.4893491165295713,0.49695949216207663
s5_opposing_local,confirm,ensemble3,0.49327349245061586,0.0028648001226002995,12,0.1631515282488902,0.6033246522824554,0.782591273332926,0.022624543463020178,0.0005769191850183939,5.166666666666667,0.009334266459174395,0.015686320468754344,,0.4875267256567644,0.4990253888986524
s5_opposing_local,confirm,amgtp_hidden8,0.49354496242231655,0.003018956873329512,12,0.16330933842123374,0.6028254631112979,0.78254720259368,0.023111799530526955,0.0008483891567191035,5.166666666666667,0.011313429449726594,0.024258867861062402,,0.4900504309725953,0.4970469993777082
s5_opposing_local,confirm,amgtp,0.49360714004781947,0.0029814608650859022,12,0.16332876462215776,0.6024950617745156,0.7822981301188654,0.02279435390131712,0.0009105667822219722,5.0,0.009926713886093697,0.026455715867447865,,0.48899066578173,0.49822942159971256
s5_opposing_local,confirm,amgtp_no_state,0.4936906259959923,0.0030118585980690843,12,0.16336254345088955,0.602655036316497,0.7824775780682534,0.023507121873924328,0.0009940527303947465,5.0,0.010809505674185349,0.029634670383424683,,0.49046298728468446,0.49692583440275717
s5_opposing_local,confirm,learn_alpha,0.4939484737619398,0.002911179166689717,12,0.16347266360634247,0.6014484103859424,0.7815497556025406,0.022000336008284462,0.0012519004963423054,5.0,0.008378777654832553,0.03562064668015794,,0.48689637017996423,0.5010038192374487
s5_opposing_local,confirm,amgtp_global_q,0.49400387197237117,0.0029700850206835594,12,0.16346851056795758,0.6020176820357352,0.7819668060047734,0.023057849369698406,0.0013072987067736554,5.0,0.010767204416571622,0.03307589304659662,,0.4905925289503661,0.49742142524929395
s5_opposing_local,confirm,fixed_share,0.49427585082638253,0.002907692955889946,12,0.1636131034856335,0.6008500941181378,0.7811817422225519,0.0221301895575968,0.0015792775607850402,5.0,0.007476515832388166,0.04031553320927304,,0.48771935722223464,0.5008360261401918
s5_opposing_local,confirm,rolling_14,0.49470528704815236,0.002958102653750127,12,0.16378351800597546,0.6001780929899597,0.7806817924793737,0.023362720277900716,0.0020087137825548526,6.416666666666667,0.02475981235054801,0.07030498238941985,,0.48582356059500037,0.5035889846305573
s5_opposing_local,confirm,validation_selected(h=rolling_14),0.49470528704815236,0.002958102653750127,12,0.16378351800597546,0.6001780929899597,0.7806817924793737,0.023362720277900716,0.0020087137825548526,6.416666666666667,0.02475981235054801,0.07030498238941985,,0.48582356059500037,0.5035889846305573
s5_opposing_local,confirm,han_arw,0.49470528704815236,0.002958102653750127,12,0.16378351800597546,0.6001780929899597,0.7806817924793737,0.023362720277900716,0.0020087137825548526,6.416666666666667,0.02475981235054801,0.07030498238941985,,0.48582356059500037,0.5035889846305573
s5_opposing_local,confirm,m5b_smooth0.1,0.4966152469436183,0.002812228616298213,12,0.16437662442394077,0.5980055162142985,0.7782693666825379,0.022280981879402625,0.00391867367802074,5.0,0.011964531430373631,0.11780713606558958,,0.48960894837829133,0.5036260664283047
s5_opposing_local,confirm,amgtp_fixed_beta_hi,0.4980721941526654,0.00288998300505193,12,0.16497620959927276,0.5952903070174456,0.776995997905289,0.023973068243189843,0.005375620887067927,6.583333333333333,0.023807779324589964,0.1717714228939886,,0.49296352901957213,0.5031854143883641
s5_opposing_local,confirm,m5b_smooth0.3,0.5021596884147584,0.0027961415817856924,12,0.16635643832419417,0.5889335152885712,0.7713431136920247,0.022480533473675162,0.009463115149160945,7.666666666666667,0.026084646699218894,0.29186673248810235,,0.4908736908048336,0.5134405897202304
s5_opposing_local,confirm,rolling_7,0.5105968421146257,0.0029530453030408624,12,0.16940516209903578,0.5806239085816699,0.7677186891557811,0.038359236621097054,0.017900268849028293,5.0,0.029677512814138062,0.42452918157849995,,0.5110120650352626,0.510190858223082
s5_opposing_local,confirm,adamoe,0.5137998965655001,0.002902365845189445,12,0.1710120914826048,0.5668410684921061,0.7568859670913533,0.023376215216749915,0.021103323299902443,5.333333333333333,0.030833927335190525,0.5400623634973312,,0.5043076208273224,0.5232935754279712
s5_opposing_local,confirm,amgtp_uniform_q,0.5155041977953538,0.002914128342302881,12,0.1717042896025157,0.5637895238122709,0.7547459100929882,0.024176187535630875,0.022807624529756414,5.5,0.032909886090765124,0.5832527626013722,,0.5059724912833458,0.5250372113805025
s5_opposing_local,confirm,uniform5,0.5155041981795585,0.0029141283569869116,12,0.17170428970709053,0.5637895238122709,0.7547459100929882,0.02417618660428605,0.022807624913961076,5.5,0.03290988657149799,0.5832527720764135,,0.5059724919468194,0.5250372114859092
s5_opposing_local,confirm,diff_forgetting,0.5164936610540906,0.0028705188610130016,12,0.17096718804548514,0.5966141217633812,0.7769559382222538,0.06776465685385905,0.023797087788493043,22.4,0.03827430332840109,0.6814805606364746,,0.4973498982583105,0.5356329671804368
s5_opposing_local,confirm,decay_hl7,0.5246055309689762,0.002880235597521208,12,0.1739482770443579,0.6030648346250763,0.7819445502834651,0.08624612321025106,0.03190895770337861,5.0,0.04329429831533647,0.8184238352135474,,0.5171135588936684,0.5321008658787164
s5_opposing_local,confirm,m2_context_gate,0.5353701599238009,0.002935275113170774,12,0.1785909801351082,0.5305785257288941,0.7322265887424307,0.03326928201434198,0.04267358665820336,,0.05921236283097362,1.1317779084333626,,0.5189965227403683,0.5517432118085864
s5_opposing_local,confirm,m1_global_mix,0.5361576720461266,0.0029143160494377596,12,0.17896766956418933,0.5314032647467357,0.731000701760236,0.03460876499252311,0.043461098780529235,,0.060345367395274574,1.1434818128398214,,0.5196962381302023,0.5526179796172074
s5_opposing_local,confirm,decay_hl3,0.5509777583179499,0.0029849090094767887,12,0.1844605303639315,0.5846810674799218,0.7703022450018978,0.10630041961492243,0.05828118505235253,,0.0747719559608958,1.4537273461598863,,0.5528459409213098,0.5491202245961347
s5_opposing_local,confirm,rolling_3,0.586256832175399,0.0031436072212724583,12,0.19176714773592765,0.5223181874630975,0.7252743749834919,0.09616804428869559,0.09356025890980153,,0.11699494731238817,2.3802750267951454,,0.5888343071452874,0.583691654924313
s5_opposing_local,confirm,decay_hl1,0.5882557112992427,0.003108621252547059,12,0.1998166650015588,0.5185262820427748,0.7227613418227832,0.10504305837229126,0.0955591380336452,,0.1158881979044224,2.425893479344149,,0.591629051765434,0.5848932128977985
s5_opposing_local,confirm,expanding,0.6110425147489539,0.0037001596026654242,12,0.20682296171902215,0.41526731777041453,0.6383135232428147,0.08117869498483997,0.11834594148335643,,0.16242748212184566,3.330759860995062,,0.5612374416972808,0.6608242745218121
s5_opposing_local,confirm,rolling_1,0.9579053827478576,0.005378807086907445,12,0.25718313844211255,0.42351795460236524,0.6450880236722578,0.21539569091638,0.4652088094822602,,0.5248623102415225,12.035669410393254,,0.963620119270809,0.9522047515420935
