regime,seed_set,method,log_loss,log_loss_se,n_seeds,brier,pr_auc,roc_auc,ece,mean_excess_over_oracle,recovery_time_days,peak_post_shift_excess,cumulative_post_shift_regret,stationary_downside,log_loss_A,log_loss_B
s0_none,confirm,m1_global_mix,0.32703213426206446,0.0038260971897643866,12,0.10132241118762941,0.8519744680661866,0.9256478300163483,0.05405105374630409,0.0,,,,0.0,0.3274411098952125,0.32662355970989787
s0_none,confirm,expanding,0.32703213426206446,0.0038260971897643866,12,0.10132241118762941,0.8519744680661866,0.9256478300163483,0.05405105374630409,0.0,,,,0.0,0.3274411098952125,0.32662355970989787
s0_none,confirm,han_arw,0.32703213426206446,0.0038260971897643866,12,0.10132241118762941,0.8519744680661866,0.9256478300163483,0.05405105374630409,0.0,,,,0.0,0.3274411098952125,0.32662355970989787
s0_none,confirm,validation_selected(h=expanding),0.32703213426206446,0.0038260971897643866,12,0.10132241118762941,0.8519744680661866,0.9256478300163483,0.05405105374630409,0.0,,,,0.0,0.3274411098952125,0.32662355970989787
s0_none,confirm,m5b_smooth0.01,0.3280534949626543,0.003816439672488504,12,0.10163822907940466,0.8515119889370171,0.9253387427622707,0.05479919441876443,0.0010213607005898333,,,,0.001021360700589849,0.3285356837104596,0.3275717744790266
s0_none,confirm,m2_context_gate,0.3280648847758287,0.0038260214435988497,12,0.10166653746090798,0.8513305150797327,0.9252821548082988,0.05463563550114714,0.0010327505137642673,,,,0.0010327505137642662,0.32855591486311453,0.3275743336453426
s0_none,confirm,ensemble3,0.32810113886346665,0.0037985542986224224,12,0.10166489396310484,0.8514151148872863,0.92528762722886,0.054719044779470816,0.0010690046014022899,,,,0.001069004601402269,0.3285858044669208,0.32761696968399917
s0_none,confirm,m5b_smooth0.001,0.3281700681025004,0.0038176671141201307,12,0.10168290185806163,0.8513880722396916,0.9252598494385332,0.054673534049598786,0.0011379338404359578,,,,0.0011379338404359507,0.3286621999480375,0.32767842587730783
s0_none,confirm,m5b_smooth0,0.32818811358250694,0.003818350075719618,12,0.10169142891268124,0.8513515702222404,0.9252398418267135,0.05467826410553622,0.0011559793204424932,,,,0.0011559793204424889,0.32868749727186697,0.3276892429287819
s0_none,confirm,amgtp_fixed_beta0,0.32818811358250694,0.003818350075719618,12,0.10169142891268124,0.8513515702222404,0.9252398418267135,0.05467826410553622,0.0011559793204424932,,,,0.0011559793204424889,0.32868749727186697,0.3276892429287819
s0_none,confirm,m5b_smooth0.1,0.3284759629194652,0.003726434667156662,12,0.10181584348151533,0.8508555447333958,0.9249072292265302,0.054224089845753526,0.0014438286574007663,,,,0.0014438286574007576,0.32895819236965623,0.32799425561279644
s0_none,confirm,amgtp,0.32927732998363074,0.003813240419376752,12,0.10205503180303678,0.8504809523359742,0.9247886112203939,0.055067926090283686,0.002245195721566352,,,,0.0022451957215663585,0.3297596204229376,0.3287955622931112
s0_none,confirm,amgtp_no_state,0.32936140576269385,0.003815378806117384,12,0.10208419087812569,0.8504030520602869,0.9247469630448121,0.05511477361475294,0.0023292715006294116,,,,0.002329271500629416,0.32984669926340465,0.3288766446466621
s0_none,confirm,amgtp_global_q,0.3299080994519115,0.0037999194647964653,12,0.10227175913030484,0.8499649181433387,0.9244249857503989,0.05511965671409261,0.002875965189847075,,,,0.0028759651898470767,0.3303122676298058,0.32950440794698554
s0_none,confirm,m5b_smooth0.3,0.33063810026512697,0.0036054706937049394,12,0.10271741983277509,0.8472628256634316,0.9229488642703284,0.05188625084291302,0.0036059660030625484,,,,0.00360596600306252,0.3310699414213152,0.33020685252888854
