baseline,n_seeds,mean_diff_logloss,ci95_lo,ci95_hi,wilcoxon_p,mut_better_in_seeds,rel_pct
decay_hl1,8,-0.01774958912448324,-0.01784523578489089,-0.01765111461990001,0.0078125,8,-4.434341712912021
decay_hl3,8,-0.011182662906694348,-0.011271229945216113,-0.011095137945384845,0.0078125,8,-2.8403392826695684
decay_hl7,8,-0.007705789286353654,-0.007786956301107477,-0.0076220606114678945,0.0078125,8,-1.9746696032269004
diff_forgetting,8,-0.007440705042904491,-0.0075141650230548945,-0.007362272389342636,0.0078125,8,-1.90803579156431
rolling_1,8,-0.006932595702198445,-0.007289185163820687,-0.006560877900915835,0.0078125,8,-1.780059573092435
rolling_3,8,-0.0027950973722923947,-0.003064322078531803,-0.00253977765865313,0.0078125,8,-0.7253942521527158
expanding,8,-0.001868881337990777,-0.0019204203886549985,-0.0018159905024746988,0.0078125,8,-0.48618783477863337
rolling_7,8,-0.0016005878794905781,-0.00174586278089095,-0.0014510738496796532,0.0078125,8,-0.4166823566432494
han_arw,8,-0.0012468585209540889,-0.0013986899417540513,-0.0010998508870476238,0.0078125,8,-0.3248948871789105
rolling_14,8,-0.0012418485700947043,-0.0013905218425947082,-0.0010966987093517719,0.0078125,8,-0.32359366475962537
validation_selected(h=rolling_14),8,-0.0012418485700947043,-0.0013905218425947082,-0.0010966987093517719,0.0078125,8,-0.32359366475962537
m1_global_mix,8,-0.0005600399636309511,-0.0006430056577448192,-0.00047107625324312126,0.0078125,8,-0.1461916772876267
m2_context_gate,8,-0.0005145112020489007,-0.000577714774836977,-0.0004494035784810304,0.0078125,8,-0.13432290716614478
m5b_smooth0.3,8,-0.00020547773871791575,-0.0003060708519170648,-0.00010077776045652598,0.0234375,7,-0.053687174944904215
m5b_smooth0.1,8,-0.0001642234798349962,-0.00031952403314058615,-5.800289154096024e-05,0.0234375,7,-0.042912897486591
amgtp_uniform_q,8,-8.225149966982481e-05,-0.00010874689281343778,-5.81646190009489e-05,0.0078125,8,-0.021497573839726444
uniform5,8,-8.225125064715427e-05,-0.00010874661226348524,-5.816431756383266e-05,0.0078125,8,-0.021497508768178505
adamoe,8,-8.155225513500897e-05,-0.00010788041867758058,-5.76027285697738e-05,0.0078125,8,-0.021314855506109766
amgtp_fixed_beta0,8,-5.8334035501886317e-05,-0.00011514966276639227,-3.4201771663007995e-06,0.1953125,5,-0.015247364942805316
m5b_smooth0,8,-5.8334035501886317e-05,-0.00011514966276639227,-3.4201771663007995e-06,0.1953125,5,-0.015247364942805316
amgtp_fixed_beta_hi,8,-3.989220206401106e-05,-5.781879600403467e-05,-2.1366905891079258e-05,0.015625,7,-0.010427536499614698
m5b_smooth0.001,8,-3.5932284241542434e-05,-6.259143150264684e-05,-5.534662477407748e-06,0.078125,6,-0.009392539505014614
ensemble3,8,-2.608268227992372e-05,-5.664417877702787e-05,3.311939471124792e-06,0.25,6,-0.006818072840916465
m5b_smooth0.01,8,-2.5412894137120945e-05,-5.1716344281079256e-05,5.212630879572587e-06,0.1484375,6,-0.006643000318348521
amgtp_global_q,8,-1.3432681045352779e-05,-3.1323460604754626e-05,2.4076800665753795e-06,0.25,5,-0.003511449681835393
amgtp_no_state,8,1.158519614019582e-06,4.44619534322073e-07,1.7810753794103573e-06,0.0390625,2,0.00030286124498224735
