baseline,n_seeds,mean_diff_logloss,ci95_lo,ci95_hi,wilcoxon_p,mut_better_in_seeds,rel_pct
decay_hl1,3,-0.009379849946503094,-0.009415556210935816,-0.009328618412538514,,3,-1.5219033582149184
decay_hl3,3,-0.0036667748670985434,-0.00370394703313659,-0.003638462254594743,,3,-0.6005095829925886
decay_hl7,3,-0.0018196723551314002,-0.0018457630112795886,-0.001790281050658149,,3,-0.2989128803390989
rolling_1,3,-0.001088044927483119,-0.0012875586046731113,-0.000975299680822439,,3,-0.1789453926109971
diff_forgetting,3,-0.0010711714781483916,-0.0010868925577297572,-0.001044613970140218,,3,-0.176175188495068
expanding,3,-0.0010553325501826416,-0.0010740335390638789,-0.0010276309251685545,,3,-0.17357468735838041
rolling_3,3,-0.00039935922644311156,-0.0005370672125877274,-0.0003164153744732445,,3,-0.06575512324014994
rolling_14,3,-0.00033967318792290274,-0.00036405470230127523,-0.0003009846523116533,,3,-0.05593322012987402
m2_context_gate,3,-0.0002750322112709351,-0.00034805206942134514,-0.00021486743201426517,,3,-0.045293757040427735
m1_global_mix,3,-0.00027062516813976717,-0.00037980828964034874,-0.0001981105794575111,,3,-0.04456830536897905
rolling_7,3,-0.00026263220481355837,-0.00030761840416804187,-0.0001853729568077611,,3,-0.04325254175017196
validation_selected(h=rolling_7),3,-0.00026263220481355837,-0.00030761840416804187,-0.0001853729568077611,,3,-0.04325254175017196
han_arw,3,-0.00026263220481355837,-0.00030761840416804187,-0.0001853729568077611,,3,-0.04325254175017196
m5b_smooth0.3,3,-0.00011739345848245837,-0.00024278939789745824,-3.1159426250315647e-07,,3,-0.01933799501098502
m5b_smooth0.1,3,-4.139494889650782e-05,-8.18207160002693e-05,-1.0959863722126428e-06,,3,-0.00681976281160951
ensemble3,3,-4.128624187745474e-05,-7.650727316166339e-05,-2.1418564527087014e-05,,3,-0.006801854692872881
amgtp_uniform_q,3,-4.4900851176773076e-06,-8.408645264745829e-06,-3.7197205182692983e-07,,3,-0.0007397805341079523
uniform5,3,-4.489957377673548e-06,-8.408520252745078e-06,-3.7171069211527907e-07,,3,-0.0007397594879881879
adamoe,3,-4.453082630417882e-06,-8.359263097945657e-06,-3.4988530550617014e-07,,3,-0.0007336840975741095
amgtp_global_q,3,-2.483499636311374e-07,-1.3147935991053572e-06,1.4746802317056051e-06,,2,-4.0918100195518376e-05
amgtp_no_state,3,-1.4479420625453562e-08,-1.435291079321388e-07,7.498184750875936e-08,,1,-2.3856279403322675e-06
amgtp_fixed_beta_hi,3,2.720444964114203e-07,-1.4559346167564158e-06,2.301739566279437e-06,,2,4.482204604845841e-05
m5b_smooth0,3,3.3248209638051898e-06,-3.077004417928464e-07,9.445195181534416e-06,,1,0.0005478001939852845
amgtp_fixed_beta0,3,3.3248209638051898e-06,-3.077004417928464e-07,9.445195181534416e-06,,1,0.0005478001939852845
m5b_smooth0.01,3,6.01447042839857e-06,-9.50991680592761e-06,1.661101633798623e-05,,1,0.0009909534088831356
m5b_smooth0.001,3,1.0440193935368214e-05,6.705056733280479e-06,1.2692043779849449e-05,,0,0.0017201549718153899
