baseline,n_seeds,mean_diff_logloss,ci95_lo,ci95_hi,wilcoxon_p,mut_better_in_seeds,rel_pct
rolling_1,12,-0.3279336731909461,-0.3341352511477612,-0.3195755092364009,0.00048828125,12,-49.89777584472914
decay_hl1,12,-0.2435268485909112,-0.24746286861520114,-0.23864747022410507,0.00048828125,12,-42.51485196859816
decay_hl3,12,-0.17395382196467699,-0.17659433601631422,-0.17075927105822797,0.00048828125,12,-34.567379481814285
decay_hl7,12,-0.10997281333858248,-0.1115063971398853,-0.10825596037508273,0.00048828125,12,-25.036488891458728
rolling_3,12,-0.07825192624007811,-0.07944736312160315,-0.07696160511191409,0.00048828125,12,-19.201548120786335
uniform5,12,-0.027113203847128373,-0.027487293223602265,-0.026632579066297745,0.00048828125,12,-7.6077227853654925
amgtp_uniform_q,12,-0.027113201416314184,-0.027487290671369582,-0.02663257668608947,0.00048828125,12,-7.607722155190337
adamoe,12,-0.025012476502083037,-0.025337372393653773,-0.024607621995017256,0.00048828125,12,-7.059891660499023
rolling_7,12,-0.024604305671898252,-0.02496839473669423,-0.024254629461058205,0.00048828125,12,-6.952693554250515
diff_forgetting,12,-0.00918212368127739,-0.009373643952493014,-0.008990085422646139,0.00048828125,12,-2.712916889113741
rolling_14,12,-0.009082527844186719,-0.009313873787871322,-0.008861199455305151,0.00048828125,12,-2.684280547489939
amgtp_fixed_beta_hi,12,-0.0018032076386636647,-0.0018390359198430237,-0.0017719706588756319,0.00048828125,12,-0.5446432012022442
m5b_smooth0.3,12,-0.0013607702814961615,-0.0030818035711178316,6.57761879179228e-05,0.33935546875,7,-0.41155882531535476
amgtp_global_q,12,-0.0006307694682807183,-0.000661061035663407,-0.0006013971337652047,0.00048828125,12,-0.19119550848513234
amgtp_no_state,12,-8.40757790630577e-05,-9.385761750052822e-05,-7.476289333575906e-05,0.00048828125,12,-0.025526906793576967
m5b_smooth0.1,12,0.0008013670641656007,0.00012720779620816895,0.001256533892727194,0.0341796875,1,0.24396520739086092
amgtp_fixed_beta0,12,0.0010892164011238696,0.001069273591209551,0.001109437811546595,0.00048828125,0,0.33188782775645503
m5b_smooth0,12,0.0010892164011238696,0.001069273591209551,0.001109437811546595,0.00048828125,0,0.33188782775645503
m5b_smooth0.001,12,0.0011072618811304076,0.0010861475929019474,0.0011286189178487671,0.00048828125,0,0.33740489726338063
ensemble3,12,0.0011761911201640894,0.0010961904915196613,0.0012452416985805912,0.00048828125,0,0.35848431500066813
m2_context_gate,12,0.001212445207802092,0.0011748156804460299,0.0012503221030628268,0.00048828125,0,0.3695748201245534
m5b_smooth0.01,12,0.0012238350209765093,0.0012054892906015323,0.0012430508992939842,0.00048828125,0,0.3730595892952858
expanding,12,0.0022451957215663585,0.0021975143559368445,0.0022894684281807016,0.00048828125,0,0.686536730291828
m1_global_mix,12,0.0022451957215663585,0.0021975143559368445,0.0022894684281807016,0.00048828125,0,0.686536730291828
han_arw,12,0.0022451957215663585,0.0021975143559368445,0.0022894684281807016,0.00048828125,0,0.686536730291828
validation_selected(h=expanding),12,0.0022451957215663585,0.0021975143559368445,0.0022894684281807016,0.00048828125,0,0.686536730291828
