baseline,n_seeds,mean_diff_logloss,ci95_lo,ci95_hi,wilcoxon_p,mut_better_in_seeds,rel_pct
rolling_1,12,-0.31529836714998155,-0.3190839053352104,-0.31097575905312314,0.00048828125,12,-48.1936956271503
decay_hl1,12,-0.23488397048208576,-0.2386674177831634,-0.2311861706311928,0.00048828125,12,-40.93359089428595
expanding,12,-0.19869743499685114,-0.20394983982381545,-0.19361047946994345,0.00048828125,12,-36.95798274463803
decay_hl3,12,-0.16475658966781734,-0.16745349018776443,-0.16215304669375608,0.00048828125,12,-32.7099327992205
decay_hl7,12,-0.10363519380657736,-0.10542029248622051,-0.10195461065519754,0.00048828125,12,-23.41676376437671
diff_forgetting,12,-0.07513920578425805,-0.07682136721111904,-0.07355531087648642,0.00048828125,12,-18.14639320837981
rolling_3,12,-0.06734166677437152,-0.06803596221053748,-0.06674344954102411,0.00048828125,12,-16.57539594988267
m2_context_gate,12,-0.05941285336139123,-0.0600216230536932,-0.058714054399811526,0.00048828125,12,-14.914884632184107
m1_global_mix,12,-0.0594066144677222,-0.05999912144781158,-0.05871323281026081,0.00048828125,12,-14.913552008688624
uniform5,12,-0.042726311183908135,-0.043761281157441996,-0.041658328587845773,0.00048828125,12,-11.19487675091759
amgtp_uniform_q,12,-0.042726308108077614,-0.04376127799260526,-0.041658325599998464,0.00048828125,12,-11.194876035228592
adamoe,12,-0.039567425325675004,-0.040464554701853415,-0.0386466062408851,0.00048828125,12,-10.45372803452747
rolling_7,12,-0.013352404858724071,-0.013535096823091943,-0.013165169023739858,0.00048828125,12,-3.7902216020183506
validation_selected(h=rolling_7),12,-0.013352404858724071,-0.013535096823091943,-0.013165169023739858,0.00048828125,12,-3.7902216020183506
m5b_smooth0.3,12,-0.011037086984953029,-0.016805000997042064,-0.006243213900569842,0.00048828125,12,-3.1537212137633066
m5b_smooth0.1,12,-0.007781908781138523,-0.010067190352890807,-0.005614189801304317,0.00048828125,12,-2.2444677848324894
amgtp_fixed_beta_hi,12,-0.0045941935070885525,-0.004853094103535104,-0.004353431056071625,0.00048828125,12,-1.3373587311226829
amgtp_global_q,12,-0.0011220347818655847,-0.0012524468639311397,-0.0009935965249140576,0.00048828125,12,-0.3299566328555221
ensemble3,12,-0.00027421509587295206,-0.0004066637876595085,-0.00016067967267488397,0.00048828125,12,-0.08083994887303278
han_arw,12,6.052787144922763e-05,-0.00042211966021757,0.0005118474896483506,0.791015625,5,0.017861538432102794
amgtp_no_state,12,0.00017048231815164813,3.857780107810206e-05,0.00029568186247306557,0.0341796875,3,0.05032499516794106
amgtp_fixed_beta0,12,0.0006908671942245833,0.0005405828091960608,0.0008211994791687673,0.00048828125,0,0.20425214114648857
m5b_smooth0,12,0.0006908671942245833,0.0005405828091960608,0.0008211994791687673,0.00048828125,0,0.20425214114648857
m5b_smooth0.001,12,0.000720045056583162,0.0005704109867141237,0.0008484814219614294,0.00048828125,0,0.21289682538817947
m5b_smooth0.01,12,0.0007379210922304017,0.0005873579832497773,0.0008702763047160398,0.00048828125,0,0.21819379273477074
rolling_14,12,0.00204098910766295,0.001913476466573267,0.0021529480356087148,0.00048828125,0,0.6058285349513026
