baseline,n_seeds,mean_diff_logloss,ci95_lo,ci95_hi,wilcoxon_p,mut_better_in_seeds,rel_pct
rolling_1,12,-0.32057753248964366,-0.3258811686070564,-0.31442722951844404,0.00048828125,12,-47.08304273462742
decay_hl1,12,-0.20064163953407244,-0.2039410355789501,-0.19703804881088058,0.00048828125,12,-35.768763431302624
decay_hl3,12,-0.13900599044871775,-0.14128223665593068,-0.1365511946043949,0.00048828125,12,-27.839879056429343
expanding,12,-0.11231467361722676,-0.11610501340479763,-0.10875478499370209,0.00048828125,12,-23.76456868312293
decay_hl7,12,-0.08606619644028755,-0.08749235500181189,-0.0846364549240887,0.00048828125,12,-19.28155202669313
rolling_3,12,-0.06719072554326398,-0.06783903015252267,-0.06643535976594671,0.00048828125,12,-15.71749531010358
diff_forgetting,12,-0.05412921787835385,-0.05563072669220927,-0.052761387512857805,0.00048828125,12,-13.0611709512533
m2_context_gate,12,-0.0442080316844484,-0.04496953727618603,-0.04352653402313654,0.00048828125,12,-10.92885780959319
m1_global_mix,12,-0.043931449147360725,-0.04468937482312818,-0.0432798603604978,0.00048828125,12,-10.86791360329645
uniform5,12,-0.0274752764261126,-0.02822520482615837,-0.026775397578290526,0.00048828125,12,-7.0853732357532255
amgtp_uniform_q,12,-0.027475274059134306,-0.028225202424904935,-0.026775395260331063,0.00048828125,12,-7.085372668601801
adamoe,12,-0.025848607677367876,-0.026528621400504267,-0.025216184284746316,0.00048828125,12,-6.693965397996247
rolling_7,12,-0.011140153188624421,-0.011469987480697054,-0.010841446214622347,0.00048828125,12,-2.999184102582538
m5b_smooth0.3,12,-0.004699345296650277,-0.00722655660387448,-0.0022998940408121282,0.0068359375,9,-1.2874966220927733
amgtp_fixed_beta_hi,12,-0.0019880262417859423,-0.0020143308845840266,-0.0019628670531661803,0.00048828125,12,-0.548742964189233
m5b_smooth0.1,12,-0.0014878619610698741,-0.0023773194949038012,-0.0006570342570721078,0.01611328125,10,-0.4112533820595692
amgtp_global_q,12,-0.0007986129849740046,-0.0008157556396092479,-0.0007843553193362055,0.00048828125,12,-0.22116244503624155
amgtp_no_state,12,-6.561768022925185e-05,-7.290471137364104e-05,-5.789378722986377e-05,0.00048828125,12,-0.01820867572048335
ensemble3,12,2.8085360644104312e-05,-2.830623123488765e-06,6.0512658495030306e-05,0.09228515625,5,0.007795615939472558
amgtp_fixed_beta0,12,0.0010626730417772716,0.0010421926259533301,0.0010830891714565221,0.00048828125,0,0.29581422005995034
m5b_smooth0,12,0.0010626730417772716,0.0010421926259533301,0.0010830891714565221,0.00048828125,0,0.29581422005995034
m5b_smooth0.001,12,0.001081757514287296,0.0010710509544706748,0.0010926955768690645,0.00048828125,0,0.30114272564478284
m5b_smooth0.01,12,0.0011135815844597146,0.001074136406164833,0.001151801174603401,0.00048828125,0,0.31002946694334327
han_arw,12,0.002205696187732517,0.002178269588983546,0.002230353625699379,0.00048828125,0,0.6159551949065487
rolling_14,12,0.002205696187732517,0.002178269588983546,0.002230353625699379,0.00048828125,0,0.6159551949065487
validation_selected(h=rolling_14),12,0.002205696187732517,0.002178269588983546,0.002230353625699379,0.00048828125,0,0.6159551949065487
