baseline,n_seeds,mean_diff_logloss,ci95_lo,ci95_hi,wilcoxon_p,mut_better_in_seeds,rel_pct
rolling_1,12,-0.27376760491848046,-0.27965345339001146,-0.2665772395321867,0.00048828125,12,-38.91360455644196
decay_hl1,12,-0.13379484220947327,-0.13576800790800234,-0.13144078433512768,0.00048828125,12,-23.741265764854287
decay_hl3,12,-0.09418580695190915,-0.09568531140225467,-0.09242504282382161,0.00048828125,12,-17.976280212737123
rolling_7,12,-0.09064581106545372,-0.09288047238503938,-0.08854829310507076,0.00048828125,12,-17.41832309651798
rolling_3,12,-0.06849870991562028,-0.06964286595879496,-0.06727998512675162,0.00048828125,12,-13.747643645484155
decay_hl7,12,-0.060300529233766054,-0.061318158327707616,-0.059155884975462376,0.00048828125,12,-12.304732740681299
rolling_14,12,-0.021119610017645705,-0.0220067676599635,-0.020315344217986423,0.00048828125,12,-4.684099946269215
amgtp_fixed_beta0,12,-0.010606367131961817,-0.012948242096845235,-0.00854400163111618,0.00048828125,12,-2.4085373656753237
m5b_smooth0,12,-0.010606367131961817,-0.012948242096845235,-0.00854400163111618,0.00048828125,12,-2.4085373656753237
diff_forgetting,12,-0.010064181233339001,-0.010858089434615803,-0.009308007451273111,0.00048828125,12,-2.288232880731464
uniform5,12,-0.009515639648641439,-0.009930636310667628,-0.008954398031368944,0.00048828125,12,-2.1662159260375002
amgtp_uniform_q,12,-0.009515638985402258,-0.009930635679986748,-0.008954397379796409,0.00048828125,12,-2.166215778323118
adamoe,12,-0.008686696219900716,-0.009090712509773533,-0.008142000133599312,0.00048828125,12,-1.9812474060262302
m5b_smooth0.001,12,-0.008050994173543255,-0.009196451366084954,-0.007051472058399898,0.00048828125,12,-1.8389237807843495
han_arw,12,-0.006990940180896206,-0.008637473324887103,-0.005522245849619361,0.00048828125,12,-1.60067300087922
m5b_smooth0.01,12,-0.006733522344421182,-0.0076813031542655496,-0.00573867583312497,0.00048828125,12,-1.542642830787406
validation_selected(h=expanding),12,-0.005942185643394858,-0.006760670014941616,-0.005185162162229197,0.00048828125,12,-1.363820962512987
expanding,12,-0.005942185643394858,-0.006760670014941616,-0.005185162162229197,0.00048828125,12,-1.363820962512987
m1_global_mix,12,-0.004816927856661023,-0.005506952797773129,-0.004195074032896665,0.00048828125,12,-1.1084200243391413
amgtp_fixed_beta_hi,12,-0.0043740905739985915,-0.005231688119746775,-0.0035191379626765516,0.00048828125,12,-1.0075457345940122
m2_context_gate,12,-0.003572276663422159,-0.004126489386830758,-0.0030169855775456925,0.00048828125,12,-0.8243752355605513
fixed_share,12,-0.0030802577941173906,-0.003646162811663164,-0.0025257066608067582,0.00048828125,12,-0.7116399298936626
amgtp_hidden8,12,-0.0021327356361582664,-0.002977199791634363,-0.0013764166019348272,0.00048828125,12,-0.4938124309167487
learn_alpha,12,-0.002021562473369612,-0.0025206370138227074,-0.0015082016666079587,0.00048828125,12,-0.4681919753933912
amgtp_hidden16,12,-0.0016372070027735747,-0.0023151510528053604,-0.001075282902826816,0.00048828125,12,-0.3795134374732663
amgtp_global_q,12,-0.0014415527883304645,-0.0018311411235001278,-0.0009998922805154109,0.0009765625,11,-0.3343113550275287
amgtp_no_state,12,-0.0011917332574800283,-0.001648111141257014,-0.0007629479962415042,0.0009765625,11,-0.27653577388754325
ensemble3,12,-0.0008244548618123413,-0.0018903399107856286,0.0001557113432272227,0.30126953125,7,-0.19147383308408453
m5b_smooth0.3,12,0.0007148898670140033,-0.0007495851645730481,0.002156086399890174,0.423828125,5,0.16662381839574786
m5b_smooth0.1,12,0.0022519362251602663,0.0014486585813313193,0.002990745329693628,0.00244140625,2,0.5267598646430356
