baseline,n_seeds,mean_diff_logloss,ci95_lo,ci95_hi,wilcoxon_p,mut_better_in_seeds,rel_pct
rolling_1,12,-0.30070911754191215,-0.3072004243704237,-0.29221447703339753,0.00048828125,12,-40.787131766031166
decay_hl1,12,-0.13040990020436635,-0.13247136886578567,-0.12816790369871583,0.00048828125,12,-23.00138336507143
rolling_3,12,-0.12975842442883936,-0.13203881099214212,-0.1272477770683567,0.00048828125,12,-22.912805766034275
decay_hl3,12,-0.0908678149603165,-0.09233207576713337,-0.08924173977356491,0.00048828125,12,-17.228628538100914
rolling_7,12,-0.07797716773244796,-0.07979617935304203,-0.07637247514273386,0.00048828125,12,-15.154947930125676
decay_hl7,12,-0.05440585824840264,-0.055202715614987616,-0.05357220547020421,0.00048828125,12,-11.081493508380003
rolling_14,12,-0.031247173542753665,-0.0321308316198379,-0.03045657248538154,0.00048828125,12,-6.679561910773753
uniform5,12,-0.022165384557514625,-0.02258918415193409,-0.021632964917933862,0.00048828125,12,-4.831997443721233
amgtp_uniform_q,12,-0.022165384387121262,-0.022589183991003365,-0.0216329647237362,0.00048828125,12,-4.831997408370776
adamoe,12,-0.02145471746637447,-0.021866098239886524,-0.02094088100103291,0.00048828125,12,-4.684330960823114
m1_global_mix,12,-0.008847096020660652,-0.009511016905718591,-0.0082118526687206,0.00048828125,12,-1.9863141365034607
fixed_share,12,-0.003255963670946313,-0.003531542216554835,-0.0029787077083019402,0.00048828125,12,-0.7403088501612684
diff_forgetting,12,-0.0030946217251076277,-0.0033240477108673564,-0.002843703772731119,0.00048828125,12,-0.7038827273113312
learn_alpha,12,-0.0009406418012219234,-0.0012301188754764555,-0.0006451926791162053,0.00048828125,12,-0.21500570440400962
m5b_smooth0.3,12,-0.0008610154068632719,-0.0028934873390382768,0.0008920467172711656,0.85009765625,6,-0.19684105390297074
amgtp_fixed_beta0,12,-0.0006077299856913123,-0.0009901357726531332,-0.0002624128339893205,0.00341796875,11,-0.13901669985355972
m5b_smooth0,12,-0.0006077299856913123,-0.0009901357726531332,-0.0002624128339893205,0.00341796875,11,-0.13901669985355972
m5b_smooth0.001,12,-0.00045971866251211707,-0.0009278316446267303,-5.339851163096081e-06,0.0771484375,9,-0.10519509950219214
m5b_smooth0.01,12,-0.0002984767176224164,-0.0006651727329429322,5.4671150039631e-05,0.20361328125,7,-0.06832412868004381
amgtp_global_q,12,-0.0001395293529568853,-0.00030511752490858317,1.1953962920409615e-05,0.12939453125,9,-0.031951206861270204
m2_context_gate,12,-4.372112582434288e-05,-0.0003473543570202376,0.0002659652736891927,0.9697265625,6,-0.010014016791017141
amgtp_hidden16,12,0.00018970307154297464,-5.358619170765048e-05,0.0004232106216921655,0.10986328125,3,0.04347339883438094
amgtp_fixed_beta_hi,12,0.00020854556538861072,4.736442065367067e-05,0.0003759210694379796,0.05224609375,3,0.047793512064808
amgtp_hidden8,12,0.00044353591805651,0.00020071935586644292,0.0006741775172823209,0.0048828125,2,0.10170228942490449
amgtp_no_state,12,0.0005399288749141917,0.000369850359632058,0.0007001336186911816,0.00048828125,0,0.12383245694692756
validation_selected(h=expanding),12,0.0007267627237329729,0.0004347533609557744,0.0010262141651638545,0.00244140625,1,0.16675417501089213
expanding,12,0.0007267627237329729,0.0004347533609557744,0.0010262141651638545,0.00244140625,1,0.16675417501089213
han_arw,12,0.0007267627237329729,0.0004347533609557744,0.0010262141651638545,0.00244140625,1,0.16675417501089213
ensemble3,12,0.0019518366102659705,0.001652815950553346,0.002252705148366537,0.00048828125,0,0.4491071941322843
m5b_smooth0.1,12,0.0027531904597854345,0.0024114572581547633,0.003075401814481058,0.00048828125,0,0.6346646817139826
