baseline,n_seeds,mean_diff_logloss,ci95_lo,ci95_hi,wilcoxon_p,mut_better_in_seeds,rel_pct
rolling_1,12,-0.2795133964074364,-0.28576478608024897,-0.2712427543163456,0.00048828125,12,-39.08917461747867
decay_hl1,12,-0.13057283446352666,-0.13256293139823344,-0.12823877896819091,0.00048828125,12,-23.064293927501197
rolling_7,12,-0.10066589401705413,-0.10285534418331112,-0.09849908656017366,0.00048828125,12,-18.773297625539268
rolling_3,12,-0.09272779943777347,-0.094168099155956,-0.09114152268943844,0.00048828125,12,-17.552761627763942
decay_hl3,12,-0.09179498399926304,-0.09320894767447581,-0.09009478257877664,0.00048828125,12,-17.406922225091055
decay_hl7,12,-0.05694209820143337,-0.05771760260800647,-0.056027172331329776,0.00048828125,12,-11.561971789501168
uniform5,12,-0.013912319479822544,-0.014295173116552836,-0.01348061649334232,0.00048828125,12,-3.095307073344352
amgtp_uniform_q,12,-0.013912318804567373,-0.014295172416892295,-0.013480615828066875,0.00048828125,12,-3.0953069277592524
adamoe,12,-0.012963676612388203,-0.013332691899077608,-0.012557165030981846,0.00048828125,12,-2.890346963025489
m1_global_mix,12,-0.01241372250873229,-0.013274614906189966,-0.011591753715333865,0.00048828125,12,-2.7711285098200364
rolling_14,12,-0.008526427718050136,-0.009037780730422119,-0.00805402355005622,0.00048828125,12,-1.9200248523730297
diff_forgetting,12,-0.007313990248073138,-0.0077047406201043705,-0.006925203993811044,0.00048828125,12,-1.6515109494536593
m5b_smooth0.001,12,-0.005043471015070726,-0.0056986945344822,-0.0043513385702067565,0.00048828125,12,-1.1446926865511438
m5b_smooth0,12,-0.004982338932990535,-0.00541245084083432,-0.004564419271036073,0.00048828125,12,-1.1309747490820048
amgtp_fixed_beta0,12,-0.004982338932990535,-0.00541245084083432,-0.004564419271036073,0.00048828125,12,-1.1309747490820048
m5b_smooth0.01,12,-0.004025615299315467,-0.00460349349880668,-0.0034657341511764917,0.00048828125,12,-0.9157904438531678
han_arw,12,-0.003967126910368245,-0.004538884628980731,-0.003451692864685865,0.00048828125,12,-0.9026049702160843
expanding,12,-0.003789469849625115,-0.004205222888467221,-0.0033949933947628134,0.00048828125,12,-0.8625328872283208
fixed_share,12,-0.0019975801561076347,-0.0023212747072039242,-0.0016938990041500093,0.00048828125,12,-0.45653738509221176
m2_context_gate,12,-0.001776456321726937,-0.0020720351401069684,-0.0014513197210884385,0.00048828125,12,-0.4062058743775506
learn_alpha,12,-0.0016423879683598042,-0.0019775356737896195,-0.001328332294343374,0.00048828125,12,-0.3756648656355267
amgtp_hidden16,12,-0.001069157434303673,-0.0015203607833182873,-0.00064487356326247,0.0009765625,11,-0.24487039716491557
amgtp_fixed_beta_hi,12,-0.0008372935501838596,-0.0014527356133460635,-0.00024190157548177965,0.02099609375,10,-0.1918682261875947
amgtp_hidden8,12,-0.0005412845461969148,-0.0007991188075071452,-0.0002493258709299984,0.0068359375,9,-0.12412110418796818
amgtp_global_q,12,-0.0004494796547650781,-0.00065592139532391,-0.00022617646321772072,0.0048828125,10,-0.10309117194040675
amgtp_no_state,12,-0.00027056501942738603,-0.0006231280146845828,4.1910390008275814e-05,0.30126953125,8,-0.062081376219206695
ensemble3,12,9.981428026748414e-05,-0.00082704418465703,0.0009398993002643242,0.791015625,6,0.022921952340619306
m5b_smooth0.1,12,0.0017511439909034764,0.0008877922920533093,0.0024798378397327603,0.0048828125,1,0.4036740684215634
m5b_smooth0.3,12,0.0018637282023508395,0.0011354585895686936,0.0024860091426599285,0.00244140625,2,0.4297385334725485
